ocel_id;ocel_time
print_w_tickettr36;2024-05-02 16:51:20
print_w_tickettr10;2024-05-02 17:05:15
print_w_tickettr7;2024-05-02 17:17:52
print_w_tickettr49;2024-05-02 17:49:15
print_w_tickettr16;2024-05-02 18:03:41
print_w_tickettr20;2024-05-02 18:26:34
print_w_tickettr44;2024-05-03 09:09:25
print_w_tickettr11;2024-05-03 09:22:25
print_w_tickettr42;2024-05-03 10:04:51
print_w_tickettr32;2024-05-03 10:31:30
print_w_tickettr46;2024-05-03 10:59:31
print_w_tickettr4;2024-05-03 11:23:22
print_w_tickettr25;2024-05-03 11:48:10
print_w_tickettr35;2024-05-03 11:55:12
print_w_tickettr2;2024-05-03 12:46:51
print_w_tickettr15;2024-05-03 13:17:46
print_w_tickettr19;2024-05-03 15:06:39
print_w_tickettr26;2024-05-03 16:30:33
print_w_tickettr48;2024-05-03 16:37:51
print_w_tickettr41;2024-05-03 16:57:33
print_w_tickettr3;2024-05-03 17:10:23
print_w_tickettr21;2024-05-03 17:28:00
print_w_tickettr24;2024-05-03 17:44:15
print_w_tickettr27;2024-05-03 22:20:04
print_w_tickettr28;2024-05-03 22:49:21
print_w_tickettr33;2024-05-06 08:53:31
print_w_tickettr12;2024-05-06 08:53:51
print_w_tickettr29;2024-05-06 10:06:46
print_w_tickettr38;2024-05-06 11:06:52
print_w_tickettr9;2024-05-06 11:14:12
print_w_tickettr45;2024-05-06 11:18:49
print_w_tickettr5;2024-05-06 11:59:52
print_w_tickettr39;2024-05-06 12:09:42
print_w_tickettr34;2024-05-06 14:20:10
print_w_tickettr23;2024-05-06 14:21:17
print_w_tickettr30;2024-05-06 14:22:50
print_w_tickettr43;2024-05-06 15:08:18
print_w_tickettr47;2024-05-06 17:02:14
print_w_tickettr8;2024-05-06 17:07:24
print_w_tickettr7;2024-05-06 19:26:30
print_w_tickettr17;2024-05-07 08:45:14
print_w_tickettr40;2024-05-07 10:05:59
print_w_tickettr25;2024-05-07 10:25:50
print_w_tickettr16;2024-05-07 10:59:11
print_w_tickettr36;2024-05-07 11:42:22
print_w_tickettr49;2024-05-07 14:45:48
print_w_tickettr3;2024-05-07 15:16:33
print_w_tickettr37;2024-05-07 15:23:26
print_w_tickettr48;2024-05-07 15:24:49
print_w_tickettr10;2024-05-07 15:32:55
print_w_tickettr26;2024-05-07 15:58:39
print_w_tickettr44;2024-05-07 16:05:38
print_w_tickettr18;2024-05-07 16:12:55
print_w_tickettr6;2024-05-07 17:29:05
print_w_tickettr21;2024-05-07 17:55:03
print_w_tickettr50;2024-05-07 22:36:37
print_w_tickettr20;2024-05-08 08:32:12
print_w_tickettr15;2024-05-08 09:18:45
print_w_tickettr42;2024-05-08 09:34:40
print_w_tickettr14;2024-05-08 10:00:02
print_w_tickettr11;2024-05-08 10:43:07
print_w_tickettr35;2024-05-08 12:04:10
print_w_tickettr19;2024-05-08 13:53:23
print_w_tickettr38;2024-05-08 14:03:08
print_w_tickettr1;2024-05-08 14:31:26
print_w_tickettr29;2024-05-08 14:43:06
print_w_tickettr46;2024-05-08 15:39:07
print_w_tickettr12;2024-05-08 15:48:12
print_w_tickettr30;2024-05-08 15:57:49
print_w_tickettr31;2024-05-08 15:58:15
print_w_tickettr13;2024-05-08 16:27:32
print_w_tickettr33;2024-05-08 17:07:27
print_w_tickettr45;2024-05-08 17:08:57
print_w_tickettr7;2024-05-08 18:43:33
print_w_tickettr28;2024-05-08 20:31:57
print_w_tickettr32;2024-05-08 20:35:01
print_w_tickettr22;2024-05-08 22:20:56
print_w_tickettr47;2024-05-09 09:05:09
print_w_tickettr34;2024-05-09 09:36:21
print_w_tickettr43;2024-05-09 09:59:16
print_w_tickettr24;2024-05-09 11:57:26
print_w_tickettr39;2024-05-09 12:05:26
print_w_tickettr37;2024-05-09 13:52:18
print_w_tickettr17;2024-05-09 14:44:19
print_w_tickettr9;2024-05-09 14:59:31
print_w_tickettr25;2024-05-09 15:34:04
print_w_tickettr2;2024-05-09 16:04:41
print_w_tickettr8;2024-05-09 16:07:16
print_w_tickettr40;2024-05-09 16:54:50
print_w_tickettr41;2024-05-09 17:33:30
print_w_tickettr44;2024-05-09 19:59:01
print_w_tickettr6;2024-05-10 07:54:08
print_w_tickettr48;2024-05-10 09:08:32
print_w_tickettr27;2024-05-10 10:37:13
print_w_tickettr16;2024-05-10 10:41:47
print_w_tickettr20;2024-05-10 11:56:46
print_w_tickettr5;2024-05-10 12:26:27
print_w_tickettr42;2024-05-10 15:21:44
print_w_tickettr19;2024-05-10 16:02:38
print_w_tickettr21;2024-05-10 16:26:13
print_w_tickettr49;2024-05-10 16:41:50
print_w_tickettr4;2024-05-10 17:21:38
print_w_tickettr11;2024-05-10 18:50:43
print_w_tickettr36;2024-05-10 22:04:50
print_w_tickettr50;2024-05-13 08:25:59
print_w_tickettr46;2024-05-13 08:46:57
print_w_tickettr26;2024-05-13 10:03:22
print_w_tickettr47;2024-05-13 10:18:04
print_w_tickettr3;2024-05-13 10:41:37
print_w_tickettr23;2024-05-13 11:42:52
print_w_tickettr31;2024-05-13 12:08:19
print_w_tickettr14;2024-05-13 13:41:43
print_w_tickettr29;2024-05-13 13:53:48
print_w_tickettr10;2024-05-13 13:54:28
print_w_tickettr38;2024-05-13 14:42:15
print_w_tickettr32;2024-05-13 14:52:45
print_w_tickettr28;2024-05-13 15:55:29
print_w_tickettr39;2024-05-13 16:21:57
print_w_tickettr25;2024-05-13 17:45:01
print_w_tickettr33;2024-05-14 10:02:20
print_w_tickettr43;2024-05-14 10:25:10
print_w_tickettr9;2024-05-14 11:36:26
print_w_tickettr44;2024-05-14 14:50:05
print_w_tickettr34;2024-05-14 15:08:24
print_w_tickettr7;2024-05-14 15:51:38
print_w_tickettr1;2024-05-14 16:00:19
print_w_tickettr6;2024-05-14 16:15:37
print_w_tickettr30;2024-05-14 16:36:39
print_w_tickettr8;2024-05-14 19:07:22
print_w_tickettr22;2024-05-14 20:21:41
print_w_tickettr12;2024-05-14 23:16:14
print_w_tickettr36;2024-05-15 08:55:29
print_w_tickettr27;2024-05-15 09:01:39
print_w_tickettr18;2024-05-15 09:34:37
print_w_tickettr47;2024-05-15 09:35:45
print_w_tickettr16;2024-05-15 10:59:37
print_w_tickettr35;2024-05-15 11:02:13
print_w_tickettr23;2024-05-15 11:04:39
print_w_tickettr2;2024-05-15 11:10:54
print_w_tickettr40;2024-05-15 11:50:39
print_w_tickettr13;2024-05-15 12:10:52
print_w_tickettr37;2024-05-15 14:56:33
print_w_tickettr48;2024-05-15 15:00:46
print_w_tickettr42;2024-05-15 15:15:59
print_w_tickettr50;2024-05-15 15:19:08
print_w_tickettr46;2024-05-15 15:25:39
print_w_tickettr26;2024-05-15 15:34:54
print_w_tickettr41;2024-05-15 15:35:05
print_w_tickettr19;2024-05-15 15:59:03
print_w_tickettr10;2024-05-15 16:00:28
print_w_tickettr24;2024-05-15 16:07:53
