ocel_id;ocel_time
weigh_loaded_trucktr36;2024-05-02 14:47:57
weigh_loaded_trucktr7;2024-05-02 14:54:57
weigh_loaded_trucktr16;2024-05-02 15:53:55
weigh_loaded_trucktr20;2024-05-02 15:54:17
weigh_loaded_trucktr10;2024-05-02 16:18:32
weigh_loaded_trucktr49;2024-05-02 17:07:01
weigh_loaded_trucktr28;2024-05-02 17:57:51
weigh_loaded_trucktr27;2024-05-02 18:18:11
weigh_loaded_trucktr11;2024-05-03 08:10:48
weigh_loaded_trucktr44;2024-05-03 08:15:21
weigh_loaded_trucktr42;2024-05-03 08:28:36
weigh_loaded_trucktr32;2024-05-03 08:37:59
weigh_loaded_trucktr46;2024-05-03 08:38:22
weigh_loaded_trucktr2;2024-05-03 09:47:45
weigh_loaded_trucktr25;2024-05-03 10:11:26
weigh_loaded_trucktr15;2024-05-03 10:55:39
weigh_loaded_trucktr4;2024-05-03 11:00:06
weigh_loaded_trucktr35;2024-05-03 11:31:50
weigh_loaded_trucktr48;2024-05-03 11:46:29
weigh_loaded_trucktr19;2024-05-03 12:29:08
weigh_loaded_trucktr21;2024-05-03 14:56:28
weigh_loaded_trucktr41;2024-05-03 15:37:14
weigh_loaded_trucktr26;2024-05-03 16:02:53
weigh_loaded_trucktr24;2024-05-03 16:29:09
weigh_loaded_trucktr3;2024-05-03 16:32:23
weigh_loaded_trucktr12;2024-05-03 17:00:19
weigh_loaded_trucktr22;2024-05-03 17:40:50
weigh_loaded_trucktr33;2024-05-06 08:08:36
weigh_loaded_trucktr29;2024-05-06 08:10:36
weigh_loaded_trucktr9;2024-05-06 08:51:17
weigh_loaded_trucktr38;2024-05-06 09:54:13
weigh_loaded_trucktr5;2024-05-06 10:52:13
weigh_loaded_trucktr45;2024-05-06 11:03:41
weigh_loaded_trucktr39;2024-05-06 11:03:53
weigh_loaded_trucktr34;2024-05-06 11:39:05
weigh_loaded_trucktr23;2024-05-06 12:04:19
weigh_loaded_trucktr30;2024-05-06 12:06:31
weigh_loaded_trucktr43;2024-05-06 12:50:10
weigh_loaded_trucktr8;2024-05-06 16:08:43
weigh_loaded_trucktr7;2024-05-06 16:24:49
weigh_loaded_trucktr47;2024-05-06 16:36:53
weigh_loaded_trucktr50;2024-05-06 17:39:52
weigh_loaded_trucktr17;2024-05-07 07:25:03
weigh_loaded_trucktr16;2024-05-07 08:42:21
weigh_loaded_trucktr40;2024-05-07 09:46:50
weigh_loaded_trucktr25;2024-05-07 10:09:42
weigh_loaded_trucktr36;2024-05-07 11:05:31
weigh_loaded_trucktr3;2024-05-07 12:05:59
weigh_loaded_trucktr37;2024-05-07 12:21:14
weigh_loaded_trucktr10;2024-05-07 12:30:13
weigh_loaded_trucktr48;2024-05-07 12:36:43
weigh_loaded_trucktr44;2024-05-07 13:47:48
weigh_loaded_trucktr49;2024-05-07 14:31:10
weigh_loaded_trucktr6;2024-05-07 14:54:26
weigh_loaded_trucktr26;2024-05-07 15:17:40
weigh_loaded_trucktr18;2024-05-07 16:01:50
weigh_loaded_trucktr21;2024-05-07 16:28:18
weigh_loaded_trucktr42;2024-05-07 17:52:25
weigh_loaded_trucktr28;2024-05-07 18:07:10
weigh_loaded_trucktr32;2024-05-07 18:09:21
weigh_loaded_trucktr20;2024-05-08 08:07:31
weigh_loaded_trucktr11;2024-05-08 08:18:48
weigh_loaded_trucktr15;2024-05-08 09:05:54
weigh_loaded_trucktr14;2024-05-08 09:44:06
weigh_loaded_trucktr35;2024-05-08 09:53:05
weigh_loaded_trucktr38;2024-05-08 11:34:41
weigh_loaded_trucktr31;2024-05-08 11:46:29
weigh_loaded_trucktr1;2024-05-08 12:12:59
weigh_loaded_trucktr19;2024-05-08 13:29:19
weigh_loaded_trucktr13;2024-05-08 13:58:22
weigh_loaded_trucktr29;2024-05-08 14:10:09
weigh_loaded_trucktr33;2024-05-08 14:52:59
weigh_loaded_trucktr12;2024-05-08 15:08:40
weigh_loaded_trucktr46;2024-05-08 15:25:02
weigh_loaded_trucktr30;2024-05-08 15:40:39
weigh_loaded_trucktr45;2024-05-08 15:45:56
weigh_loaded_trucktr7;2024-05-08 15:56:15
weigh_loaded_trucktr47;2024-05-08 17:12:09
weigh_loaded_trucktr34;2024-05-09 07:22:43
weigh_loaded_trucktr43;2024-05-09 09:48:11
weigh_loaded_trucktr39;2024-05-09 09:56:46
weigh_loaded_trucktr24;2024-05-09 11:28:19
weigh_loaded_trucktr37;2024-05-09 11:40:17
weigh_loaded_trucktr8;2024-05-09 11:53:39
weigh_loaded_trucktr17;2024-05-09 13:31:44
weigh_loaded_trucktr9;2024-05-09 14:29:16
weigh_loaded_trucktr25;2024-05-09 15:14:08
weigh_loaded_trucktr2;2024-05-09 15:31:22
weigh_loaded_trucktr41;2024-05-09 15:42:59
weigh_loaded_trucktr40;2024-05-09 16:07:01
weigh_loaded_trucktr44;2024-05-09 16:56:33
weigh_loaded_trucktr6;2024-05-09 17:16:56
weigh_loaded_trucktr48;2024-05-09 17:46:49
weigh_loaded_trucktr36;2024-05-09 18:54:55
weigh_loaded_trucktr27;2024-05-10 10:07:59
weigh_loaded_trucktr16;2024-05-10 10:11:57
weigh_loaded_trucktr5;2024-05-10 10:46:22
weigh_loaded_trucktr20;2024-05-10 11:32:17
weigh_loaded_trucktr49;2024-05-10 11:57:42
weigh_loaded_trucktr19;2024-05-10 12:41:26
weigh_loaded_trucktr42;2024-05-10 14:27:32
weigh_loaded_trucktr21;2024-05-10 15:09:31
weigh_loaded_trucktr4;2024-05-10 15:36:26
weigh_loaded_trucktr11;2024-05-10 15:55:18
weigh_loaded_trucktr50;2024-05-10 17:04:17
weigh_loaded_trucktr46;2024-05-10 17:31:55
weigh_loaded_trucktr15;2024-05-10 18:08:56
weigh_loaded_trucktr47;2024-05-13 07:24:46
weigh_loaded_trucktr26;2024-05-13 09:32:29
weigh_loaded_trucktr3;2024-05-13 10:25:27
weigh_loaded_trucktr23;2024-05-13 11:29:16
weigh_loaded_trucktr31;2024-05-13 11:31:51
weigh_loaded_trucktr14;2024-05-13 11:33:11
weigh_loaded_trucktr32;2024-05-13 12:13:30
weigh_loaded_trucktr38;2024-05-13 12:15:53
weigh_loaded_trucktr29;2024-05-13 13:30:58
weigh_loaded_trucktr10;2024-05-13 13:32:44
weigh_loaded_trucktr39;2024-05-13 13:57:23
weigh_loaded_trucktr28;2024-05-13 14:46:10
weigh_loaded_trucktr25;2024-05-13 16:11:59
weigh_loaded_trucktr12;2024-05-13 17:59:22
weigh_loaded_trucktr22;2024-05-13 19:40:08
weigh_loaded_trucktr33;2024-05-14 08:37:04
weigh_loaded_trucktr43;2024-05-14 10:01:34
weigh_loaded_trucktr9;2024-05-14 11:08:38
weigh_loaded_trucktr30;2024-05-14 11:51:32
weigh_loaded_trucktr34;2024-05-14 12:06:54
