Object_id,Timestamp,Ocel_changed_field,Cargo Type,Cargo stock weight(scheduled),Silo ID
Cr19,2024-03-04 00:00:00,,Wheat,506542.5,Sil4
Cr15,2024-03-04 00:00:00,,Rice,509761.0,Sil15
Cr6,2024-03-04 00:00:00,,Corn,444927.2,Sil14
Cr18,2024-03-04 00:00:00,,Wheat,602705.3,Sil11
Cr10,2024-03-04 00:00:00,,Corn,823773.8,Sil18
Cr7,2024-03-04 00:00:00,,Other,841564.6,Sil5
Cr4,2024-03-04 00:00:00,,Wheat,826601.3,Sil6
Cr20,2024-03-04 00:00:00,,Other,616198.1,Sil13
Cr2,2024-03-04 00:00:00,,Other,741161.8,Sil9
Cr3,2024-03-04 00:00:00,,Rice,405789.7,Sil12
Cr5,2024-03-04 00:00:00,,Potato,705467.7,Sil1
Cr12,2024-03-04 00:00:00,,Potato,654998.6,Sil2
Cr14,2024-03-04 00:00:00,,Rice,603551.0,Sil17
Cr8,2024-03-04 00:00:00,,Rice,507211.1,Sil19
Cr17,2024-03-04 00:00:00,,Potato,811389.5,Sil8
Cr13,2024-03-04 00:00:00,,Rice,581105.8,Sil16
Cr11,2024-03-04 00:00:00,,Corn,537231.7,Sil20
Cr1,2024-03-04 00:00:00,,Rice,767540.7,Sil7
Cr9,2024-03-04 00:00:00,,Other,437368.7,Sil10
Cr16,2024-03-04 00:00:00,,Corn,795368.3,Sil3
Cr8,2024-04-29 08:12:32,Cargo stock weight(scheduled),,94197.6,
Cr6,2024-04-29 08:39:46,Cargo stock weight(scheduled),,183252.9,
Cr16,2024-04-29 08:46:20,Cargo stock weight(scheduled),,422525.4,
Cr12,2024-04-29 09:07:13,Cargo stock weight(scheduled),,85925.9,
Cr20,2024-04-29 09:07:35,Cargo stock weight(scheduled),,0.0,
Cr18,2024-04-29 09:10:45,Cargo stock weight(scheduled),,244963.4,
Cr13,2024-04-29 09:25:16,Cargo stock weight(scheduled),,127902.0,
Cr2,2024-04-29 09:29:57,Cargo stock weight(scheduled),,166255.7,
Cr1,2024-04-29 09:31:44,Cargo stock weight(scheduled),,166764.3,
Cr17,2024-04-29 10:32:00,Cargo stock weight(scheduled),,438105.8,
