Source_object_id,Target_object_id,O2O_qualifier,Timestamp
Pcp9,Cr8,Lodged pickup plan for cargo,2024-04-29 08:12:32
Pcp6,Cr6,Lodged pickup plan for cargo,2024-04-29 08:39:46
Pcp1,Cr16,Lodged pickup plan for cargo,2024-04-29 08:46:20
Pcp8,Cr12,Lodged pickup plan for cargo,2024-04-29 09:07:13
Pcp3,Cr20,Lodged pickup plan for cargo,2024-04-29 09:07:35
Pcp5,Cr18,Lodged pickup plan for cargo,2024-04-29 09:10:45
Pcp4,Cr13,Lodged pickup plan for cargo,2024-04-29 09:25:16
Pcp10,Cr2,Lodged pickup plan for cargo,2024-04-29 09:29:57
Pcp2,Cr1,Lodged pickup plan for cargo,2024-04-29 09:31:44
Pcp7,Cr17,Lodged pickup plan for cargo,2024-04-29 10:32:00
tr34,Pcp6,Assigned truck for pickup plan,2024-05-01 10:19:54
tr18,Pcp6,Assigned truck for pickup plan,2024-05-01 10:25:53
tr26,Pcp6,Assigned truck for pickup plan,2024-05-01 10:26:40
tr31,Pcp6,Assigned truck for pickup plan,2024-05-01 10:32:05
tr12,Pcp1,Assigned truck for pickup plan,2024-05-01 10:32:08
tr10,Pcp6,Assigned truck for pickup plan,2024-05-01 10:34:47
tr20,Pcp1,Assigned truck for pickup plan,2024-05-01 10:40:26
tr37,Pcp6,Assigned truck for pickup plan,2024-05-01 10:47:14
tr13,Pcp1,Assigned truck for pickup plan,2024-05-01 10:50:57
tr3,Pcp1,Assigned truck for pickup plan,2024-05-01 10:51:40
tr1,Pcp6,Assigned truck for pickup plan,2024-05-01 10:54:36
tr14,Pcp1,Assigned truck for pickup plan,2024-05-01 10:54:47
tr4,Pcp6,Assigned truck for pickup plan,2024-05-01 10:57:04
tr27,Pcp1,Assigned truck for pickup plan,2024-05-01 11:01:34
tr29,Pcp1,Assigned truck for pickup plan,2024-05-01 11:02:05
tr17,Pcp6,Assigned truck for pickup plan,2024-05-01 11:02:48
tr45,Pcp1,Assigned truck for pickup plan,2024-05-01 11:03:00
tr32,Pcp6,Assigned truck for pickup plan,2024-05-01 11:03:12
tr50,Pcp1,Assigned truck for pickup plan,2024-05-01 11:08:08
tr9,Pcp6,Assigned truck for pickup plan,2024-05-01 11:09:26
tr7,Pcp6,Assigned truck for pickup plan,2024-05-01 11:13:53
tr22,Pcp1,Assigned truck for pickup plan,2024-05-01 11:15:37
