ocel_id;ocel_type
Lodge_Pcp9;Lodge Pickup Plan
Lodge_Pcp6;Lodge Pickup Plan
Lodge_Pcp1;Lodge Pickup Plan
Lodge_Pcp8;Lodge Pickup Plan
Lodge_Pcp3;Lodge Pickup Plan
Lodge_Pcp5;Lodge Pickup Plan
Lodge_Pcp4;Lodge Pickup Plan
Lodge_Pcp10;Lodge Pickup Plan
Lodge_Pcp2;Lodge Pickup Plan
Lodge_Pcp7;Lodge Pickup Plan
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp1;Assign Trucks
weigh_empty_trucktr18;Weigh the Empty Truck
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp6;Assign Trucks
assign_trs_Pcp1;Assign Trucks
