ocel_id;ocel_time
assign_trs_Pcp2;2024-05-01 10:16:46
assign_trs_Pcp2;2024-05-01 10:18:37
assign_trs_Pcp2;2024-05-01 10:31:34
assign_trs_Pcp2;2024-05-01 10:32:05
assign_trs_Pcp1;2024-05-01 10:40:47
assign_trs_Pcp2;2024-05-01 10:41:25
assign_trs_Pcp1;2024-05-01 10:46:46
assign_trs_Pcp2;2024-05-01 10:47:16
assign_trs_Pcp1;2024-05-01 10:47:33
assign_trs_Pcp2;2024-05-01 10:49:28
assign_trs_Pcp2;2024-05-01 10:54:36
assign_trs_Pcp1;2024-05-01 10:55:40
assign_trs_Pcp2;2024-05-01 11:00:23
assign_trs_Pcp2;2024-05-01 11:00:53
assign_trs_Pcp1;2024-05-01 11:01:59
assign_trs_Pcp1;2024-05-01 11:02:42
assign_trs_Pcp2;2024-05-01 11:03:12
assign_trs_Pcp1;2024-05-01 11:05:49
assign_trs_Pcp1;2024-05-01 11:08:07
assign_trs_Pcp2;2024-05-01 11:09:26
assign_trs_Pcp2;2024-05-01 11:13:53
assign_trs_Pcp2;2024-05-01 11:16:22
assign_trs_Pcp2;2024-05-01 11:16:56
assign_trs_Pcp1;2024-05-01 11:17:57
assign_trs_Pcp2;2024-05-01 11:19:56
assign_trs_Pcp1;2024-05-01 11:23:41
assign_trs_Pcp1;2024-05-01 11:30:31
assign_trs_Pcp2;2024-05-01 11:30:41
assign_trs_Pcp2;2024-05-01 11:31:04
assign_trs_Pcp1;2024-05-01 11:36:35
assign_trs_Pcp1;2024-05-01 11:37:43
assign_trs_Pcp1;2024-05-01 11:42:11
assign_trs_Pcp1;2024-05-01 11:42:12
assign_trs_Pcp1;2024-05-01 11:46:55
assign_trs_Pcp2;2024-05-01 11:53:28
assign_trs_Pcp2;2024-05-01 11:57:48
assign_trs_Pcp2;2024-05-01 12:00:12
assign_trs_Pcp1;2024-05-01 12:02:18
assign_trs_Pcp2;2024-05-01 12:11:55
assign_trs_Pcp1;2024-05-01 12:17:48
assign_trs_Pcp2;2024-05-01 12:26:37
assign_trs_Pcp2;2024-05-01 12:38:25
assign_trs_Pcp1;2024-05-01 13:31:56
assign_trs_Pcp1;2024-05-01 13:43:02
assign_trs_Pcp1;2024-05-01 13:45:31
