ocel_id;ocel_time
assign_trs_Pcp6;2024-05-01 10:19:54
assign_trs_Pcp6;2024-05-01 10:25:53
assign_trs_Pcp6;2024-05-01 10:26:40
assign_trs_Pcp6;2024-05-01 10:32:05
assign_trs_Pcp1;2024-05-01 10:32:08
assign_trs_Pcp6;2024-05-01 10:34:47
assign_trs_Pcp1;2024-05-01 10:40:26
assign_trs_Pcp6;2024-05-01 10:47:14
assign_trs_Pcp1;2024-05-01 10:50:57
assign_trs_Pcp1;2024-05-01 10:51:40
assign_trs_Pcp6;2024-05-01 10:54:36
assign_trs_Pcp1;2024-05-01 10:54:47
assign_trs_Pcp6;2024-05-01 10:57:04
assign_trs_Pcp1;2024-05-01 11:01:34
assign_trs_Pcp1;2024-05-01 11:02:05
assign_trs_Pcp6;2024-05-01 11:02:48
assign_trs_Pcp1;2024-05-01 11:03:00
assign_trs_Pcp6;2024-05-01 11:03:12
assign_trs_Pcp1;2024-05-01 11:08:08
assign_trs_Pcp6;2024-05-01 11:09:26
assign_trs_Pcp6;2024-05-01 11:13:53
assign_trs_Pcp1;2024-05-01 11:15:37
assign_trs_Pcp6;2024-05-01 11:15:42
assign_trs_Pcp6;2024-05-01 11:16:22
assign_trs_Pcp6;2024-05-01 11:16:50
assign_trs_Pcp6;2024-05-01 11:16:56
assign_trs_Pcp1;2024-05-01 11:17:15
assign_trs_Pcp1;2024-05-01 11:19:29
assign_trs_Pcp6;2024-05-01 11:19:56
assign_trs_Pcp6;2024-05-01 11:21:19
assign_trs_Pcp1;2024-05-01 11:23:42
assign_trs_Pcp1;2024-05-01 11:23:55
assign_trs_Pcp6;2024-05-01 11:26:02
assign_trs_Pcp1;2024-05-01 11:31:09
assign_trs_Pcp1;2024-05-01 11:31:34
assign_trs_Pcp6;2024-05-01 11:41:25
assign_trs_Pcp6;2024-05-01 11:56:55
assign_trs_Pcp6;2024-05-01 11:57:48
assign_trs_Pcp1;2024-05-01 12:00:42
assign_trs_Pcp6;2024-05-01 12:11:55
assign_trs_Pcp6;2024-05-01 12:18:36
assign_trs_Pcp1;2024-05-01 12:19:34
assign_trs_Pcp6;2024-05-01 12:20:35
assign_trs_Pcp6;2024-05-01 12:26:37
assign_trs_Pcp1;2024-05-01 12:28:44
assign_trs_Pcp6;2024-05-01 12:38:25
assign_trs_Pcp6;2024-05-01 14:04:56
assign_trs_Pcp1;2024-05-01 14:13:40
assign_trs_Pcp1;2024-05-01 14:54:15
assign_trs_Pcp1;2024-05-01 15:45:47
assign_trs_Pcp2;2024-05-03 10:46:27
assign_trs_Pcp2;2024-05-03 10:48:02
assign_trs_Pcp8;2024-05-03 10:57:31
assign_trs_Pcp3;2024-05-03 11:12:52
assign_trs_Pcp10;2024-05-03 11:46:15
assign_trs_Pcp8;2024-05-03 11:58:51
assign_trs_Pcp2;2024-05-03 12:28:05
assign_trs_Pcp3;2024-05-03 14:46:24
assign_trs_Pcp1;2024-05-03 15:01:53
assign_trs_Pcp2;2024-05-03 16:10:06
assign_trs_Pcp5;2024-05-03 16:16:13
assign_trs_Pcp9;2024-05-03 16:29:55
assign_trs_Pcp2;2024-05-03 16:36:34
assign_trs_Pcp10;2024-05-03 17:18:38
assign_trs_Pcp3;2024-05-06 08:09:35
assign_trs_Pcp1;2024-05-06 09:34:02
assign_trs_Pcp9;2024-05-06 10:07:07
assign_trs_Pcp5;2024-05-06 10:09:10
assign_trs_Pcp3;2024-05-06 10:34:40
assign_trs_Pcp2;2024-05-06 10:59:40
assign_trs_Pcp10;2024-05-06 11:04:03
assign_trs_Pcp3;2024-05-06 11:09:00
assign_trs_Pcp8;2024-05-06 11:10:47
assign_trs_Pcp7;2024-05-06 12:05:45
assign_trs_Pcp1;2024-05-06 13:42:24
assign_trs_Pcp2;2024-05-06 14:27:01
assign_trs_Pcp1;2024-05-06 14:59:38
assign_trs_Pcp4;2024-05-06 15:39:31
assign_trs_Pcp8;2024-05-06 16:50:46
assign_trs_Pcp5;2024-05-06 17:04:28
assign_trs_Pcp2;2024-05-06 17:04:42
assign_trs_Pcp4;2024-05-06 17:18:18
assign_trs_Pcp3;2024-05-06 18:28:10
assign_trs_Pcp1;2024-05-07 08:10:30
assign_trs_Pcp8;2024-05-07 08:15:15
assign_trs_Pcp7;2024-05-07 10:02:16
assign_trs_Pcp4;2024-05-07 10:19:57
assign_trs_Pcp9;2024-05-07 10:34:41
assign_trs_Pcp9;2024-05-07 11:20:07
assign_trs_Pcp8;2024-05-07 11:29:48
assign_trs_Pcp8;2024-05-07 11:43:22
assign_trs_Pcp5;2024-05-07 14:29:23
assign_trs_Pcp10;2024-05-07 14:51:04
assign_trs_Pcp10;2024-05-07 15:03:59
assign_trs_Pcp10;2024-05-07 17:38:38
assign_trs_Pcp1;2024-05-08 09:02:07
assign_trs_Pcp5;2024-05-08 09:03:31
assign_trs_Pcp9;2024-05-08 09:51:28
assign_trs_Pcp7;2024-05-08 09:58:42
assign_trs_Pcp9;2024-05-08 10:16:13
assign_trs_Pcp9;2024-05-08 10:50:39
assign_trs_Pcp5;2024-05-08 10:52:38
assign_trs_Pcp10;2024-05-08 11:02:03
assign_trs_Pcp9;2024-05-08 11:12:10
assign_trs_Pcp5;2024-05-08 11:46:56
assign_trs_Pcp7;2024-05-08 12:28:51
