ocel_id;ocel_time
eval_trs_exittr7_Pcp6;2024-05-02 17:52:27
eval_trs_exittr36_Pcp1;2024-05-02 18:36:07
eval_trs_exittr16_Pcp1;2024-05-03 07:18:46
eval_trs_exittr10_Pcp6;2024-05-03 07:42:18
eval_trs_exittr20_Pcp1;2024-05-03 07:51:48
eval_trs_exittr49_Pcp1;2024-05-03 08:32:23
eval_trs_exittr44_Pcp1;2024-05-03 09:36:51
eval_trs_exittr11_Pcp6;2024-05-03 09:58:23
eval_trs_exittr42_Pcp6;2024-05-03 10:39:27
eval_trs_exittr32_Pcp6;2024-05-03 10:48:24
eval_trs_exittr4_Pcp6;2024-05-03 11:41:41
eval_trs_exittr46_Pcp6;2024-05-03 12:47:57
eval_trs_exittr2_Pcp6;2024-05-03 14:10:13
eval_trs_exittr15_Pcp6;2024-05-03 14:18:54
eval_trs_exittr25_Pcp6;2024-05-03 14:27:54
eval_trs_exittr35_Pcp6;2024-05-03 14:30:17
eval_trs_exittr19_Pcp1;2024-05-03 15:26:41
eval_trs_exittr48_Pcp6;2024-05-03 17:57:03
eval_trs_exittr26_Pcp6;2024-05-03 19:16:06
eval_trs_exittr3_Pcp1;2024-05-06 07:18:51
eval_trs_exittr21_Pcp6;2024-05-06 07:42:27
eval_trs_exittr41_Pcp6;2024-05-06 08:08:57
eval_trs_exittr28_Pcp1;2024-05-06 08:08:58
eval_trs_exittr27_Pcp1;2024-05-06 08:11:37
eval_trs_exittr24_Pcp1;2024-05-06 08:37:49
eval_trs_exittr33_Pcp6;2024-05-06 10:10:33
eval_trs_exittr12_Pcp1;2024-05-06 10:28:44
eval_trs_exittr29_Pcp1;2024-05-06 10:32:40
eval_trs_exittr45_Pcp1;2024-05-06 11:28:41
eval_trs_exittr9_Pcp6;2024-05-06 11:39:42
eval_trs_exittr38_Pcp1;2024-05-06 11:50:35
eval_trs_exittr39_Pcp1;2024-05-06 13:24:14
eval_trs_exittr5_Pcp1;2024-05-06 14:19:49
eval_trs_exittr30_Pcp1;2024-05-06 14:41:05
eval_trs_exittr23_Pcp6;2024-05-06 14:48:27
eval_trs_exittr34_Pcp6;2024-05-06 14:53:28
eval_trs_exittr43_Pcp6;2024-05-06 15:21:31
eval_trs_exittr47_Pcp1;2024-05-06 17:58:10
eval_trs_exittr8_Pcp6;2024-05-07 07:09:18
eval_trs_exittr7_Pcp2;2024-05-07 07:55:55
eval_trs_exittr17_Pcp6;2024-05-07 10:02:07
eval_trs_exittr40_Pcp6;2024-05-07 10:30:44
eval_trs_exittr25_Pcp2;2024-05-07 10:37:12
eval_trs_exittr36_Pcp8;2024-05-07 11:56:28
eval_trs_exittr16_Pcp3;2024-05-07 12:09:08
eval_trs_exittr10_Pcp10;2024-05-07 15:43:24
eval_trs_exittr37_Pcp6;2024-05-07 15:44:00
eval_trs_exittr48_Pcp9;2024-05-07 15:50:31
eval_trs_exittr3_Pcp2;2024-05-07 15:50:57
eval_trs_exittr49_Pcp8;2024-05-07 15:57:20
eval_trs_exittr44_Pcp2;2024-05-07 16:18:43
eval_trs_exittr18_Pcp6;2024-05-07 16:24:59
eval_trs_exittr26_Pcp3;2024-05-07 17:26:00
eval_trs_exittr6_Pcp6;2024-05-08 07:37:23
eval_trs_exittr50_Pcp1;2024-05-08 07:54:12
eval_trs_exittr21_Pcp10;2024-05-08 08:39:59
eval_trs_exittr15_Pcp1;2024-05-08 09:34:30
eval_trs_exittr20_Pcp2;2024-05-08 09:44:51
eval_trs_exittr14_Pcp1;2024-05-08 10:31:25
eval_trs_exittr42_Pcp3;2024-05-08 10:39:46
eval_trs_exittr11_Pcp1;2024-05-08 11:55:16
eval_trs_exittr35_Pcp2;2024-05-08 13:26:51
eval_trs_exittr38_Pcp4;2024-05-08 14:15:54
eval_trs_exittr19_Pcp5;2024-05-08 15:20:34
eval_trs_exittr1_Pcp6;2024-05-08 15:40:15
eval_trs_exittr29_Pcp4;2024-05-08 15:50:01
eval_trs_exittr46_Pcp5;2024-05-08 16:48:02
eval_trs_exittr13_Pcp1;2024-05-08 16:56:49
eval_trs_exittr31_Pcp6;2024-05-08 17:09:38
eval_trs_exittr12_Pcp1;2024-05-08 17:13:50
eval_trs_exittr30_Pcp8;2024-05-08 17:38:54
eval_trs_exittr45_Pcp2;2024-05-08 18:30:14
eval_trs_exittr33_Pcp7;2024-05-08 19:05:56
eval_trs_exittr32_Pcp9;2024-05-09 08:14:36
eval_trs_exittr7_Pcp8;2024-05-09 08:20:30
eval_trs_exittr28_Pcp2;2024-05-09 08:30:09
eval_trs_exittr22_Pcp1;2024-05-09 08:30:35
eval_trs_exittr47_Pcp4;2024-05-09 09:38:45
eval_trs_exittr34_Pcp9;2024-05-09 10:50:07
eval_trs_exittr43_Pcp3;2024-05-09 11:30:44
eval_trs_exittr39_Pcp9;2024-05-09 13:27:29
eval_trs_exittr24_Pcp1;2024-05-09 14:15:23
eval_trs_exittr37_Pcp1;2024-05-09 14:52:21
eval_trs_exittr17_Pcp8;2024-05-09 15:59:55
eval_trs_exittr2_Pcp10;2024-05-09 16:17:00
eval_trs_exittr9_Pcp8;2024-05-09 16:17:28
eval_trs_exittr8_Pcp7;2024-05-09 16:41:36
eval_trs_exittr25_Pcp5;2024-05-09 16:50:10
eval_trs_exittr40_Pcp10;2024-05-09 18:12:48
eval_trs_exittr41_Pcp3;2024-05-09 19:14:14
eval_trs_exittr44_Pcp3;2024-05-10 09:08:42
eval_trs_exittr6_Pcp9;2024-05-10 09:27:27
eval_trs_exittr48_Pcp5;2024-05-10 09:44:45
eval_trs_exittr27_Pcp8;2024-05-10 12:02:31
eval_trs_exittr16_Pcp10;2024-05-10 12:07:33
eval_trs_exittr5_Pcp5;2024-05-10 13:56:39
eval_trs_exittr20_Pcp7;2024-05-10 14:11:09
eval_trs_exittr42_Pcp4;2024-05-10 15:54:47
eval_trs_exittr19_Pcp8;2024-05-10 16:50:39
eval_trs_exittr21_Pcp5;2024-05-10 17:56:25
eval_trs_exittr4_Pcp3;2024-05-13 07:35:10
eval_trs_exittr49_Pcp7;2024-05-13 07:49:09
eval_trs_exittr11_Pcp9;2024-05-13 08:09:25
eval_trs_exittr36_Pcp10;2024-05-13 08:25:05
eval_trs_exittr50_Pcp10;2024-05-13 09:42:40
eval_trs_exittr46_Pcp5;2024-05-13 10:04:16
eval_trs_exittr26_Pcp9;2024-05-13 10:12:18
eval_trs_exittr47_Pcp1;2024-05-13 10:44:22
eval_trs_exittr3_Pcp9;2024-05-13 11:56:16
eval_trs_exittr31_Pcp10;2024-05-13 13:26:59
eval_trs_exittr23_Pcp1;2024-05-13 13:48:30
eval_trs_exittr14_Pcp3;2024-05-13 14:45:35
eval_trs_exittr38_Pcp10;2024-05-13 14:57:04
eval_trs_exittr10_Pcp5;2024-05-13 14:58:56
eval_trs_exittr29_Pcp7;2024-05-13 14:59:56
eval_trs_exittr32_Pcp4;2024-05-13 15:57:52
eval_trs_exittr39_Pcp8;2024-05-13 16:38:08
eval_trs_exittr28_Pcp10;2024-05-13 17:07:20
eval_trs_exittr25_Pcp3;2024-05-14 07:59:10
eval_trs_exittr33_Pcp7;2024-05-14 10:11:32
eval_trs_exittr43_Pcp7;2024-05-14 10:33:59
eval_trs_exittr9_Pcp9;2024-05-14 11:56:51
eval_trs_exittr34_Pcp7;2024-05-14 15:24:57
eval_trs_exittr44_Pcp4;2024-05-14 15:52:14
eval_trs_exittr1_Pcp3;2024-05-14 16:26:14
eval_trs_exittr6_Pcp4;2024-05-14 16:41:47
eval_trs_exittr30_Pcp9;2024-05-14 16:54:21
eval_trs_exittr7_Pcp8;2024-05-14 17:18:35
eval_trs_exittr12_Pcp9;2024-05-15 07:42:51
eval_trs_exittr22_Pcp2;2024-05-15 07:58:42
eval_trs_exittr8_Pcp3;2024-05-15 08:09:00
eval_trs_exittr27_Pcp3;2024-05-15 09:08:01
eval_trs_exittr18_Pcp9;2024-05-15 09:53:19
eval_trs_exittr36_Pcp5;2024-05-15 10:07:59
eval_trs_exittr47_Pcp2;2024-05-15 10:51:13
eval_trs_exittr35_Pcp9;2024-05-15 11:14:54
eval_trs_exittr2_Pcp8;2024-05-15 11:28:02
eval_trs_exittr23_Pcp8;2024-05-15 11:40:58
eval_trs_exittr16_Pcp3;2024-05-15 12:12:37
eval_trs_exittr13_Pcp5;2024-05-15 13:36:24
eval_trs_exittr40_Pcp8;2024-05-15 14:05:02
eval_trs_exittr48_Pcp5;2024-05-15 15:26:18
eval_trs_exittr42_Pcp5;2024-05-15 15:30:01
eval_trs_exittr46_Pcp10;2024-05-15 15:37:02
eval_trs_exittr50_Pcp7;2024-05-15 15:40:39
eval_trs_exittr26_Pcp1;2024-05-15 15:44:10
eval_trs_exittr41_Pcp9;2024-05-15 15:59:27
eval_trs_exittr24_Pcp7;2024-05-15 16:16:09
eval_trs_exittr37_Pcp8;2024-05-15 16:18:22
eval_trs_exittr3_Pcp10;2024-05-15 16:22:12
eval_trs_exittr10_Pcp8;2024-05-15 16:31:47
eval_trs_exittr19_Pcp3;2024-05-15 17:18:21
eval_trs_exittr25_Pcp3;2024-05-16 08:00:44
eval_trs_exittr31_Pcp8;2024-05-16 08:09:54
eval_trs_exittr17_Pcp3;2024-05-16 08:49:41
eval_trs_exittr15_Pcp9;2024-05-16 09:06:53
eval_trs_exittr20_Pcp4;2024-05-16 09:50:11
eval_trs_exittr28_Pcp5;2024-05-16 10:40:31
eval_trs_exittr33_Pcp3;2024-05-16 13:33:41
eval_trs_exittr29_Pcp8;2024-05-16 13:50:19
eval_trs_exittr5_Pcp8;2024-05-16 13:52:25
eval_trs_exittr39_Pcp8;2024-05-16 13:53:02
eval_trs_exittr43_Pcp9;2024-05-16 14:04:06
eval_trs_exittr21_Pcp2;2024-05-16 14:16:51
eval_trs_exittr4_Pcp7;2024-05-16 14:19:19
eval_trs_exittr38_Pcp9;2024-05-16 14:19:20
eval_trs_exittr9_Pcp10;2024-05-16 15:22:22
eval_trs_exittr49_Pcp7;2024-05-16 15:27:42
eval_trs_exittr35_Pcp4;2024-05-16 16:58:55
eval_trs_exittr47_Pcp4;2024-05-16 17:46:05
eval_trs_exittr8_Pcp2;2024-05-17 07:06:39
eval_trs_exittr14_Pcp8;2024-05-17 07:08:14
eval_trs_exittr11_Pcp3;2024-05-17 07:51:38
eval_trs_exittr1_Pcp10;2024-05-17 07:53:35
eval_trs_exittr45_Pcp8;2024-05-17 08:03:04
eval_trs_exittr32_Pcp7;2024-05-17 10:36:56
eval_trs_exittr22_Pcp2;2024-05-17 10:43:13
eval_trs_exittr30_Pcp3;2024-05-17 11:33:51
eval_trs_exittr16_Pcp1;2024-05-17 11:51:42
eval_trs_exittr23_Pcp4;2024-05-17 13:48:04
eval_trs_exittr36_Pcp3;2024-05-17 14:34:07
eval_trs_exittr18_Pcp3;2024-05-17 14:35:32
eval_trs_exittr44_Pcp2;2024-05-17 15:22:50
eval_trs_exittr2_Pcp2;2024-05-17 15:32:28
eval_trs_exittr7_Pcp3;2024-05-17 16:23:06
eval_trs_exittr3_Pcp4;2024-05-17 16:37:21
eval_trs_exittr24_Pcp8;2024-05-20 08:00:22
eval_trs_exittr46_Pcp8;2024-05-20 08:15:42
eval_trs_exittr6_Pcp1;2024-05-20 09:43:36
eval_trs_exittr34_Pcp9;2024-05-20 10:10:02
eval_trs_exittr40_Pcp1;2024-05-20 11:36:08
eval_trs_exittr25_Pcp10;2024-05-20 11:49:49
eval_trs_exittr50_Pcp8;2024-05-20 13:44:55
eval_trs_exittr33_Pcp5;2024-05-20 13:47:41
eval_trs_exittr15_Pcp8;2024-05-20 14:47:22
eval_trs_exittr41_Pcp7;2024-05-20 15:12:32
eval_trs_exittr26_Pcp1;2024-05-20 15:27:04
eval_trs_exittr43_Pcp3;2024-05-20 15:28:06
eval_trs_exittr4_Pcp2;2024-05-20 16:24:38
eval_trs_exittr21_Pcp1;2024-05-20 18:18:05
eval_trs_exittr31_Pcp5;2024-05-20 19:06:01
eval_trs_exittr13_Pcp7;2024-05-21 07:08:42
eval_trs_exittr19_Pcp9;2024-05-21 07:44:50
eval_trs_exittr42_Pcp1;2024-05-21 08:26:32
eval_trs_exittr27_Pcp1;2024-05-21 08:40:37
eval_trs_exittr10_Pcp10;2024-05-21 08:44:44
eval_trs_exittr48_Pcp8;2024-05-21 09:34:39
eval_trs_exittr9_Pcp2;2024-05-21 10:23:18
eval_trs_exittr29_Pcp10;2024-05-21 10:56:36
eval_trs_exittr38_Pcp7;2024-05-21 11:50:01
eval_trs_exittr16_Pcp9;2024-05-21 15:55:41
eval_trs_exittr49_Pcp1;2024-05-21 16:52:17
eval_trs_exittr1_Pcp10;2024-05-21 17:22:59
eval_trs_exittr39_Pcp4;2024-05-21 17:29:07
eval_trs_exittr36_Pcp10;2024-05-21 18:44:59
eval_trs_exittr23_Pcp7;2024-05-21 18:46:27
eval_trs_exittr12_Pcp1;2024-05-21 18:53:39
eval_trs_exittr18_Pcp3;2024-05-22 09:39:38
eval_trs_exittr14_Pcp2;2024-05-22 10:23:20
