ocel_id;ocel_time
input_tally_sheettr36;2024-05-02 16:51:20
input_tally_sheettr10;2024-05-02 17:05:15
input_tally_sheettr7;2024-05-02 17:17:52
input_tally_sheettr49;2024-05-02 17:49:15
input_tally_sheettr16;2024-05-02 18:03:41
input_tally_sheettr20;2024-05-02 18:26:34
input_tally_sheettr44;2024-05-03 09:09:25
input_tally_sheettr11;2024-05-03 09:22:25
input_tally_sheettr42;2024-05-03 10:04:51
input_tally_sheettr32;2024-05-03 10:31:30
input_tally_sheettr46;2024-05-03 10:59:31
input_tally_sheettr4;2024-05-03 11:23:22
input_tally_sheettr25;2024-05-03 11:48:10
input_tally_sheettr35;2024-05-03 11:55:12
input_tally_sheettr2;2024-05-03 12:46:51
input_tally_sheettr15;2024-05-03 13:17:46
input_tally_sheettr19;2024-05-03 15:06:39
input_tally_sheettr26;2024-05-03 16:30:33
input_tally_sheettr48;2024-05-03 16:37:51
input_tally_sheettr41;2024-05-03 16:57:33
input_tally_sheettr3;2024-05-03 17:10:23
input_tally_sheettr21;2024-05-03 17:28:00
input_tally_sheettr24;2024-05-03 17:44:15
input_tally_sheettr27;2024-05-03 22:20:04
input_tally_sheettr28;2024-05-03 22:49:21
input_tally_sheettr33;2024-05-06 08:53:31
input_tally_sheettr12;2024-05-06 08:53:51
input_tally_sheettr29;2024-05-06 10:06:46
input_tally_sheettr38;2024-05-06 11:06:52
input_tally_sheettr9;2024-05-06 11:14:12
input_tally_sheettr45;2024-05-06 11:18:49
input_tally_sheettr5;2024-05-06 11:59:52
input_tally_sheettr39;2024-05-06 12:09:42
input_tally_sheettr34;2024-05-06 14:20:10
input_tally_sheettr23;2024-05-06 14:21:17
input_tally_sheettr30;2024-05-06 14:22:50
input_tally_sheettr43;2024-05-06 15:08:18
input_tally_sheettr47;2024-05-06 17:02:14
input_tally_sheettr8;2024-05-06 17:07:24
input_tally_sheettr7;2024-05-06 19:26:30
input_tally_sheettr17;2024-05-07 08:45:14
input_tally_sheettr40;2024-05-07 10:05:59
input_tally_sheettr25;2024-05-07 10:25:50
input_tally_sheettr16;2024-05-07 10:59:11
input_tally_sheettr36;2024-05-07 11:42:22
input_tally_sheettr49;2024-05-07 14:45:48
input_tally_sheettr3;2024-05-07 15:16:33
input_tally_sheettr37;2024-05-07 15:23:26
input_tally_sheettr48;2024-05-07 15:24:49
input_tally_sheettr10;2024-05-07 15:32:55
input_tally_sheettr26;2024-05-07 15:58:39
input_tally_sheettr44;2024-05-07 16:05:38
input_tally_sheettr18;2024-05-07 16:12:55
input_tally_sheettr6;2024-05-07 17:29:05
input_tally_sheettr21;2024-05-07 17:55:03
input_tally_sheettr50;2024-05-07 22:36:37
input_tally_sheettr20;2024-05-08 08:32:12
input_tally_sheettr15;2024-05-08 09:18:45
input_tally_sheettr42;2024-05-08 09:34:40
input_tally_sheettr14;2024-05-08 10:00:02
input_tally_sheettr11;2024-05-08 10:43:07
input_tally_sheettr35;2024-05-08 12:04:10
input_tally_sheettr19;2024-05-08 13:53:23
input_tally_sheettr38;2024-05-08 14:03:08
input_tally_sheettr1;2024-05-08 14:31:26
input_tally_sheettr29;2024-05-08 14:43:06
input_tally_sheettr46;2024-05-08 15:39:07
input_tally_sheettr12;2024-05-08 15:48:12
input_tally_sheettr30;2024-05-08 15:57:49
input_tally_sheettr31;2024-05-08 15:58:15
input_tally_sheettr13;2024-05-08 16:27:32
input_tally_sheettr33;2024-05-08 17:07:27
input_tally_sheettr45;2024-05-08 17:08:57
input_tally_sheettr7;2024-05-08 18:43:33
input_tally_sheettr28;2024-05-08 20:31:57
input_tally_sheettr32;2024-05-08 20:35:01
input_tally_sheettr22;2024-05-08 22:20:56
input_tally_sheettr47;2024-05-09 09:05:09
input_tally_sheettr34;2024-05-09 09:36:21
input_tally_sheettr43;2024-05-09 09:59:16
input_tally_sheettr24;2024-05-09 11:57:26
input_tally_sheettr39;2024-05-09 12:05:26
input_tally_sheettr37;2024-05-09 13:52:18
input_tally_sheettr17;2024-05-09 14:44:19
input_tally_sheettr9;2024-05-09 14:59:31
input_tally_sheettr25;2024-05-09 15:34:04
input_tally_sheettr2;2024-05-09 16:04:41
input_tally_sheettr8;2024-05-09 16:07:16
input_tally_sheettr40;2024-05-09 16:54:50
input_tally_sheettr41;2024-05-09 17:33:30
input_tally_sheettr44;2024-05-09 19:59:01
input_tally_sheettr6;2024-05-10 07:54:08
input_tally_sheettr48;2024-05-10 09:08:32
input_tally_sheettr27;2024-05-10 10:37:13
input_tally_sheettr16;2024-05-10 10:41:47
input_tally_sheettr20;2024-05-10 11:56:46
input_tally_sheettr5;2024-05-10 12:26:27
input_tally_sheettr42;2024-05-10 15:21:44
input_tally_sheettr19;2024-05-10 16:02:38
input_tally_sheettr21;2024-05-10 16:26:13
input_tally_sheettr49;2024-05-10 16:41:50
input_tally_sheettr4;2024-05-10 17:21:38
input_tally_sheettr11;2024-05-10 18:50:43
input_tally_sheettr36;2024-05-10 22:04:50
input_tally_sheettr50;2024-05-13 08:25:59
input_tally_sheettr46;2024-05-13 08:46:57
input_tally_sheettr26;2024-05-13 10:03:22
input_tally_sheettr47;2024-05-13 10:18:04
input_tally_sheettr3;2024-05-13 10:41:37
input_tally_sheettr23;2024-05-13 11:42:52
input_tally_sheettr31;2024-05-13 12:08:19
input_tally_sheettr14;2024-05-13 13:41:43
input_tally_sheettr29;2024-05-13 13:53:48
input_tally_sheettr10;2024-05-13 13:54:28
input_tally_sheettr38;2024-05-13 14:42:15
input_tally_sheettr32;2024-05-13 14:52:45
input_tally_sheettr28;2024-05-13 15:55:29
input_tally_sheettr39;2024-05-13 16:21:57
input_tally_sheettr25;2024-05-13 17:45:01
input_tally_sheettr33;2024-05-14 10:02:20
input_tally_sheettr43;2024-05-14 10:25:10
input_tally_sheettr9;2024-05-14 11:36:26
input_tally_sheettr44;2024-05-14 14:50:05
input_tally_sheettr34;2024-05-14 15:08:24
input_tally_sheettr7;2024-05-14 15:51:38
input_tally_sheettr1;2024-05-14 16:00:19
input_tally_sheettr6;2024-05-14 16:15:37
input_tally_sheettr30;2024-05-14 16:36:39
input_tally_sheettr8;2024-05-14 19:07:22
input_tally_sheettr22;2024-05-14 20:21:41
input_tally_sheettr12;2024-05-14 23:16:14
input_tally_sheettr36;2024-05-15 08:55:29
input_tally_sheettr27;2024-05-15 09:01:39
input_tally_sheettr18;2024-05-15 09:34:37
input_tally_sheettr47;2024-05-15 09:35:45
input_tally_sheettr16;2024-05-15 10:59:37
input_tally_sheettr35;2024-05-15 11:02:13
input_tally_sheettr23;2024-05-15 11:04:39
input_tally_sheettr2;2024-05-15 11:10:54
input_tally_sheettr40;2024-05-15 11:50:39
input_tally_sheettr13;2024-05-15 12:10:52
input_tally_sheettr37;2024-05-15 14:56:33
input_tally_sheettr48;2024-05-15 15:00:46
input_tally_sheettr42;2024-05-15 15:15:59
input_tally_sheettr50;2024-05-15 15:19:08
input_tally_sheettr46;2024-05-15 15:25:39
input_tally_sheettr26;2024-05-15 15:34:54
input_tally_sheettr41;2024-05-15 15:35:05
input_tally_sheettr19;2024-05-15 15:59:03
input_tally_sheettr10;2024-05-15 16:00:28
input_tally_sheettr24;2024-05-15 16:07:53
input_tally_sheettr3;2024-05-15 16:11:04
input_tally_sheettr25;2024-05-15 18:37:52
input_tally_sheettr31;2024-05-15 19:08:11
input_tally_sheettr15;2024-05-15 20:48:19
input_tally_sheettr17;2024-05-15 21:41:26
input_tally_sheettr20;2024-05-16 08:31:37
input_tally_sheettr28;2024-05-16 10:29:51
input_tally_sheettr39;2024-05-16 11:46:54
input_tally_sheettr21;2024-05-16 11:49:30
input_tally_sheettr43;2024-05-16 11:55:59
input_tally_sheettr38;2024-05-16 11:56:36
input_tally_sheettr4;2024-05-16 11:59:54
input_tally_sheettr29;2024-05-16 12:00:48
input_tally_sheettr33;2024-05-16 12:16:50
input_tally_sheettr5;2024-05-16 12:17:54
input_tally_sheettr9;2024-05-16 13:59:37
input_tally_sheettr49;2024-05-16 15:05:45
input_tally_sheettr35;2024-05-16 16:40:36
input_tally_sheettr47;2024-05-16 16:40:38
input_tally_sheettr45;2024-05-16 16:59:18
input_tally_sheettr8;2024-05-16 17:05:03
input_tally_sheettr14;2024-05-16 17:06:30
