ocel_id;ocel_time
load_trucktr18;2024-05-01 13:46:44
load_trucktr7;2024-05-01 13:48:48
load_trucktr10;2024-05-01 14:03:16
load_trucktr33;2024-05-01 14:13:21
load_trucktr14;2024-05-01 14:21:58
load_trucktr4;2024-05-01 14:51:13
load_trucktr20;2024-05-01 14:52:39
load_trucktr34;2024-05-01 14:54:39
load_trucktr39;2024-05-01 14:55:23
load_trucktr36;2024-05-01 15:18:30
load_trucktr31;2024-05-01 15:27:00
load_trucktr32;2024-05-01 15:48:05
load_trucktr46;2024-05-01 15:55:20
load_trucktr50;2024-05-01 15:55:53
load_trucktr42;2024-05-01 16:08:04
load_trucktr5;2024-05-01 16:16:42
load_trucktr3;2024-05-01 16:21:57
load_trucktr37;2024-05-01 16:24:26
load_trucktr49;2024-05-01 16:25:30
load_trucktr28;2024-05-01 16:25:31
load_trucktr35;2024-05-01 16:27:30
load_trucktr9;2024-05-01 16:40:07
load_trucktr40;2024-05-01 16:53:05
load_trucktr23;2024-05-01 16:55:09
load_trucktr24;2024-05-01 16:57:42
load_trucktr11;2024-05-01 17:18:31
load_trucktr38;2024-05-01 17:44:53
load_trucktr22;2024-05-01 17:55:44
load_trucktr21;2024-05-01 18:10:29
load_trucktr25;2024-05-01 18:35:17
load_trucktr48;2024-05-01 18:50:48
load_trucktr17;2024-05-01 19:18:53
load_trucktr16;2024-05-02 07:10:23
load_trucktr41;2024-05-02 07:57:12
load_trucktr44;2024-05-02 07:57:16
load_trucktr12;2024-05-02 08:23:08
load_trucktr2;2024-05-02 08:27:13
load_trucktr27;2024-05-02 09:32:50
load_trucktr1;2024-05-02 09:43:22
load_trucktr26;2024-05-02 09:58:25
load_trucktr29;2024-05-02 10:46:51
load_trucktr13;2024-05-02 10:48:08
load_trucktr43;2024-05-02 10:54:52
load_trucktr15;2024-05-02 10:56:58
load_trucktr30;2024-05-02 11:06:54
load_trucktr47;2024-05-02 11:45:06
load_trucktr8;2024-05-02 11:56:37
load_trucktr6;2024-05-02 12:03:17
load_trucktr45;2024-05-02 12:06:55
load_trucktr19;2024-05-02 13:41:51
load_trucktr7;2024-05-03 15:30:07
load_trucktr25;2024-05-06 07:38:08
load_trucktr16;2024-05-06 07:52:24
load_trucktr49;2024-05-06 08:19:37
load_trucktr44;2024-05-06 09:41:30
load_trucktr46;2024-05-06 10:41:17
load_trucktr20;2024-05-06 10:51:06
load_trucktr10;2024-05-06 10:58:08
load_trucktr11;2024-05-06 12:09:46
load_trucktr36;2024-05-06 12:32:41
load_trucktr19;2024-05-06 13:20:32
load_trucktr48;2024-05-06 13:47:11
load_trucktr3;2024-05-06 14:28:45
load_trucktr26;2024-05-06 14:43:18
load_trucktr15;2024-05-06 14:46:58
load_trucktr2;2024-05-06 16:26:09
load_trucktr32;2024-05-06 16:49:18
load_trucktr4;2024-05-06 17:08:52
load_trucktr42;2024-05-06 17:42:32
load_trucktr21;2024-05-06 17:57:59
load_trucktr35;2024-05-07 08:04:36
load_trucktr28;2024-05-07 08:49:07
load_trucktr27;2024-05-07 08:54:52
load_trucktr38;2024-05-07 10:31:37
load_trucktr41;2024-05-07 10:53:49
load_trucktr33;2024-05-07 11:22:41
load_trucktr9;2024-05-07 13:24:47
load_trucktr45;2024-05-07 13:54:24
load_trucktr43;2024-05-07 14:34:32
load_trucktr8;2024-05-07 14:53:06
load_trucktr29;2024-05-07 14:55:44
load_trucktr23;2024-05-07 15:33:36
load_trucktr12;2024-05-07 15:46:37
load_trucktr24;2024-05-07 16:02:15
load_trucktr34;2024-05-07 16:04:54
load_trucktr30;2024-05-07 16:21:14
load_trucktr7;2024-05-07 16:51:55
load_trucktr5;2024-05-07 17:03:51
load_trucktr25;2024-05-07 17:55:46
load_trucktr47;2024-05-08 08:26:56
load_trucktr17;2024-05-08 08:31:05
load_trucktr36;2024-05-08 09:29:09
load_trucktr39;2024-05-08 10:45:14
load_trucktr37;2024-05-08 10:56:59
load_trucktr16;2024-05-08 10:57:36
load_trucktr48;2024-05-08 13:50:39
load_trucktr20;2024-05-08 14:55:36
load_trucktr40;2024-05-08 15:10:06
load_trucktr44;2024-05-08 16:29:20
load_trucktr14;2024-05-08 18:33:29
load_trucktr26;2024-05-09 07:32:56
load_trucktr6;2024-05-09 08:51:30
load_trucktr10;2024-05-09 09:22:49
load_trucktr3;2024-05-09 10:12:50
load_trucktr15;2024-05-09 10:51:30
load_trucktr50;2024-05-09 10:57:14
load_trucktr21;2024-05-09 10:58:06
load_trucktr49;2024-05-09 10:59:27
load_trucktr18;2024-05-09 11:43:23
load_trucktr19;2024-05-09 11:53:02
load_trucktr42;2024-05-09 13:19:34
load_trucktr12;2024-05-09 13:58:34
load_trucktr47;2024-05-09 14:15:53
load_trucktr30;2024-05-09 14:21:55
load_trucktr46;2024-05-09 14:36:26
load_trucktr33;2024-05-09 15:04:30
load_trucktr11;2024-05-09 15:06:03
load_trucktr35;2024-05-09 15:21:50
load_trucktr38;2024-05-09 15:58:52
load_trucktr7;2024-05-09 17:40:26
load_trucktr43;2024-05-09 17:49:38
load_trucktr31;2024-05-09 19:24:59
load_trucktr13;2024-05-10 07:32:58
load_trucktr34;2024-05-10 07:43:28
load_trucktr1;2024-05-10 07:43:49
load_trucktr29;2024-05-10 08:28:35
load_trucktr28;2024-05-10 09:06:38
load_trucktr32;2024-05-10 10:57:03
load_trucktr39;2024-05-10 11:47:10
load_trucktr22;2024-05-10 11:58:36
load_trucktr24;2024-05-10 13:33:43
load_trucktr45;2024-05-10 13:45:52
load_trucktr41;2024-05-10 16:25:39
load_trucktr25;2024-05-10 16:34:33
load_trucktr6;2024-05-10 16:53:41
load_trucktr37;2024-05-13 08:15:20
load_trucktr17;2024-05-13 08:38:14
load_trucktr8;2024-05-13 09:57:10
load_trucktr2;2024-05-13 10:27:04
load_trucktr42;2024-05-13 11:23:44
load_trucktr9;2024-05-13 11:40:41
load_trucktr40;2024-05-13 14:02:56
load_trucktr27;2024-05-13 14:55:56
load_trucktr44;2024-05-13 15:01:44
load_trucktr16;2024-05-13 15:24:59
load_trucktr48;2024-05-13 16:55:48
load_trucktr5;2024-05-13 17:29:56
load_trucktr47;2024-05-13 18:05:32
load_trucktr4;2024-05-13 18:37:03
load_trucktr20;2024-05-13 18:40:47
load_trucktr21;2024-05-14 08:43:58
load_trucktr36;2024-05-14 09:20:35
load_trucktr11;2024-05-14 09:35:39
load_trucktr23;2024-05-14 10:19:29
load_trucktr31;2024-05-14 10:59:23
load_trucktr46;2024-05-14 11:38:23
load_trucktr3;2024-05-14 11:56:49
load_trucktr50;2024-05-14 12:23:58
load_trucktr19;2024-05-14 12:24:37
load_trucktr28;2024-05-14 13:58:18
load_trucktr38;2024-05-14 14:08:59
load_trucktr43;2024-05-14 14:19:13
load_trucktr10;2024-05-14 14:39:30
load_trucktr39;2024-05-14 14:48:49
load_trucktr33;2024-05-14 15:29:18
load_trucktr25;2024-05-14 15:40:18
load_trucktr49;2024-05-14 15:52:39
load_trucktr14;2024-05-14 15:56:42
load_trucktr32;2024-05-14 16:21:40
load_trucktr26;2024-05-14 16:22:01
load_trucktr29;2024-05-14 16:35:01
load_trucktr9;2024-05-15 09:44:23
load_trucktr36;2024-05-15 14:55:15
load_trucktr34;2024-05-15 15:18:02
load_trucktr35;2024-05-15 15:28:28
load_trucktr1;2024-05-15 15:42:02
load_trucktr30;2024-05-15 15:51:11
load_trucktr8;2024-05-15 15:52:17
load_trucktr47;2024-05-16 07:32:05
load_trucktr44;2024-05-16 08:34:12
load_trucktr23;2024-05-16 08:35:48
load_trucktr7;2024-05-16 08:45:21
load_trucktr16;2024-05-16 09:50:25
load_trucktr18;2024-05-16 09:54:24
load_trucktr10;2024-05-16 10:26:13
load_trucktr27;2024-05-16 10:33:52
load_trucktr12;2024-05-16 10:35:19
load_trucktr22;2024-05-16 10:40:07
load_trucktr2;2024-05-16 11:20:23
load_trucktr3;2024-05-16 11:47:21
load_trucktr6;2024-05-16 11:50:49
load_trucktr46;2024-05-16 12:00:57
load_trucktr19;2024-05-16 14:27:09
load_trucktr15;2024-05-16 14:56:57
load_trucktr13;2024-05-16 15:31:24
load_trucktr17;2024-05-16 15:39:46
load_trucktr42;2024-05-16 15:54:22
load_trucktr40;2024-05-16 16:12:03
load_trucktr24;2024-05-16 16:21:35
load_trucktr25;2024-05-16 16:35:15
load_trucktr48;2024-05-16 16:38:11
load_trucktr41;2024-05-16 16:53:15
load_trucktr33;2024-05-16 17:44:23
load_trucktr50;2024-05-16 17:53:17
load_trucktr43;2024-05-17 07:20:50
load_trucktr26;2024-05-17 07:38:46
load_trucktr37;2024-05-17 09:11:02
load_trucktr4;2024-05-17 10:14:37
load_trucktr29;2024-05-17 13:59:21
load_trucktr20;2024-05-17 14:01:10
load_trucktr31;2024-05-17 14:18:27
load_trucktr21;2024-05-17 14:25:14
load_trucktr5;2024-05-17 14:54:52
load_trucktr39;2024-05-17 15:12:19
load_trucktr38;2024-05-17 16:55:26
load_trucktr14;2024-05-17 17:26:41
load_trucktr1;2024-05-17 18:25:42
load_trucktr28;2024-05-20 07:32:09
load_trucktr45;2024-05-20 08:07:56
load_trucktr9;2024-05-20 08:20:53
load_trucktr47;2024-05-20 08:26:17
load_trucktr23;2024-05-20 08:39:19
load_trucktr32;2024-05-20 08:54:58
load_trucktr35;2024-05-20 10:49:55
load_trucktr11;2024-05-20 11:28:08
load_trucktr22;2024-05-20 11:48:21
load_trucktr8;2024-05-20 13:25:53
load_trucktr2;2024-05-20 13:47:51
load_trucktr16;2024-05-20 13:54:35
load_trucktr36;2024-05-20 15:16:45
load_trucktr49;2024-05-20 15:26:14
load_trucktr24;2024-05-20 15:30:06
load_trucktr44;2024-05-20 16:06:33
load_trucktr18;2024-05-20 16:19:31
load_trucktr25;2024-05-21 09:41:53
load_trucktr6;2024-05-21 09:59:28
load_trucktr30;2024-05-21 10:30:16
load_trucktr7;2024-05-21 10:35:36
load_trucktr46;2024-05-21 10:40:12
load_trucktr40;2024-05-21 10:40:44
load_trucktr26;2024-05-21 10:49:22
load_trucktr3;2024-05-21 10:54:16
load_trucktr4;2024-05-21 11:56:35
load_trucktr33;2024-05-21 13:59:53
load_trucktr34;2024-05-21 13:59:57
load_trucktr15;2024-05-21 15:16:15
load_trucktr21;2024-05-21 16:54:09
load_trucktr9;2024-05-21 17:09:54
load_trucktr50;2024-05-21 17:47:19
load_trucktr41;2024-05-22 07:45:18
load_trucktr48;2024-05-22 07:48:54
load_trucktr27;2024-05-22 07:50:46
load_trucktr43;2024-05-22 08:29:45
load_trucktr13;2024-05-22 08:30:44
load_trucktr42;2024-05-22 09:12:51
load_trucktr31;2024-05-22 09:47:26
load_trucktr19;2024-05-22 11:10:22
load_trucktr10;2024-05-22 11:18:46
load_trucktr38;2024-05-22 14:08:45
load_trucktr29;2024-05-22 15:21:25
load_trucktr23;2024-05-22 15:56:21
load_trucktr16;2024-05-22 16:18:32
load_trucktr12;2024-05-22 17:10:33
load_trucktr1;2024-05-23 07:28:47
load_trucktr49;2024-05-23 08:54:55
load_trucktr39;2024-05-23 09:31:22
load_trucktr18;2024-05-23 10:53:23
load_trucktr36;2024-05-23 11:05:32
load_trucktr11;2024-05-23 11:56:44
load_trucktr47;2024-05-23 12:09:05
load_trucktr9;2024-05-23 12:09:51
load_trucktr14;2024-05-23 13:26:07
load_trucktr30;2024-05-23 14:37:03
load_trucktr35;2024-05-23 14:54:43
load_trucktr6;2024-05-23 15:48:02
load_trucktr8;2024-05-23 16:00:00
load_trucktr21;2024-05-23 16:37:55
load_trucktr32;2024-05-23 18:02:43
load_trucktr42;2024-05-23 18:16:46
load_trucktr28;2024-05-23 18:50:05
load_trucktr25;2024-05-24 07:58:00
load_trucktr5;2024-05-24 07:59:16
load_trucktr24;2024-05-24 09:27:49
load_trucktr17;2024-05-24 09:49:52
load_trucktr37;2024-05-24 11:30:53
load_trucktr48;2024-05-24 11:42:04
load_trucktr7;2024-05-24 13:29:22
load_trucktr20;2024-05-24 15:28:45
load_trucktr13;2024-05-24 15:43:12
load_trucktr44;2024-05-24 15:54:55
load_trucktr45;2024-05-24 16:51:01
load_trucktr16;2024-05-24 16:54:58
load_trucktr34;2024-05-24 17:13:25
load_trucktr23;2024-05-27 09:34:06
load_trucktr38;2024-05-27 09:49:05
load_trucktr2;2024-05-27 10:04:22
load_trucktr3;2024-05-27 10:30:16
load_trucktr9;2024-05-27 10:45:20
load_trucktr41;2024-05-27 11:17:48
load_trucktr31;2024-05-27 13:25:43
load_trucktr22;2024-05-27 13:40:38
load_trucktr15;2024-05-27 14:16:05
load_trucktr46;2024-05-27 14:19:05
load_trucktr26;2024-05-27 14:40:28
load_trucktr27;2024-05-27 14:51:16
load_trucktr43;2024-05-27 14:53:37
load_trucktr4;2024-05-27 15:46:25
load_trucktr47;2024-05-28 08:40:51
load_trucktr49;2024-05-28 09:43:41
load_trucktr19;2024-05-28 10:43:43
load_trucktr37;2024-05-28 10:51:00
load_trucktr10;2024-05-28 11:43:42
load_trucktr40;2024-05-28 12:36:00
load_trucktr1;2024-05-28 13:55:52
load_trucktr33;2024-05-28 15:47:05
load_trucktr7;2024-05-28 16:19:11
load_trucktr20;2024-05-28 16:32:03
load_trucktr16;2024-05-28 18:08:59
load_trucktr25;2024-05-28 18:34:39
load_trucktr36;2024-05-28 18:57:57
load_trucktr11;2024-05-29 07:18:56
load_trucktr39;2024-05-29 08:06:07
load_trucktr50;2024-05-29 08:17:39
load_trucktr42;2024-05-29 08:21:23
load_trucktr13;2024-05-29 08:35:52
load_trucktr12;2024-05-29 08:40:56
load_trucktr48;2024-05-29 08:46:10
load_trucktr30;2024-05-29 10:24:40
load_trucktr29;2024-05-29 10:31:04
load_trucktr6;2024-05-29 10:45:19
load_trucktr5;2024-05-29 11:39:27
load_trucktr18;2024-05-29 11:51:10
load_trucktr32;2024-05-29 16:25:03
load_trucktr44;2024-05-29 16:28:16
load_trucktr45;2024-05-29 16:59:45
load_trucktr28;2024-05-29 17:31:55
load_trucktr21;2024-05-29 18:45:06
load_trucktr34;2024-05-30 07:56:45
load_trucktr22;2024-05-30 09:18:08
load_trucktr14;2024-05-30 09:22:47
load_trucktr43;2024-05-30 10:36:36
load_trucktr40;2024-05-30 10:37:34
load_trucktr38;2024-05-30 11:15:53
load_trucktr8;2024-05-30 11:28:19
load_trucktr24;2024-05-30 11:51:25
