ocel_id;ocel_time
print_w_tickettr31;2024-05-02 14:53:43
print_w_tickettr38;2024-05-02 15:44:16
print_w_tickettr12;2024-05-02 16:41:57
print_w_tickettr20;2024-05-02 17:02:44
print_w_tickettr15;2024-05-02 19:35:13
print_w_tickettr45;2024-05-03 09:22:41
print_w_tickettr27;2024-05-03 09:34:13
print_w_tickettr26;2024-05-03 09:51:21
print_w_tickettr44;2024-05-03 09:56:49
print_w_tickettr22;2024-05-03 09:57:26
print_w_tickettr46;2024-05-03 11:08:26
print_w_tickettr19;2024-05-03 11:18:54
print_w_tickettr36;2024-05-03 11:22:56
print_w_tickettr25;2024-05-03 11:47:21
print_w_tickettr37;2024-05-03 12:06:38
print_w_tickettr30;2024-05-03 12:11:11
print_w_tickettr7;2024-05-03 12:14:35
print_w_tickettr10;2024-05-03 12:14:46
print_w_tickettr6;2024-05-03 13:33:48
print_w_tickettr4;2024-05-03 14:39:19
print_w_tickettr48;2024-05-03 15:05:16
print_w_tickettr17;2024-05-03 15:25:34
print_w_tickettr39;2024-05-03 15:58:00
print_w_tickettr35;2024-05-03 16:10:01
print_w_tickettr40;2024-05-03 16:52:05
print_w_tickettr1;2024-05-03 17:06:44
print_w_tickettr49;2024-05-03 18:02:17
print_w_tickettr32;2024-05-03 21:02:42
print_w_tickettr43;2024-05-03 22:07:58
print_w_tickettr2;2024-05-06 08:53:56
print_w_tickettr42;2024-05-06 09:01:42
print_w_tickettr28;2024-05-06 09:17:01
print_w_tickettr24;2024-05-06 10:00:58
print_w_tickettr34;2024-05-06 10:43:04
print_w_tickettr29;2024-05-06 11:03:31
print_w_tickettr16;2024-05-06 11:26:11
print_w_tickettr41;2024-05-06 11:31:31
print_w_tickettr5;2024-05-06 11:31:39
print_w_tickettr11;2024-05-06 12:04:03
print_w_tickettr8;2024-05-06 13:54:48
print_w_tickettr14;2024-05-06 14:30:22
print_w_tickettr18;2024-05-06 14:31:47
print_w_tickettr3;2024-05-06 14:40:54
print_w_tickettr23;2024-05-06 15:56:09
print_w_tickettr33;2024-05-06 16:06:37
print_w_tickettr47;2024-05-06 17:08:53
print_w_tickettr13;2024-05-07 08:51:16
print_w_tickettr12;2024-05-07 09:16:36
print_w_tickettr44;2024-05-07 09:54:02
print_w_tickettr15;2024-05-07 10:49:16
print_w_tickettr37;2024-05-07 10:57:10
print_w_tickettr36;2024-05-07 11:48:56
print_w_tickettr39;2024-05-07 13:39:08
print_w_tickettr20;2024-05-07 15:59:10
print_w_tickettr6;2024-05-07 16:26:11
print_w_tickettr35;2024-05-07 16:36:53
print_w_tickettr9;2024-05-07 18:10:14
print_w_tickettr4;2024-05-07 19:18:50
print_w_tickettr38;2024-05-07 21:22:13
print_w_tickettr46;2024-05-08 07:32:21
print_w_tickettr22;2024-05-08 08:45:44
print_w_tickettr19;2024-05-08 09:04:11
print_w_tickettr26;2024-05-08 10:53:30
print_w_tickettr8;2024-05-08 12:00:28
print_w_tickettr2;2024-05-08 12:32:59
print_w_tickettr43;2024-05-08 14:35:42
print_w_tickettr25;2024-05-08 14:36:02
print_w_tickettr40;2024-05-08 14:45:44
print_w_tickettr10;2024-05-08 14:52:25
print_w_tickettr5;2024-05-08 15:04:44
print_w_tickettr50;2024-05-08 15:21:29
print_w_tickettr21;2024-05-08 15:26:51
print_w_tickettr31;2024-05-08 15:51:19
print_w_tickettr49;2024-05-08 15:52:51
print_w_tickettr29;2024-05-08 16:32:37
print_w_tickettr14;2024-05-08 16:58:13
print_w_tickettr7;2024-05-08 17:10:02
print_w_tickettr48;2024-05-08 17:19:39
print_w_tickettr28;2024-05-08 17:42:36
print_w_tickettr32;2024-05-08 18:01:28
print_w_tickettr27;2024-05-09 10:02:54
print_w_tickettr41;2024-05-09 10:47:34
print_w_tickettr33;2024-05-09 11:30:48
print_w_tickettr24;2024-05-09 12:23:11
print_w_tickettr15;2024-05-09 14:11:01
print_w_tickettr34;2024-05-09 14:22:11
print_w_tickettr16;2024-05-09 14:55:28
print_w_tickettr11;2024-05-09 15:21:54
print_w_tickettr19;2024-05-09 15:39:12
print_w_tickettr18;2024-05-09 17:11:28
print_w_tickettr12;2024-05-10 08:55:40
print_w_tickettr30;2024-05-10 09:30:45
print_w_tickettr20;2024-05-10 10:04:08
print_w_tickettr23;2024-05-10 10:06:43
print_w_tickettr1;2024-05-10 10:34:44
print_w_tickettr17;2024-05-10 11:04:50
print_w_tickettr45;2024-05-10 11:58:39
print_w_tickettr9;2024-05-10 15:07:08
print_w_tickettr50;2024-05-10 15:27:35
print_w_tickettr4;2024-05-10 15:54:43
print_w_tickettr36;2024-05-10 16:12:18
print_w_tickettr38;2024-05-10 16:46:24
print_w_tickettr13;2024-05-10 16:50:11
print_w_tickettr35;2024-05-10 16:55:43
print_w_tickettr32;2024-05-10 16:59:18
print_w_tickettr39;2024-05-10 17:53:08
print_w_tickettr22;2024-05-10 18:38:20
print_w_tickettr25;2024-05-13 09:22:38
print_w_tickettr8;2024-05-13 09:27:41
print_w_tickettr47;2024-05-13 09:58:03
print_w_tickettr40;2024-05-13 10:44:41
print_w_tickettr43;2024-05-13 11:09:36
print_w_tickettr28;2024-05-13 12:12:13
print_w_tickettr5;2024-05-13 13:41:51
print_w_tickettr29;2024-05-13 13:55:38
print_w_tickettr42;2024-05-13 14:49:26
print_w_tickettr37;2024-05-13 15:00:58
print_w_tickettr3;2024-05-13 15:15:55
print_w_tickettr46;2024-05-13 16:03:21
print_w_tickettr31;2024-05-13 16:34:53
print_w_tickettr41;2024-05-13 17:08:17
print_w_tickettr2;2024-05-14 09:34:32
print_w_tickettr19;2024-05-14 10:52:36
print_w_tickettr49;2024-05-14 10:56:01
print_w_tickettr48;2024-05-14 10:59:15
print_w_tickettr15;2024-05-14 11:17:13
print_w_tickettr21;2024-05-14 11:51:18
print_w_tickettr10;2024-05-14 12:01:29
print_w_tickettr33;2024-05-14 12:03:12
print_w_tickettr26;2024-05-14 13:02:42
print_w_tickettr11;2024-05-14 16:33:30
print_w_tickettr6;2024-05-14 16:38:39
print_w_tickettr27;2024-05-14 16:57:55
print_w_tickettr44;2024-05-14 17:57:41
print_w_tickettr34;2024-05-14 17:59:03
print_w_tickettr14;2024-05-15 14:32:05
print_w_tickettr7;2024-05-15 14:59:34
