ocel_id;ocel_time
weigh_empty_trucktr18;2024-05-01 11:39:59
weigh_empty_trucktr10;2024-05-01 12:33:44
weigh_empty_trucktr14;2024-05-01 12:53:23
weigh_empty_trucktr7;2024-05-01 13:15:52
weigh_empty_trucktr33;2024-05-01 14:00:14
weigh_empty_trucktr20;2024-05-01 14:18:43
weigh_empty_trucktr39;2024-05-01 14:32:40
weigh_empty_trucktr4;2024-05-01 14:34:30
weigh_empty_trucktr34;2024-05-01 14:41:33
weigh_empty_trucktr42;2024-05-01 14:54:47
weigh_empty_trucktr50;2024-05-01 14:54:55
weigh_empty_trucktr5;2024-05-01 14:58:40
weigh_empty_trucktr36;2024-05-01 15:14:22
weigh_empty_trucktr28;2024-05-01 15:20:24
weigh_empty_trucktr31;2024-05-01 15:22:23
weigh_empty_trucktr9;2024-05-01 15:35:01
weigh_empty_trucktr32;2024-05-01 15:42:53
weigh_empty_trucktr46;2024-05-01 15:52:06
weigh_empty_trucktr11;2024-05-01 15:59:22
weigh_empty_trucktr37;2024-05-01 16:06:06
weigh_empty_trucktr40;2024-05-01 16:08:04
weigh_empty_trucktr3;2024-05-01 16:10:33
weigh_empty_trucktr35;2024-05-01 16:16:54
weigh_empty_trucktr23;2024-05-01 16:19:16
weigh_empty_trucktr49;2024-05-01 16:21:31
weigh_empty_trucktr17;2024-05-01 16:23:06
weigh_empty_trucktr24;2024-05-01 16:30:12
weigh_empty_trucktr25;2024-05-01 16:46:15
weigh_empty_trucktr21;2024-05-01 16:57:50
weigh_empty_trucktr22;2024-05-01 17:14:24
weigh_empty_trucktr38;2024-05-01 17:21:00
weigh_empty_trucktr16;2024-05-01 18:01:46
weigh_empty_trucktr48;2024-05-01 18:11:28
weigh_empty_trucktr41;2024-05-01 18:16:33
weigh_empty_trucktr12;2024-05-01 18:36:03
weigh_empty_trucktr44;2024-05-02 07:37:28
weigh_empty_trucktr2;2024-05-02 08:12:13
weigh_empty_trucktr1;2024-05-02 08:40:15
weigh_empty_trucktr27;2024-05-02 09:27:00
weigh_empty_trucktr15;2024-05-02 09:38:00
weigh_empty_trucktr43;2024-05-02 09:45:14
weigh_empty_trucktr26;2024-05-02 09:51:37
weigh_empty_trucktr8;2024-05-02 10:31:04
weigh_empty_trucktr29;2024-05-02 10:35:28
