ocel_id;ocel_time
weigh_loaded_trucktr31;2024-05-02 14:05:41
weigh_loaded_trucktr20;2024-05-02 15:21:16
weigh_loaded_trucktr38;2024-05-02 15:30:17
weigh_loaded_trucktr12;2024-05-02 16:00:41
weigh_loaded_trucktr15;2024-05-02 17:01:25
weigh_loaded_trucktr32;2024-05-02 18:13:26
weigh_loaded_trucktr43;2024-05-02 18:38:08
weigh_loaded_trucktr45;2024-05-03 08:13:07
weigh_loaded_trucktr22;2024-05-03 08:13:56
weigh_loaded_trucktr44;2024-05-03 08:29:03
weigh_loaded_trucktr26;2024-05-03 08:32:40
weigh_loaded_trucktr27;2024-05-03 09:07:11
weigh_loaded_trucktr30;2024-05-03 09:49:28
weigh_loaded_trucktr19;2024-05-03 10:13:16
weigh_loaded_trucktr46;2024-05-03 10:17:21
weigh_loaded_trucktr7;2024-05-03 10:24:23
weigh_loaded_trucktr10;2024-05-03 10:51:04
weigh_loaded_trucktr6;2024-05-03 11:03:11
weigh_loaded_trucktr36;2024-05-03 11:08:45
weigh_loaded_trucktr37;2024-05-03 11:15:52
weigh_loaded_trucktr25;2024-05-03 11:27:46
weigh_loaded_trucktr17;2024-05-03 12:46:33
weigh_loaded_trucktr48;2024-05-03 13:40:41
weigh_loaded_trucktr35;2024-05-03 13:53:01
weigh_loaded_trucktr4;2024-05-03 14:06:08
weigh_loaded_trucktr39;2024-05-03 15:05:53
weigh_loaded_trucktr49;2024-05-03 15:50:39
weigh_loaded_trucktr40;2024-05-03 16:08:08
weigh_loaded_trucktr1;2024-05-03 16:18:39
weigh_loaded_trucktr2;2024-05-03 17:02:19
weigh_loaded_trucktr28;2024-05-06 07:23:18
weigh_loaded_trucktr16;2024-05-06 07:56:00
weigh_loaded_trucktr24;2024-05-06 08:27:31
weigh_loaded_trucktr42;2024-05-06 08:27:46
weigh_loaded_trucktr41;2024-05-06 08:50:11
weigh_loaded_trucktr34;2024-05-06 09:31:41
weigh_loaded_trucktr29;2024-05-06 10:02:36
weigh_loaded_trucktr11;2024-05-06 10:45:35
weigh_loaded_trucktr5;2024-05-06 11:13:24
weigh_loaded_trucktr8;2024-05-06 11:39:54
weigh_loaded_trucktr18;2024-05-06 11:52:04
weigh_loaded_trucktr23;2024-05-06 11:52:17
weigh_loaded_trucktr3;2024-05-06 12:09:04
weigh_loaded_trucktr14;2024-05-06 12:12:35
weigh_loaded_trucktr47;2024-05-06 14:55:53
weigh_loaded_trucktr33;2024-05-06 15:34:20
weigh_loaded_trucktr38;2024-05-06 18:41:46
weigh_loaded_trucktr13;2024-05-07 08:06:23
weigh_loaded_trucktr12;2024-05-07 09:05:03
weigh_loaded_trucktr44;2024-05-07 09:37:18
weigh_loaded_trucktr37;2024-05-07 10:19:49
weigh_loaded_trucktr15;2024-05-07 10:19:56
weigh_loaded_trucktr36;2024-05-07 11:12:45
weigh_loaded_trucktr20;2024-05-07 11:48:50
weigh_loaded_trucktr35;2024-05-07 11:55:54
weigh_loaded_trucktr39;2024-05-07 13:19:35
weigh_loaded_trucktr9;2024-05-07 15:58:37
weigh_loaded_trucktr6;2024-05-07 16:07:30
weigh_loaded_trucktr4;2024-05-07 16:53:12
weigh_loaded_trucktr46;2024-05-07 17:06:38
weigh_loaded_trucktr19;2024-05-07 17:27:41
weigh_loaded_trucktr22;2024-05-08 08:09:11
weigh_loaded_trucktr2;2024-05-08 09:56:32
weigh_loaded_trucktr26;2024-05-08 10:22:41
weigh_loaded_trucktr43;2024-05-08 11:35:24
weigh_loaded_trucktr8;2024-05-08 11:38:14
weigh_loaded_trucktr25;2024-05-08 12:02:43
weigh_loaded_trucktr40;2024-05-08 12:04:39
weigh_loaded_trucktr21;2024-05-08 12:30:31
weigh_loaded_trucktr50;2024-05-08 12:38:33
weigh_loaded_trucktr5;2024-05-08 13:36:09
weigh_loaded_trucktr49;2024-05-08 13:48:18
weigh_loaded_trucktr10;2024-05-08 14:04:21
