ocel_event_id;ocel_object_id;ocel_qualifier
Lodge_Pcp9;Pcp9;lodged pickup plan
Lodge_Pcp9;Cr8;cargo scheduled to be pick up
Lodge_Pcp6;Pcp6;lodged pickup plan
Lodge_Pcp6;Cr6;cargo scheduled to be pick up
Lodge_Pcp1;Pcp1;lodged pickup plan
Lodge_Pcp1;Cr16;cargo scheduled to be pick up
Lodge_Pcp8;Pcp8;lodged pickup plan
Lodge_Pcp8;Cr12;cargo scheduled to be pick up
Lodge_Pcp3;Pcp3;lodged pickup plan
Lodge_Pcp3;Cr20;cargo scheduled to be pick up
Lodge_Pcp5;Pcp5;lodged pickup plan
Lodge_Pcp5;Cr18;cargo scheduled to be pick up
Lodge_Pcp4;Pcp4;lodged pickup plan
Lodge_Pcp4;Cr13;cargo scheduled to be pick up
Lodge_Pcp10;Pcp10;lodged pickup plan
Lodge_Pcp10;Cr2;cargo scheduled to be pick up
Lodge_Pcp2;Pcp2;lodged pickup plan
Lodge_Pcp2;Cr1;cargo scheduled to be pick up
Lodge_Pcp7;Pcp7;lodged pickup plan
Lodge_Pcp7;Cr17;cargo scheduled to be pick up
assign_trs_Pcp6;tr34;Pickup plan trucks assignment
assign_trs_Pcp6;tr18;Pickup plan trucks assignment
assign_trs_Pcp6;tr26;Pickup plan trucks assignment
assign_trs_Pcp6;tr31;Pickup plan trucks assignment
assign_trs_Pcp1;tr12;Pickup plan trucks assignment
assign_trs_Pcp6;tr10;Pickup plan trucks assignment
assign_trs_Pcp1;tr20;Pickup plan trucks assignment
assign_trs_Pcp6;tr37;Pickup plan trucks assignment
assign_trs_Pcp1;tr13;Pickup plan trucks assignment
assign_trs_Pcp1;tr3;Pickup plan trucks assignment
assign_trs_Pcp6;tr1;Pickup plan trucks assignment
assign_trs_Pcp1;tr14;Pickup plan trucks assignment
assign_trs_Pcp6;tr4;Pickup plan trucks assignment
assign_trs_Pcp1;tr27;Pickup plan trucks assignment
assign_trs_Pcp1;tr29;Pickup plan trucks assignment
assign_trs_Pcp6;tr17;Pickup plan trucks assignment
assign_trs_Pcp1;tr45;Pickup plan trucks assignment
assign_trs_Pcp6;tr32;Pickup plan trucks assignment
assign_trs_Pcp1;tr50;Pickup plan trucks assignment
assign_trs_Pcp6;tr9;Pickup plan trucks assignment
assign_trs_Pcp6;tr7;Pickup plan trucks assignment
assign_trs_Pcp1;tr22;Pickup plan trucks assignment
assign_trs_Pcp6;tr48;Pickup plan trucks assignment
assign_trs_Pcp6;tr23;Pickup plan trucks assignment
assign_trs_Pcp6;tr40;Pickup plan trucks assignment
assign_trs_Pcp6;tr33;Pickup plan trucks assignment
assign_trs_Pcp1;tr28;Pickup plan trucks assignment
assign_trs_Pcp1;tr5;Pickup plan trucks assignment
assign_trs_Pcp6;tr41;Pickup plan trucks assignment
assign_trs_Pcp6;tr2;Pickup plan trucks assignment
assign_trs_Pcp1;tr36;Pickup plan trucks assignment
assign_trs_Pcp1;tr38;Pickup plan trucks assignment
assign_trs_Pcp6;tr21;Pickup plan trucks assignment
assign_trs_Pcp1;tr16;Pickup plan trucks assignment
assign_trs_Pcp1;tr44;Pickup plan trucks assignment
weigh_empty_trucktr18;tr18;Truck weighed
assign_trs_Pcp6;tr6;Pickup plan trucks assignment
assign_trs_Pcp6;tr35;Pickup plan trucks assignment
assign_trs_Pcp6;tr25;Pickup plan trucks assignment
assign_trs_Pcp1;tr39;Pickup plan trucks assignment
assign_trs_Pcp6;tr43;Pickup plan trucks assignment
assign_trs_Pcp6;tr11;Pickup plan trucks assignment
assign_trs_Pcp1;tr24;Pickup plan trucks assignment
assign_trs_Pcp6;tr42;Pickup plan trucks assignment
assign_trs_Pcp6;tr8;Pickup plan trucks assignment
assign_trs_Pcp1;tr19;Pickup plan trucks assignment
weigh_empty_trucktr10;tr10;Truck weighed
assign_trs_Pcp6;tr46;Pickup plan trucks assignment
weigh_empty_trucktr14;tr14;Truck weighed
weigh_empty_trucktr7;tr7;Truck weighed
load_trucktr18;tr18;cargo load for truck
load_trucktr7;tr7;cargo load for truck
weigh_empty_trucktr33;tr33;Truck weighed
load_trucktr10;tr10;cargo load for truck
assign_trs_Pcp6;tr15;Pickup plan trucks assignment
load_trucktr33;tr33;cargo load for truck
assign_trs_Pcp1;tr47;Pickup plan trucks assignment
weigh_empty_trucktr20;tr20;Truck weighed
load_trucktr14;tr14;cargo load for truck
weigh_empty_trucktr39;tr39;Truck weighed
weigh_empty_trucktr4;tr4;Truck weighed
weigh_empty_trucktr34;tr34;Truck weighed
load_trucktr4;tr4;cargo load for truck
load_trucktr20;tr20;cargo load for truck
assign_trs_Pcp1;tr49;Pickup plan trucks assignment
load_trucktr34;tr34;cargo load for truck
weigh_empty_trucktr42;tr42;Truck weighed
weigh_empty_trucktr50;tr50;Truck weighed
load_trucktr39;tr39;cargo load for truck
weigh_empty_trucktr5;tr5;Truck weighed
weigh_empty_trucktr36;tr36;Truck weighed
load_trucktr36;tr36;cargo load for truck
weigh_empty_trucktr28;tr28;Truck weighed
weigh_empty_trucktr31;tr31;Truck weighed
load_trucktr31;tr31;cargo load for truck
weigh_empty_trucktr9;tr9;Truck weighed
weigh_empty_trucktr32;tr32;Truck weighed
assign_trs_Pcp1;tr30;Pickup plan trucks assignment
load_trucktr32;tr32;cargo load for truck
weigh_empty_trucktr46;tr46;Truck weighed
load_trucktr46;tr46;cargo load for truck
load_trucktr50;tr50;cargo load for truck
weigh_empty_trucktr11;tr11;Truck weighed
weigh_empty_trucktr37;tr37;Truck weighed
load_trucktr42;tr42;cargo load for truck
weigh_empty_trucktr40;tr40;Truck weighed
weigh_empty_trucktr3;tr3;Truck weighed
load_trucktr5;tr5;cargo load for truck
