ocel_id;ocel_type
Cr19;Cargo
Cr15;Cargo
tr29;Truck
Cr6;Cargo
Cr18;Cargo
Cr10;Cargo
Cr7;Cargo
Cr4;Cargo
tr33;Truck
tr41;Truck
Cr20;Cargo
Cr2;Cargo
tr9;Truck
tr8;Truck
tr45;Truck
Cr3;Cargo
Cr5;Cargo
tr17;Truck
tr23;Truck
tr13;Truck
Cr12;Cargo
Cr14;Cargo
Cr8;Cargo
tr49;Truck
tr43;Truck
tr5;Truck
tr36;Truck
tr50;Truck
tr40;Truck
tr15;Truck
tr31;Truck
tr14;Truck
Cr17;Cargo
tr47;Truck
Cr13;Cargo
tr16;Truck
tr32;Truck
tr12;Truck
tr6;Truck
tr28;Truck
tr21;Truck
tr38;Truck
tr37;Truck
tr19;Truck
tr1;Truck
tr27;Truck
tr39;Truck
tr42;Truck
tr7;Truck
tr48;Truck
Cr11;Cargo
Cr1;Cargo
tr30;Truck
tr35;Truck
tr22;Truck
tr26;Truck
tr3;Truck
tr18;Truck
Cr9;Cargo
tr46;Truck
tr10;Truck
tr25;Truck
tr34;Truck
tr2;Truck
Sil6;Silo
tr4;Truck
tr24;Truck
tr20;Truck
Sil4;Silo
tr11;Truck
Cr16;Cargo
Sil8;Silo
Sil17;Silo
Sil13;Silo
tr44;Truck
Sil14;Silo
Sil18;Silo
Sil10;Silo
Sil7;Silo
Sil15;Silo
Sil16;Silo
Sil9;Silo
Sil3;Silo
Sil11;Silo
Sil2;Silo
Sil5;Silo
Sil1;Silo
Sil19;Silo
Sil20;Silo
Sil12;Silo
Pcp2;Pickup Plan
Pcp1;Pickup Plan
Pcp3;Pickup Plan
