ocel_id;ocel_time;ocel_changed_field;Cargo ID;Num of trucks;Total pickup weight
Pcp9;2024-04-29 08:12:32;;Cr8;44;413013.5
Pcp6;2024-04-29 08:39:46;;Cr6;28;261674.3
Pcp1;2024-04-29 08:46:20;;Cr16;40;372842.9
Pcp8;2024-04-29 09:07:13;;Cr12;60;569072.7
Pcp3;2024-04-29 09:07:35;;Cr20;68;639757.5
Pcp5;2024-04-29 09:10:45;;Cr18;38;357741.9
Pcp4;2024-04-29 09:25:16;;Cr13;48;453203.8
Pcp10;2024-04-29 09:29:57;;Cr2;61;574906.1
Pcp2;2024-04-29 09:31:44;;Cr1;64;600776.4
Pcp7;2024-04-29 10:32:00;;Cr17;40;373283.7
