ocel_id;ocel_time;ocel_changed_field;Silo Status
Sil6;2024-03-04 00:00:00;;occupied
Sil4;2024-03-04 00:00:00;;occupied
Sil8;2024-03-04 00:00:00;;occupied
Sil17;2024-03-04 00:00:00;;occupied
Sil13;2024-03-04 00:00:00;;occupied
Sil14;2024-03-04 00:00:00;;occupied
Sil18;2024-03-04 00:00:00;;occupied
Sil10;2024-03-04 00:00:00;;occupied
Sil7;2024-03-04 00:00:00;;occupied
Sil15;2024-03-04 00:00:00;;occupied
Sil16;2024-03-04 00:00:00;;occupied
Sil9;2024-03-04 00:00:00;;occupied
Sil3;2024-03-04 00:00:00;;occupied
Sil11;2024-03-04 00:00:00;;occupied
Sil2;2024-03-04 00:00:00;;occupied
Sil5;2024-03-04 00:00:00;;occupied
Sil1;2024-03-04 00:00:00;;occupied
Sil19;2024-03-04 00:00:00;;occupied
Sil20;2024-03-04 00:00:00;;occupied
Sil12;2024-03-04 00:00:00;;occupied
