ocel_source_id;ocel_target_id;ocel_qualifier;ocel_time
Pcp2;Cr1;Lodged pickup plan for cargo;2024-04-29 08:39:46
Pcp1;Cr13;Lodged pickup plan for cargo;2024-04-29 09:25:16
Pcp3;Cr16;Lodged pickup plan for cargo;2024-04-29 09:31:44
tr12;Pcp2;Assigned truck for pickup plan;2024-05-01 10:16:46
tr18;Pcp2;Assigned truck for pickup plan;2024-05-01 10:18:37
tr46;Pcp2;Assigned truck for pickup plan;2024-05-01 10:31:34
tr34;Pcp2;Assigned truck for pickup plan;2024-05-01 10:32:05
tr49;Pcp1;Assigned truck for pickup plan;2024-05-01 10:40:47
tr45;Pcp2;Assigned truck for pickup plan;2024-05-01 10:41:25
tr15;Pcp1;Assigned truck for pickup plan;2024-05-01 10:46:46
tr17;Pcp2;Assigned truck for pickup plan;2024-05-01 10:47:16
tr35;Pcp1;Assigned truck for pickup plan;2024-05-01 10:47:33
tr24;Pcp2;Assigned truck for pickup plan;2024-05-01 10:49:28
tr44;Pcp2;Assigned truck for pickup plan;2024-05-01 10:54:36
tr42;Pcp1;Assigned truck for pickup plan;2024-05-01 10:55:40
tr25;Pcp2;Assigned truck for pickup plan;2024-05-01 11:00:23
tr6;Pcp2;Assigned truck for pickup plan;2024-05-01 11:00:53
tr26;Pcp1;Assigned truck for pickup plan;2024-05-01 11:01:59
tr40;Pcp1;Assigned truck for pickup plan;2024-05-01 11:02:42
tr38;Pcp2;Assigned truck for pickup plan;2024-05-01 11:03:12
tr48;Pcp1;Assigned truck for pickup plan;2024-05-01 11:05:49
tr31;Pcp1;Assigned truck for pickup plan;2024-05-01 11:08:07
tr9;Pcp2;Assigned truck for pickup plan;2024-05-01 11:09:26
tr16;Pcp2;Assigned truck for pickup plan;2024-05-01 11:13:53
tr29;Pcp2;Assigned truck for pickup plan;2024-05-01 11:16:22
tr43;Pcp2;Assigned truck for pickup plan;2024-05-01 11:16:56
tr10;Pcp1;Assigned truck for pickup plan;2024-05-01 11:17:57
tr13;Pcp2;Assigned truck for pickup plan;2024-05-01 11:19:56
tr21;Pcp1;Assigned truck for pickup plan;2024-05-01 11:23:41
tr4;Pcp1;Assigned truck for pickup plan;2024-05-01 11:30:31
tr39;Pcp2;Assigned truck for pickup plan;2024-05-01 11:30:41
tr1;Pcp2;Assigned truck for pickup plan;2024-05-01 11:31:04
tr27;Pcp1;Assigned truck for pickup plan;2024-05-01 11:36:35
tr30;Pcp1;Assigned truck for pickup plan;2024-05-01 11:37:43
tr14;Pcp1;Assigned truck for pickup plan;2024-05-01 11:42:11
tr20;Pcp1;Assigned truck for pickup plan;2024-05-01 11:42:12
tr5;Pcp1;Assigned truck for pickup plan;2024-05-01 11:46:55
tr2;Pcp2;Assigned truck for pickup plan;2024-05-01 11:53:28
tr19;Pcp2;Assigned truck for pickup plan;2024-05-01 11:57:48
tr28;Pcp2;Assigned truck for pickup plan;2024-05-01 12:00:12
tr23;Pcp1;Assigned truck for pickup plan;2024-05-01 12:02:18
tr37;Pcp2;Assigned truck for pickup plan;2024-05-01 12:11:55
tr36;Pcp1;Assigned truck for pickup plan;2024-05-01 12:17:48
tr11;Pcp2;Assigned truck for pickup plan;2024-05-01 12:26:37
tr50;Pcp2;Assigned truck for pickup plan;2024-05-01 12:38:25
tr7;Pcp1;Assigned truck for pickup plan;2024-05-01 13:31:56
tr33;Pcp1;Assigned truck for pickup plan;2024-05-01 13:43:02
tr41;Pcp1;Assigned truck for pickup plan;2024-05-01 13:45:31
tr22;Pcp2;Assigned truck for pickup plan;2024-05-01 13:58:38
tr32;Pcp2;Assigned truck for pickup plan;2024-05-01 14:04:56
tr47;Pcp2;Assigned truck for pickup plan;2024-05-01 14:30:34
tr8;Pcp2;Assigned truck for pickup plan;2024-05-01 14:59:50
tr3;Pcp1;Assigned truck for pickup plan;2024-05-01 15:05:17
tr38;Pcp2;Dropped truck from pickup plan;2024-05-02 15:55:41
tr31;Pcp1;Dropped truck from pickup plan;2024-05-02 16:15:25
tr12;Pcp2;Dropped truck from pickup plan;2024-05-02 18:26:46
tr20;Pcp1;Dropped truck from pickup plan;2024-05-03 07:37:54
tr31;Pcp1;Assigned truck for pickup plan;2024-05-03 08:00:51
tr15;Pcp1;Dropped truck from pickup plan;2024-05-03 08:11:19
tr45;Pcp2;Dropped truck from pickup plan;2024-05-03 09:44:48
tr27;Pcp1;Dropped truck from pickup plan;2024-05-03 09:56:05
tr26;Pcp1;Dropped truck from pickup plan;2024-05-03 11:03:42
tr12;Pcp1;Assigned truck for pickup plan;2024-05-03 11:26:05
tr44;Pcp2;Dropped truck from pickup plan;2024-05-03 11:26:59
tr22;Pcp2;Dropped truck from pickup plan;2024-05-03 11:30:50
tr46;Pcp2;Dropped truck from pickup plan;2024-05-03 11:31:59
tr19;Pcp2;Dropped truck from pickup plan;2024-05-03 11:37:42
tr36;Pcp1;Dropped truck from pickup plan;2024-05-03 11:40:16
tr15;Pcp3;Assigned truck for pickup plan;2024-05-03 11:40:20
tr20;Pcp3;Assigned truck for pickup plan;2024-05-03 12:13:24
tr30;Pcp1;Dropped truck from pickup plan;2024-05-03 13:41:56
tr37;Pcp2;Dropped truck from pickup plan;2024-05-03 13:47:27
tr38;Pcp1;Assigned truck for pickup plan;2024-05-03 13:55:45
tr10;Pcp1;Dropped truck from pickup plan;2024-05-03 13:55:51
tr7;Pcp1;Dropped truck from pickup plan;2024-05-03 14:09:06
tr25;Pcp2;Dropped truck from pickup plan;2024-05-03 14:20:19
tr44;Pcp3;Assigned truck for pickup plan;2024-05-03 14:31:39
tr6;Pcp2;Dropped truck from pickup plan;2024-05-03 14:55:10
tr45;Pcp3;Assigned truck for pickup plan;2024-05-03 15:03:44
tr48;Pcp1;Dropped truck from pickup plan;2024-05-03 15:22:45
tr22;Pcp3;Assigned truck for pickup plan;2024-05-03 15:25:39
tr36;Pcp3;Assigned truck for pickup plan;2024-05-03 15:29:57
tr46;Pcp1;Assigned truck for pickup plan;2024-05-03 15:40:46
tr4;Pcp1;Dropped truck from pickup plan;2024-05-03 15:42:19
tr27;Pcp1;Assigned truck for pickup plan;2024-05-03 15:42:51
tr19;Pcp1;Assigned truck for pickup plan;2024-05-03 15:54:15
tr17;Pcp2;Dropped truck from pickup plan;2024-05-03 15:59:05
tr25;Pcp3;Assigned truck for pickup plan;2024-05-03 16:11:39
tr26;Pcp1;Assigned truck for pickup plan;2024-05-03 16:17:41
tr37;Pcp1;Assigned truck for pickup plan;2024-05-03 16:22:49
tr30;Pcp3;Assigned truck for pickup plan;2024-05-03 16:39:03
tr35;Pcp1;Dropped truck from pickup plan;2024-05-03 16:39:22
tr39;Pcp2;Dropped truck from pickup plan;2024-05-03 17:20:06
tr10;Pcp1;Assigned truck for pickup plan;2024-05-03 19:05:49
tr40;Pcp1;Dropped truck from pickup plan;2024-05-03 19:38:44
tr1;Pcp2;Dropped truck from pickup plan;2024-05-06 07:16:21
tr49;Pcp1;Dropped truck from pickup plan;2024-05-06 07:21:04
tr43;Pcp2;Dropped truck from pickup plan;2024-05-06 07:53:26
tr32;Pcp2;Dropped truck from pickup plan;2024-05-06 08:10:11
tr35;Pcp3;Assigned truck for pickup plan;2024-05-06 09:09:19
tr42;Pcp1;Dropped truck from pickup plan;2024-05-06 09:36:19
tr28;Pcp2;Dropped truck from pickup plan;2024-05-06 09:48:20
tr7;Pcp3;Assigned truck for pickup plan;2024-05-06 10:02:51
tr2;Pcp2;Dropped truck from pickup plan;2024-05-06 10:06:28
tr39;Pcp1;Assigned truck for pickup plan;2024-05-06 10:17:06
tr6;Pcp1;Assigned truck for pickup plan;2024-05-06 10:38:36
tr24;Pcp2;Dropped truck from pickup plan;2024-05-06 10:41:34
tr17;Pcp3;Assigned truck for pickup plan;2024-05-06 10:52:43
tr4;Pcp1;Assigned truck for pickup plan;2024-05-06 10:53:28
tr43;Pcp3;Assigned truck for pickup plan;2024-05-06 10:58:02
tr29;Pcp2;Dropped truck from pickup plan;2024-05-06 11:19:36
tr40;Pcp1;Assigned truck for pickup plan;2024-05-06 11:20:23
tr48;Pcp3;Assigned truck for pickup plan;2024-05-06 11:48:28
tr34;Pcp2;Dropped truck from pickup plan;2024-05-06 11:49:39
tr42;Pcp1;Assigned truck for pickup plan;2024-05-06 11:51:33
tr16;Pcp2;Dropped truck from pickup plan;2024-05-06 11:59:41
tr32;Pcp1;Assigned truck for pickup plan;2024-05-06 12:05:18
tr1;Pcp3;Assigned truck for pickup plan;2024-05-06 12:50:49
tr5;Pcp1;Dropped truck from pickup plan;2024-05-06 13:32:23
tr41;Pcp1;Dropped truck from pickup plan;2024-05-06 13:34:25
tr11;Pcp2;Dropped truck from pickup plan;2024-05-06 13:43:20
tr49;Pcp3;Assigned truck for pickup plan;2024-05-06 14:11:27
tr29;Pcp3;Assigned truck for pickup plan;2024-05-06 14:48:03
tr3;Pcp1;Dropped truck from pickup plan;2024-05-06 14:52:48
tr8;Pcp2;Dropped truck from pickup plan;2024-05-06 15:17:02
tr24;Pcp1;Assigned truck for pickup plan;2024-05-06 15:21:02
tr14;Pcp1;Dropped truck from pickup plan;2024-05-06 15:30:47
tr28;Pcp3;Assigned truck for pickup plan;2024-05-06 15:37:43
tr18;Pcp2;Dropped truck from pickup plan;2024-05-06 15:42:10
tr2;Pcp1;Assigned truck for pickup plan;2024-05-06 15:53:47
tr33;Pcp1;Dropped truck from pickup plan;2024-05-06 16:19:12
tr11;Pcp1;Assigned truck for pickup plan;2024-05-06 16:48:35
tr34;Pcp3;Assigned truck for pickup plan;2024-05-06 16:53:24
tr23;Pcp1;Dropped truck from pickup plan;2024-05-06 17:10:48
tr41;Pcp1;Assigned truck for pickup plan;2024-05-06 17:41:49
tr47;Pcp2;Dropped truck from pickup plan;2024-05-06 18:18:38
tr14;Pcp3;Assigned truck for pickup plan;2024-05-06 19:09:12
tr3;Pcp1;Assigned truck for pickup plan;2024-05-06 19:10:36
tr33;Pcp1;Assigned truck for pickup plan;2024-05-07 08:31:21
tr8;Pcp3;Assigned truck for pickup plan;2024-05-07 08:40:23
tr16;Pcp3;Assigned truck for pickup plan;2024-05-07 08:45:49
tr12;Pcp1;Dropped truck from pickup plan;2024-05-07 09:37:50
tr18;Pcp3;Assigned truck for pickup plan;2024-05-07 09:51:44
tr13;Pcp2;Dropped truck from pickup plan;2024-05-07 10:04:25
tr5;Pcp1;Assigned truck for pickup plan;2024-05-07 10:12:55
tr47;Pcp1;Assigned truck for pickup plan;2024-05-07 10:28:54
tr15;Pcp3;Dropped truck from pickup plan;2024-05-07 10:55:40
tr44;Pcp3;Dropped truck from pickup plan;2024-05-07 11:10:14
tr13;Pcp3;Assigned truck for pickup plan;2024-05-07 11:27:00
tr37;Pcp1;Dropped truck from pickup plan;2024-05-07 12:16:58
tr12;Pcp1;Assigned truck for pickup plan;2024-05-07 13:45:29
tr23;Pcp1;Assigned truck for pickup plan;2024-05-07 14:09:50
tr36;Pcp3;Dropped truck from pickup plan;2024-05-07 14:18:06
tr39;Pcp1;Dropped truck from pickup plan;2024-05-07 14:44:41
tr15;Pcp3;Assigned truck for pickup plan;2024-05-07 14:53:09
tr44;Pcp1;Assigned truck for pickup plan;2024-05-07 15:09:13
tr36;Pcp3;Assigned truck for pickup plan;2024-05-07 16:26:25
tr37;Pcp3;Assigned truck for pickup plan;2024-05-07 16:55:37
tr6;Pcp1;Dropped truck from pickup plan;2024-05-07 17:35:51
tr20;Pcp3;Dropped truck from pickup plan;2024-05-07 17:47:51
tr35;Pcp3;Dropped truck from pickup plan;2024-05-07 17:53:03
tr4;Pcp1;Dropped truck from pickup plan;2024-05-08 07:45:37
tr38;Pcp1;Dropped truck from pickup plan;2024-05-08 07:53:43
tr9;Pcp2;Dropped truck from pickup plan;2024-05-08 07:54:11
tr39;Pcp3;Assigned truck for pickup plan;2024-05-08 08:53:52
tr19;Pcp1;Dropped truck from pickup plan;2024-05-08 09:13:02
tr46;Pcp1;Dropped truck from pickup plan;2024-05-08 09:24:09
tr20;Pcp3;Assigned truck for pickup plan;2024-05-08 09:27:52
tr22;Pcp3;Dropped truck from pickup plan;2024-05-08 09:46:33
tr6;Pcp3;Assigned truck for pickup plan;2024-05-08 10:56:57
tr4;Pcp3;Assigned truck for pickup plan;2024-05-08 11:09:26
