Event_id,Timestamp,Activity
Lodge_Pcp9,2024-04-29 08:12:32,Lodge Pickup Plan
Lodge_Pcp6,2024-04-29 08:39:46,Lodge Pickup Plan
Lodge_Pcp1,2024-04-29 08:46:20,Lodge Pickup Plan
Lodge_Pcp8,2024-04-29 09:07:13,Lodge Pickup Plan
Lodge_Pcp3,2024-04-29 09:07:35,Lodge Pickup Plan
Lodge_Pcp5,2024-04-29 09:10:45,Lodge Pickup Plan
Lodge_Pcp4,2024-04-29 09:25:16,Lodge Pickup Plan
Lodge_Pcp10,2024-04-29 09:29:57,Lodge Pickup Plan
Lodge_Pcp2,2024-04-29 09:31:44,Lodge Pickup Plan
Lodge_Pcp7,2024-04-29 10:32:00,Lodge Pickup Plan
assign_trs_Pcp6,2024-05-01 10:19:54,Assign Truck
assign_trs_Pcp6,2024-05-01 10:25:53,Assign Truck
assign_trs_Pcp6,2024-05-01 10:26:40,Assign Truck
assign_trs_Pcp6,2024-05-01 10:32:05,Assign Truck
assign_trs_Pcp1,2024-05-01 10:32:08,Assign Truck
assign_trs_Pcp6,2024-05-01 10:34:47,Assign Truck
assign_trs_Pcp1,2024-05-01 10:40:26,Assign Truck
assign_trs_Pcp6,2024-05-01 10:47:14,Assign Truck
assign_trs_Pcp1,2024-05-01 10:50:57,Assign Truck
assign_trs_Pcp1,2024-05-01 10:51:40,Assign Truck
assign_trs_Pcp6,2024-05-01 10:54:36,Assign Truck
assign_trs_Pcp1,2024-05-01 10:54:47,Assign Truck
assign_trs_Pcp6,2024-05-01 10:57:04,Assign Truck
assign_trs_Pcp1,2024-05-01 11:01:34,Assign Truck
assign_trs_Pcp1,2024-05-01 11:02:05,Assign Truck
assign_trs_Pcp6,2024-05-01 11:02:48,Assign Truck
assign_trs_Pcp1,2024-05-01 11:03:00,Assign Truck
assign_trs_Pcp6,2024-05-01 11:03:12,Assign Truck
assign_trs_Pcp1,2024-05-01 11:08:08,Assign Truck
assign_trs_Pcp6,2024-05-01 11:09:26,Assign Truck
assign_trs_Pcp6,2024-05-01 11:13:53,Assign Truck
assign_trs_Pcp1,2024-05-01 11:15:37,Assign Truck
assign_trs_Pcp6,2024-05-01 11:15:42,Assign Truck
assign_trs_Pcp6,2024-05-01 11:16:22,Assign Truck
assign_trs_Pcp6,2024-05-01 11:16:50,Assign Truck
assign_trs_Pcp6,2024-05-01 11:16:56,Assign Truck
assign_trs_Pcp1,2024-05-01 11:17:15,Assign Truck
assign_trs_Pcp1,2024-05-01 11:19:29,Assign Truck
assign_trs_Pcp6,2024-05-01 11:19:56,Assign Truck
assign_trs_Pcp6,2024-05-01 11:21:19,Assign Truck
assign_trs_Pcp1,2024-05-01 11:23:42,Assign Truck
assign_trs_Pcp1,2024-05-01 11:23:55,Assign Truck
assign_trs_Pcp6,2024-05-01 11:26:02,Assign Truck
assign_trs_Pcp1,2024-05-01 11:31:09,Assign Truck
assign_trs_Pcp1,2024-05-01 11:31:34,Assign Truck
weigh_empty_trucktr18,2024-05-01 11:39:59,Weigh the Empty Truck
assign_trs_Pcp6,2024-05-01 11:41:25,Assign Truck
assign_trs_Pcp6,2024-05-01 11:56:55,Assign Truck
assign_trs_Pcp6,2024-05-01 11:57:48,Assign Truck
assign_trs_Pcp1,2024-05-01 12:00:42,Assign Truck
assign_trs_Pcp6,2024-05-01 12:11:55,Assign Truck
assign_trs_Pcp6,2024-05-01 12:18:36,Assign Truck
assign_trs_Pcp1,2024-05-01 12:19:34,Assign Truck
assign_trs_Pcp6,2024-05-01 12:20:35,Assign Truck
assign_trs_Pcp6,2024-05-01 12:26:37,Assign Truck
assign_trs_Pcp1,2024-05-01 12:28:44,Assign Truck
weigh_empty_trucktr10,2024-05-01 12:33:44,Weigh the Empty Truck
assign_trs_Pcp6,2024-05-01 12:38:25,Assign Truck
weigh_empty_trucktr14,2024-05-01 12:53:23,Weigh the Empty Truck
weigh_empty_trucktr7,2024-05-01 13:15:52,Weigh the Empty Truck
load_trucktr18,2024-05-01 13:46:44,Load Truck
load_trucktr7,2024-05-01 13:48:48,Load Truck
weigh_empty_trucktr33,2024-05-01 14:00:14,Weigh the Empty Truck
load_trucktr10,2024-05-01 14:03:16,Load Truck
assign_trs_Pcp6,2024-05-01 14:04:56,Assign Truck
load_trucktr33,2024-05-01 14:13:21,Load Truck
assign_trs_Pcp1,2024-05-01 14:13:40,Assign Truck
weigh_empty_trucktr20,2024-05-01 14:18:43,Weigh the Empty Truck
load_trucktr14,2024-05-01 14:21:58,Load Truck
weigh_empty_trucktr39,2024-05-01 14:32:40,Weigh the Empty Truck
weigh_empty_trucktr4,2024-05-01 14:34:30,Weigh the Empty Truck
weigh_empty_trucktr34,2024-05-01 14:41:33,Weigh the Empty Truck
load_trucktr4,2024-05-01 14:51:13,Load Truck
load_trucktr20,2024-05-01 14:52:39,Load Truck
assign_trs_Pcp1,2024-05-01 14:54:15,Assign Truck
load_trucktr34,2024-05-01 14:54:39,Load Truck
weigh_empty_trucktr42,2024-05-01 14:54:47,Weigh the Empty Truck
weigh_empty_trucktr50,2024-05-01 14:54:55,Weigh the Empty Truck
load_trucktr39,2024-05-01 14:55:23,Load Truck
weigh_empty_trucktr5,2024-05-01 14:58:40,Weigh the Empty Truck
