ocel_id;ocel_time;ocel_changed_field;RFID No;Pickup Plan ID;Cargo ID;LPT;Axles;Scheduled Pickup Weight;Truck Status;Truck Weight;Is_normal
tr8;2024-03-04 00:00:00;;rfidHTVXVN;;;720QYQ;4;0.0;Available;0.0;
tr41;2024-03-04 00:00:00;;rfidEMPMPR;;;152ACE;6;0.0;Available;0.0;
tr11;2024-03-04 00:00:00;;rfidSHHSUU;;;110JHX;2;0.0;Available;0.0;
tr10;2024-03-04 00:00:00;;rfidETCTYM;;;271FSE;2;0.0;Available;0.0;
tr22;2024-03-04 00:00:00;;rfidNJVBRP;;;358QAR;4;0.0;Available;0.0;
tr20;2024-03-04 00:00:00;;rfidZIMVBU;;;764KIO;4;0.0;Available;0.0;
tr29;2024-03-04 00:00:00;;rfidXBNNKM;;;751GPH;4;0.0;Available;0.0;
tr1;2024-03-04 00:00:00;;rfidWKFZQT;;;152SGS;2;0.0;Available;0.0;
tr44;2024-03-04 00:00:00;;rfidWVBFTX;;;322GGS;6;0.0;Available;0.0;
tr46;2024-03-04 00:00:00;;rfidOGWMQM;;;745QOR;2;0.0;Available;0.0;
tr7;2024-03-04 00:00:00;;rfidVERXCO;;;926VFT;2;0.0;Available;0.0;
tr50;2024-03-04 00:00:00;;rfidLVVLVI;;;606MXL;4;0.0;Available;0.0;
tr5;2024-03-04 00:00:00;;rfidQAZFOJ;;;516RXR;2;0.0;Available;0.0;
tr19;2024-03-04 00:00:00;;rfidETADML;;;280QHM;2;0.0;Available;0.0;
tr43;2024-03-04 00:00:00;;rfidPGFJDN;;;218IVR;4;0.0;Available;0.0;
tr24;2024-03-04 00:00:00;;rfidPCHSPX;;;433XVW;4;0.0;Available;0.0;
tr37;2024-03-04 00:00:00;;rfidAIKMVD;;;773CWA;2;0.0;Available;0.0;
tr25;2024-03-04 00:00:00;;rfidRGOUFR;;;199LWF;4;0.0;Available;0.0;
tr31;2024-03-04 00:00:00;;rfidARBJWY;;;341KDU;4;0.0;Available;0.0;
tr6;2024-03-04 00:00:00;;rfidAMDUNM;;;710YJQ;2;0.0;Available;0.0;
tr32;2024-03-04 00:00:00;;rfidUTCXLY;;;249VPA;6;0.0;Available;0.0;
tr40;2024-03-04 00:00:00;;rfidRSRUSS;;;846KXL;2;0.0;Available;0.0;
tr38;2024-03-04 00:00:00;;rfidILUGGL;;;681JLZ;6;0.0;Available;0.0;
tr17;2024-03-04 00:00:00;;rfidJLHJTQ;;;704VGQ;2;0.0;Available;0.0;
tr23;2024-03-04 00:00:00;;rfidPBXSPB;;;275FJS;2;0.0;Available;0.0;
tr33;2024-03-04 00:00:00;;rfidGBSJOX;;;665MJJ;6;0.0;Available;0.0;
tr49;2024-03-04 00:00:00;;rfidGKLNHW;;;012CRA;4;0.0;Available;0.0;
tr13;2024-03-04 00:00:00;;rfidPQRPER;;;478FZE;6;0.0;Available;0.0;
tr30;2024-03-04 00:00:00;;rfidDUQTMP;;;335QUF;6;0.0;Available;0.0;
tr12;2024-03-04 00:00:00;;rfidQDDPEL;;;847TSW;4;0.0;Available;0.0;
tr15;2024-03-04 00:00:00;;rfidIDSLBJ;;;581DYE;2;0.0;Available;0.0;
tr18;2024-03-04 00:00:00;;rfidSFXKWU;;;622MSX;2;0.0;Available;0.0;
tr48;2024-03-04 00:00:00;;rfidWOXYMT;;;779BOG;2;0.0;Available;0.0;
tr14;2024-03-04 00:00:00;;rfidTVEOGG;;;352PSG;4;0.0;Available;0.0;
tr39;2024-03-04 00:00:00;;rfidEHPECQ;;;935YUF;6;0.0;Available;0.0;
tr42;2024-03-04 00:00:00;;rfidSETHFQ;;;968MEX;6;0.0;Available;0.0;
tr4;2024-03-04 00:00:00;;rfidSQRAVV;;;671NRX;2;0.0;Available;0.0;
tr36;2024-03-04 00:00:00;;rfidPEHJWR;;;157LCX;6;0.0;Available;0.0;
tr35;2024-03-04 00:00:00;;rfidPQEPJB;;;622SCZ;2;0.0;Available;0.0;
tr9;2024-03-04 00:00:00;;rfidRJSTWE;;;534VKG;6;0.0;Available;0.0;
tr26;2024-03-04 00:00:00;;rfidRLRDIX;;;747FJX;2;0.0;Available;0.0;
tr27;2024-03-04 00:00:00;;rfidECBYOS;;;068JIT;2;0.0;Available;0.0;
tr2;2024-03-04 00:00:00;;rfidZPKIJB;;;380DUE;6;0.0;Available;0.0;
tr16;2024-03-04 00:00:00;;rfidVKTBCE;;;731QSN;4;0.0;Available;0.0;
tr34;2024-03-04 00:00:00;;rfidVIJCAW;;;055DSW;6;0.0;Available;0.0;
tr28;2024-03-04 00:00:00;;rfidKCZYCR;;;702XFC;4;0.0;Available;0.0;
tr3;2024-03-04 00:00:00;;rfidCNJHRI;;;768QPS;2;0.0;Available;0.0;
tr45;2024-03-04 00:00:00;;rfidAGFLBP;;;125YSO;4;0.0;Available;0.0;
tr21;2024-03-04 00:00:00;;rfidDXYTZF;;;823MWT;6;0.0;Available;0.0;
tr47;2024-03-04 00:00:00;;rfidTJXXRH;;;693VMO;4;0.0;Available;0.0;
