ocel_id;ocel_time
trs_entrytr29;2024-05-01 15:33:09
trs_entrytr40;2024-05-01 16:46:34
trs_entrytr39;2024-05-01 16:49:10
determine_continuancetr29;2024-05-01 17:00:07
trs_entrytr15;2024-05-01 17:24:38
trs_entrytr36;2024-05-01 17:39:57
determine_continuancetr15;2024-05-02 08:00:12
determine_continuancetr39;2024-05-02 08:11:23
trs_entrytr46;2024-05-02 08:22:40
trs_entrytr17;2024-05-02 08:27:14
determine_continuancetr36;2024-05-02 09:08:23
determine_continuancetr17;2024-05-02 09:49:35
determine_continuancetr40;2024-05-02 09:54:18
determine_continuancetr46;2024-05-02 10:14:41
trs_entrytr46;2024-05-01 16:04:18
determine_continuancetr46;2024-05-01 16:51:35
trs_entrytr49;2024-05-01 17:22:22
trs_entrytr17;2024-05-01 17:54:27
trs_entrytr10;2024-05-02 07:24:29
trs_entrytr25;2024-05-02 08:33:59
determine_continuancetr49;2024-05-02 08:45:49
trs_entrytr47;2024-05-02 09:30:46
determine_continuancetr10;2024-05-02 09:43:31
determine_continuancetr47;2024-05-02 09:55:11
determine_continuancetr17;2024-05-02 10:05:49
trs_entrytr26;2024-05-02 10:13:55
determine_continuancetr26;2024-05-02 10:33:38
determine_continuancetr25;2024-05-02 10:35:36
trs_entrytr12;2024-05-01 16:07:35
trs_entrytr3;2024-05-01 18:14:01
trs_entrytr2;2024-05-02 08:30:54
trs_entrytr16;2024-05-02 08:52:05
trs_entrytr39;2024-05-01 15:20:45
trs_entrytr49;2024-05-01 15:22:57
trs_entrytr40;2024-05-01 15:32:04
trs_entrytr24;2024-05-01 16:48:34
trs_entrytr21;2024-05-01 17:05:24
trs_entrytr34;2024-05-01 17:20:38
trs_entrytr30;2024-05-02 09:30:40
trs_entrytr37;2024-05-02 09:50:01
trs_entrytr32;2024-05-02 11:26:39
trs_entrytr50;2024-05-02 15:23:55
trs_entrytr41;2024-05-02 17:02:00
trs_entrytr23;2024-05-01 14:53:33
trs_entrytr30;2024-05-01 15:32:45
trs_entrytr38;2024-05-01 16:24:22
trs_entrytr40;2024-05-01 16:59:37
trs_entrytr31;2024-05-02 08:10:17
trs_entrytr49;2024-05-02 08:20:33
trs_entrytr10;2024-05-02 08:34:53
trs_entrytr25;2024-05-02 09:40:33
trs_entrytr1;2024-05-01 15:40:39
trs_entrytr39;2024-05-01 15:40:48
trs_entrytr11;2024-05-01 15:52:39
trs_entrytr49;2024-05-01 17:27:44
trs_entrytr46;2024-05-02 09:19:49
trs_entrytr13;2024-05-01 15:40:32
trs_entrytr11;2024-05-01 19:04:24
trs_entrytr2;2024-05-02 09:01:13
trs_entrytr8;2024-05-02 09:55:57
trs_entrytr9;2024-05-02 10:32:30
trs_entrytr34;2024-05-02 10:55:25
