ocel_id;ocel_time
arrive_at_Silo20;2024-05-02 08:03:30
arrive_at_Silo20;2024-05-02 08:05:47
arrive_at_Silo20;2024-05-02 08:50:02
arrive_at_Silo20;2024-05-02 09:30:45
arrive_at_Silo20;2024-05-02 09:55:28
arrive_at_Silo20;2024-05-02 10:10:16
arrive_at_Silo20;2024-05-02 10:47:40
arrive_at_Silo20;2024-05-02 10:59:00
arrive_at_Silo20;2024-05-02 11:48:01
arrive_at_Silo20;2024-05-02 14:02:41
arrive_at_Silo20;2024-05-02 14:13:48
arrive_at_Silo20;2024-05-02 14:16:21
arrive_at_Silo20;2024-05-02 14:35:16
arrive_at_Silo20;2024-05-02 14:40:12
arrive_at_Silo20;2024-05-02 14:47:49
arrive_at_Silo20;2024-05-02 14:53:22
arrive_at_Silo20;2024-05-02 15:42:44
arrive_at_Silo20;2024-05-02 15:42:51
arrive_at_Silo20;2024-05-02 15:59:41
arrive_at_Silo20;2024-05-02 15:59:58
arrive_at_Silo20;2024-05-02 16:36:59
arrive_at_Silo20;2024-05-02 16:55:32
arrive_at_Silo20;2024-05-02 19:02:31
arrive_at_Silo20;2024-05-03 07:44:20
arrive_at_Silo20;2024-05-03 08:59:10
arrive_at_Silo20;2024-05-03 10:01:49
arrive_at_Silo20;2024-05-03 11:08:15
arrive_at_Silo20;2024-05-03 11:56:13
arrive_at_Silo20;2024-05-03 14:35:22
arrive_at_Silo20;2024-05-03 14:36:38
arrive_at_Silo10;2024-05-03 16:04:13
arrive_at_Silo20;2024-05-03 16:35:58
arrive_at_Silo20;2024-05-06 07:57:54
arrive_at_Silo3;2024-05-06 09:24:01
arrive_at_Silo6;2024-05-06 11:56:42
arrive_at_Silo1;2024-05-06 14:08:57
arrive_at_Silo2;2024-05-06 15:46:57
arrive_at_Silo20;2024-05-06 16:52:50
arrive_at_Silo7;2024-05-06 18:55:12
arrive_at_Silo1;2024-05-07 10:48:49
arrive_at_Silo7;2024-05-07 14:01:07
arrive_at_Silo10;2024-05-07 15:36:09
arrive_at_Silo10;2024-05-07 15:44:21
arrive_at_Silo16;2024-05-08 10:41:04
arrive_at_Silo8;2024-05-08 10:45:29
arrive_at_Silo16;2024-05-08 11:50:10
arrive_at_Silo2;2024-05-08 15:49:48
arrive_at_Silo16;2024-05-08 18:57:23
arrive_at_Silo16;2024-05-09 08:09:26
arrive_at_Silo16;2024-05-09 08:48:35
arrive_at_Silo7;2024-05-09 10:48:01
arrive_at_Silo8;2024-05-09 10:52:45
arrive_at_Silo8;2024-05-09 11:15:36
arrive_at_Silo10;2024-05-09 11:59:44
arrive_at_Silo7;2024-05-09 13:49:20
arrive_at_Silo3;2024-05-09 16:16:46
arrive_at_Silo15;2024-05-09 18:31:11
arrive_at_Silo10;2024-05-09 18:46:42
arrive_at_Silo15;2024-05-10 07:52:27
arrive_at_Silo3;2024-05-10 09:35:16
arrive_at_Silo10;2024-05-10 09:42:48
arrive_at_Silo3;2024-05-10 09:59:26
arrive_at_Silo8;2024-05-10 10:36:17
arrive_at_Silo6;2024-05-10 10:48:30
arrive_at_Silo10;2024-05-10 11:56:37
arrive_at_Silo6;2024-05-10 16:42:05
arrive_at_Silo2;2024-05-10 16:43:26
arrive_at_Silo1;2024-05-13 08:01:37
arrive_at_Silo15;2024-05-13 08:07:59
arrive_at_Silo7;2024-05-13 10:15:59
arrive_at_Silo15;2024-05-13 10:47:35
arrive_at_Silo3;2024-05-14 10:01:29
arrive_at_Silo15;2024-05-14 11:37:28
arrive_at_Silo10;2024-05-14 14:36:04
arrive_at_Silo10;2024-05-14 14:44:08
arrive_at_Silo15;2024-05-14 14:48:28
arrive_at_Silo2;2024-05-14 14:54:58
arrive_at_Silo3;2024-05-14 15:38:49
arrive_at_Silo16;2024-05-14 17:10:27
arrive_at_Silo3;2024-05-14 18:05:29
arrive_at_Silo2;2024-05-15 07:49:46
arrive_at_Silo8;2024-05-15 08:59:21
arrive_at_Silo3;2024-05-15 09:27:09
arrive_at_Silo1;2024-05-15 09:49:48
arrive_at_Silo7;2024-05-15 14:17:30
arrive_at_Silo16;2024-05-15 14:33:05
arrive_at_Silo7;2024-05-15 15:02:35
arrive_at_Silo7;2024-05-15 15:58:53
arrive_at_Silo1;2024-05-15 16:04:10
arrive_at_Silo7;2024-05-16 09:16:47
arrive_at_Silo1;2024-05-16 09:46:18
arrive_at_Silo6;2024-05-16 14:48:36
arrive_at_Silo7;2024-05-16 15:11:52
arrive_at_Silo8;2024-05-16 15:52:45
arrive_at_Silo15;2024-05-17 07:47:03
arrive_at_Silo1;2024-05-17 10:01:03
arrive_at_Silo10;2024-05-17 11:43:23
arrive_at_Silo8;2024-05-17 11:43:48
arrive_at_Silo16;2024-05-17 15:56:20
arrive_at_Silo2;2024-05-20 07:51:21
arrive_at_Silo15;2024-05-20 08:54:53
arrive_at_Silo3;2024-05-20 13:50:10
arrive_at_Silo3;2024-05-20 14:49:36
arrive_at_Silo16;2024-05-20 15:33:20
arrive_at_Silo7;2024-05-20 15:58:05
arrive_at_Silo7;2024-05-20 16:49:42
arrive_at_Silo16;2024-05-20 16:54:06
arrive_at_Silo3;2024-05-21 07:43:13
arrive_at_Silo16;2024-05-21 08:46:38
arrive_at_Silo3;2024-05-21 09:21:27
arrive_at_Silo3;2024-05-21 14:58:32
arrive_at_Silo1;2024-05-21 15:52:38
arrive_at_Silo16;2024-05-21 17:04:42
arrive_at_Silo10;2024-05-21 17:42:52
arrive_at_Silo10;2024-05-22 08:43:58
arrive_at_Silo7;2024-05-22 09:24:24
arrive_at_Silo3;2024-05-22 11:38:21
arrive_at_Silo7;2024-05-22 11:54:46
arrive_at_Silo15;2024-05-22 15:44:30
arrive_at_Silo1;2024-05-22 17:02:06
arrive_at_Silo1;2024-05-22 17:43:38
arrive_at_Silo2;2024-05-23 08:54:01
arrive_at_Silo2;2024-05-23 11:35:28
arrive_at_Silo2;2024-05-23 14:49:12
arrive_at_Silo10;2024-05-23 15:56:35
arrive_at_Silo6;2024-05-23 16:19:29
arrive_at_Silo7;2024-05-23 16:44:25
arrive_at_Silo15;2024-05-24 11:32:15
arrive_at_Silo10;2024-05-24 17:22:30
arrive_at_Silo10;2024-05-27 10:33:36
arrive_at_Silo2;2024-05-27 11:19:07
arrive_at_Silo16;2024-05-27 11:19:59
arrive_at_Silo2;2024-05-27 11:48:26
arrive_at_Silo8;2024-05-27 13:56:19
arrive_at_Silo6;2024-05-27 16:59:51
arrive_at_Silo2;2024-05-27 18:20:07
arrive_at_Silo8;2024-05-28 07:52:28
arrive_at_Silo10;2024-05-28 09:21:05
arrive_at_Silo1;2024-05-28 09:35:16
arrive_at_Silo1;2024-05-28 10:58:55
arrive_at_Silo2;2024-05-28 11:36:36
arrive_at_Silo10;2024-05-28 11:53:43
arrive_at_Silo10;2024-05-28 14:22:17
arrive_at_Silo1;2024-05-28 14:33:42
arrive_at_Silo2;2024-05-28 15:19:23
arrive_at_Silo16;2024-05-29 07:59:30
arrive_at_Silo16;2024-05-29 09:44:06
arrive_at_Silo8;2024-05-29 10:45:27
arrive_at_Silo8;2024-05-29 12:05:46
arrive_at_Silo16;2024-05-29 13:34:21
arrive_at_Silo8;2024-05-29 13:45:55
arrive_at_Silo16;2024-05-29 13:52:37
arrive_at_Silo2;2024-05-29 16:12:07
arrive_at_Silo8;2024-05-30 09:19:28
arrive_at_Silo16;2024-05-30 10:17:08
arrive_at_Silo16;2024-05-30 10:43:16
arrive_at_Silo8;2024-05-30 13:49:19
arrive_at_Silo16;2024-05-30 16:39:25
arrive_at_Silo6;2024-05-30 16:51:57
arrive_at_Silo8;2024-05-31 09:10:57
arrive_at_Silo2;2024-05-31 10:01:48
arrive_at_Silo2;2024-05-31 10:18:40
arrive_at_Silo10;2024-06-03 07:54:52
arrive_at_Silo2;2024-06-03 08:03:47
arrive_at_Silo16;2024-06-03 08:41:43
arrive_at_Silo8;2024-06-03 10:05:03
arrive_at_Silo16;2024-06-03 11:03:01
arrive_at_Silo16;2024-06-03 15:11:26
arrive_at_Silo2;2024-06-03 16:51:19
arrive_at_Silo16;2024-06-03 17:56:34
arrive_at_Silo10;2024-06-04 07:28:07
arrive_at_Silo8;2024-06-04 08:51:56
arrive_at_Silo10;2024-06-04 09:28:03
arrive_at_Silo16;2024-06-04 09:43:09
arrive_at_Silo10;2024-06-04 10:43:41
arrive_at_Silo10;2024-06-04 12:21:37
arrive_at_Silo16;2024-06-04 14:13:08
arrive_at_Silo16;2024-06-04 15:38:26
arrive_at_Silo8;2024-06-04 16:58:30
