ocel_id;ocel_time
check_abnormalitytr3;2024-05-01 15:47:35
check_abnormalitytr17;2024-05-01 15:58:00
check_abnormalitytr23;2024-05-01 16:54:39
check_abnormalitytr40;2024-05-01 16:59:40
check_abnormalitytr25;2024-05-01 18:43:07
check_abnormalitytr2;2024-05-02 07:37:01
check_abnormalitytr48;2024-05-02 07:38:22
check_abnormalitytr38;2024-05-02 07:59:34
check_abnormalitytr45;2024-05-02 08:19:26
check_abnormalitytr42;2024-05-02 08:35:18
check_abnormalitytr30;2024-05-02 08:36:18
check_abnormalitytr6;2024-05-02 08:54:27
check_abnormalitytr26;2024-05-02 09:02:21
check_abnormalitytr41;2024-05-02 09:36:09
check_abnormalitytr20;2024-05-02 10:08:48
check_abnormalitytr24;2024-05-02 10:21:28
check_abnormalitytr27;2024-05-02 10:34:20
check_abnormalitytr33;2024-05-02 10:36:23
check_abnormalitytr1;2024-05-02 10:49:45
check_abnormalitytr10;2024-05-02 11:12:06
check_abnormalitytr12;2024-05-02 11:12:33
check_abnormalitytr16;2024-05-02 11:34:26
check_abnormalitytr50;2024-05-02 11:45:07
check_abnormalitytr39;2024-05-02 11:49:14
check_abnormalitytr37;2024-05-02 13:49:58
check_abnormalitytr31;2024-05-02 13:54:21
check_abnormalitytr43;2024-05-02 14:04:49
check_abnormalitytr7;2024-05-02 14:04:55
check_abnormalitytr49;2024-05-02 14:05:42
check_abnormalitytr29;2024-05-02 14:14:06
check_abnormalitytr28;2024-05-02 14:15:20
check_abnormalitytr13;2024-05-02 14:51:22
check_abnormalitytr32;2024-05-02 15:08:28
check_abnormalitytr8;2024-05-02 15:13:10
check_abnormalitytr9;2024-05-02 15:20:17
check_abnormalitytr35;2024-05-02 15:21:11
check_abnormalitytr15;2024-05-02 15:38:15
check_abnormalitytr46;2024-05-02 16:12:20
check_abnormalitytr44;2024-05-02 16:28:02
check_abnormalitytr36;2024-05-02 16:32:22
check_abnormalitytr4;2024-05-02 16:43:33
check_abnormalitytr18;2024-05-02 16:45:12
check_abnormalitytr5;2024-05-02 17:24:04
check_abnormalitytr19;2024-05-02 17:53:33
check_abnormalitytr24;2024-05-03 09:28:35
check_abnormalitytr22;2024-05-03 09:54:56
check_abnormalitytr11;2024-05-03 10:44:54
check_abnormalitytr34;2024-05-03 10:46:21
check_abnormalitytr14;2024-05-03 12:24:36
check_abnormalitytr21;2024-05-03 14:18:04
check_abnormalitytr42;2024-05-03 14:21:21
check_abnormalitytr45;2024-05-03 14:58:14
check_abnormalitytr43;2024-05-03 15:20:01
check_abnormalitytr47;2024-05-03 15:53:54
check_abnormalitytr33;2024-05-03 16:25:24
check_abnormalitytr48;2024-05-03 17:47:05
check_abnormalitytr30;2024-05-06 08:15:20
check_abnormalitytr18;2024-05-06 09:16:00
check_abnormalitytr19;2024-05-06 09:56:25
check_abnormalitytr10;2024-05-06 10:41:30
check_abnormalitytr3;2024-05-06 11:14:54
check_abnormalitytr11;2024-05-06 11:35:34
check_abnormalitytr7;2024-05-06 11:39:21
check_abnormalitytr2;2024-05-06 13:55:09
check_abnormalitytr12;2024-05-06 15:12:26
check_abnormalitytr24;2024-05-06 15:22:43
check_abnormalitytr36;2024-05-06 16:06:00
check_abnormalitytr37;2024-05-07 08:33:01
check_abnormalitytr46;2024-05-07 09:54:47
check_abnormalitytr48;2024-05-07 10:52:58
check_abnormalitytr9;2024-05-07 11:52:45
check_abnormalitytr50;2024-05-07 14:13:00
check_abnormalitytr29;2024-05-07 14:16:14
check_abnormalitytr5;2024-05-07 14:21:22
check_abnormalitytr30;2024-05-07 14:41:25
check_abnormalitytr40;2024-05-07 14:47:00
check_abnormalitytr16;2024-05-07 15:14:55
check_abnormalitytr6;2024-05-07 16:27:50
check_abnormalitytr43;2024-05-07 19:42:31
check_abnormalitytr3;2024-05-08 08:20:24
check_abnormalitytr24;2024-05-08 08:20:50
check_abnormalitytr25;2024-05-08 08:40:35
check_abnormalitytr28;2024-05-08 08:51:11
check_abnormalitytr45;2024-05-08 08:51:19
check_abnormalitytr27;2024-05-08 08:51:52
check_abnormalitytr32;2024-05-08 09:52:18
check_abnormalitytr23;2024-05-08 10:16:31
check_abnormalitytr41;2024-05-08 10:18:38
check_abnormalitytr39;2024-05-08 10:36:47
check_abnormalitytr44;2024-05-08 11:42:37
check_abnormalitytr7;2024-05-08 14:08:57
check_abnormalitytr31;2024-05-08 14:37:35
check_abnormalitytr49;2024-05-08 15:22:21
check_abnormalitytr19;2024-05-08 15:48:38
check_abnormalitytr50;2024-05-08 16:08:43
check_abnormalitytr16;2024-05-08 16:55:04
check_abnormalitytr5;2024-05-08 17:02:49
check_abnormalitytr25;2024-05-09 08:37:59
