ocel_id;ocel_time
fail_weightr3;2024-05-01 17:22:01
fail_weightr45;2024-05-02 09:21:08
fail_weightr30;2024-05-02 10:03:39
fail_weightr2;2024-05-02 10:08:19
fail_weightr48;2024-05-02 10:12:21
fail_weightr42;2024-05-02 10:14:45
fail_weightr24;2024-05-02 10:46:18
fail_weightr10;2024-05-02 11:39:04
fail_weightr33;2024-05-02 11:41:54
fail_weightr12;2024-05-02 11:49:41
fail_weightr37;2024-05-02 15:07:29
fail_weightr7;2024-05-02 15:08:21
fail_weightr43;2024-05-02 15:14:30
fail_weightr46;2024-05-02 17:21:13
fail_weightr36;2024-05-02 18:10:13
fail_weightr18;2024-05-03 08:08:22
fail_weightr19;2024-05-03 08:35:02
fail_weightr24;2024-05-03 11:40:10
fail_weightr11;2024-05-03 12:17:51
fail_weightr43;2024-05-03 16:25:06
fail_weightr45;2024-05-03 17:20:04
fail_weightr48;2024-05-06 08:34:36
fail_weightr30;2024-05-06 09:58:59
fail_weightr19;2024-05-06 11:44:44
fail_weightr7;2024-05-06 13:42:50
fail_weightr3;2024-05-06 14:17:47
fail_weightr2;2024-05-06 15:22:59
fail_weightr24;2024-05-06 15:59:48
fail_weightr46;2024-05-07 11:27:45
fail_weightr16;2024-05-07 15:37:19
fail_weightr5;2024-05-07 15:40:59
fail_weightr50;2024-05-07 15:42:23
fail_weightr30;2024-05-07 15:51:14
fail_weightr40;2024-05-07 16:13:14
fail_weightr6;2024-05-07 17:50:00
fail_weightr43;2024-05-08 09:16:33
fail_weightr45;2024-05-08 10:11:32
fail_weightr25;2024-05-08 10:15:25
fail_weightr27;2024-05-08 10:36:08
fail_weightr32;2024-05-08 11:14:44
fail_weightr41;2024-05-08 11:28:50
fail_weightr23;2024-05-08 11:50:39
fail_weightr39;2024-05-08 11:57:56
fail_weightr7;2024-05-08 14:57:07
fail_weightr31;2024-05-08 15:50:58
fail_weightr49;2024-05-08 16:44:11
fail_weightr5;2024-05-09 08:26:42
fail_weightr25;2024-05-09 09:47:22
fail_weightr2;2024-05-09 10:36:54
fail_weightr32;2024-05-09 11:54:13
fail_weightr47;2024-05-09 13:51:41
fail_weightr30;2024-05-09 14:46:51
fail_weightr23;2024-05-09 15:36:20
fail_weightr4;2024-05-09 16:03:47
fail_weightr45;2024-05-09 17:28:55
fail_weightr41;2024-05-09 19:30:37
fail_weightr13;2024-05-10 09:52:39
fail_weightr25;2024-05-10 12:18:27
fail_weightr40;2024-05-10 12:43:09
fail_weightr2;2024-05-10 13:55:42
fail_weightr1;2024-05-10 15:14:25
fail_weightr29;2024-05-10 15:48:05
fail_weightr20;2024-05-10 15:52:40
fail_weightr22;2024-05-10 16:10:06
fail_weightr14;2024-05-13 08:05:28
fail_weightr7;2024-05-13 09:10:12
fail_weightr4;2024-05-13 09:54:48
fail_weightr24;2024-05-13 09:58:55
fail_weightr41;2024-05-13 10:28:00
fail_weightr32;2024-05-13 10:47:38
fail_weightr45;2024-05-13 12:12:21
fail_weightr8;2024-05-13 12:39:14
fail_weightr37;2024-05-13 13:23:08
fail_weightr3;2024-05-13 14:07:39
fail_weightr48;2024-05-13 14:15:47
fail_weightr40;2024-05-13 14:47:32
fail_weightr9;2024-05-13 17:23:56
fail_weightr13;2024-05-13 17:57:10
fail_weightr1;2024-05-14 07:55:15
fail_weightr2;2024-05-14 09:34:58
fail_weightr30;2024-05-14 09:41:19
fail_weightr24;2024-05-14 14:03:56
fail_weightr48;2024-05-14 15:39:42
fail_weightr34;2024-05-14 15:43:29
fail_weightr6;2024-05-14 15:55:08
fail_weightr41;2024-05-14 16:14:02
fail_weightr44;2024-05-14 16:44:42
fail_weightr1;2024-05-15 08:06:32
fail_weightr37;2024-05-15 08:59:44
fail_weightr3;2024-05-15 09:50:48
fail_weightr7;2024-05-15 09:54:14
fail_weightr4;2024-05-15 10:26:23
fail_weightr45;2024-05-15 11:17:46
fail_weightr12;2024-05-15 12:32:22
fail_weightr43;2024-05-15 13:48:42
fail_weightr21;2024-05-15 14:35:57
fail_weightr16;2024-05-15 15:26:48
fail_weightr13;2024-05-15 15:34:57
fail_weightr46;2024-05-15 15:35:49
fail_weightr32;2024-05-15 16:58:34
fail_weightr34;2024-05-15 17:14:57
fail_weightr48;2024-05-15 17:32:06
fail_weightr50;2024-05-16 08:48:33
fail_weightr4;2024-05-16 09:59:43
fail_weightr19;2024-05-16 10:23:57
fail_weightr6;2024-05-16 10:30:56
fail_weightr41;2024-05-16 14:00:12
fail_weightr49;2024-05-16 15:07:41
fail_weightr1;2024-05-16 17:28:58
fail_weightr45;2024-05-16 17:56:30
fail_weightr43;2024-05-17 10:01:05
fail_weightr37;2024-05-17 10:03:35
fail_weightr44;2024-05-17 10:08:22
fail_weightr18;2024-05-17 11:12:37
fail_weightr32;2024-05-17 12:39:41
fail_weightr10;2024-05-17 14:57:40
fail_weightr3;2024-05-17 15:57:14
fail_weightr4;2024-05-17 16:00:08
fail_weightr16;2024-05-17 16:43:31
fail_weightr38;2024-05-17 17:43:01
fail_weightr34;2024-05-20 07:57:18
fail_weightr45;2024-05-20 09:45:07
fail_weightr36;2024-05-20 09:47:23
fail_weightr15;2024-05-20 10:01:40
fail_weightr41;2024-05-20 11:24:55
fail_weightr13;2024-05-20 12:20:00
fail_weightr5;2024-05-20 12:43:13
fail_weightr22;2024-05-20 15:25:00
fail_weightr37;2024-05-20 15:43:54
fail_weightr19;2024-05-20 15:54:28
fail_weightr1;2024-05-20 15:56:16
fail_weightr27;2024-05-20 17:30:50
fail_weightr23;2024-05-21 07:57:26
fail_weightr14;2024-05-21 09:56:16
fail_weightr20;2024-05-21 10:48:48
fail_weightr18;2024-05-21 11:51:24
fail_weightr49;2024-05-21 12:13:31
fail_weightr29;2024-05-21 13:53:15
fail_weightr40;2024-05-21 16:18:53
fail_weightr45;2024-05-21 16:27:43
fail_weightr22;2024-05-21 17:51:00
fail_weightr1;2024-05-22 07:18:57
fail_weightr9;2024-05-22 08:34:25
fail_weightr2;2024-05-22 08:59:27
fail_weightr16;2024-05-22 10:52:15
fail_weightr3;2024-05-22 12:03:39
fail_weightr35;2024-05-22 12:18:47
fail_weightr7;2024-05-22 14:05:43
fail_weightr41;2024-05-22 14:17:27
fail_weightr5;2024-05-22 15:15:17
fail_weightr45;2024-05-22 17:22:43
fail_weightr19;2024-05-23 07:36:01
fail_weightr1;2024-05-23 09:31:52
fail_weightr20;2024-05-23 09:45:43
fail_weightr26;2024-05-23 09:46:24
fail_weightr24;2024-05-23 09:47:38
fail_weightr37;2024-05-23 09:49:08
fail_weightr22;2024-05-23 10:07:54
fail_weightr29;2024-05-23 11:07:52
fail_weightr46;2024-05-23 13:48:07
fail_weightr12;2024-05-23 14:12:34
fail_weightr33;2024-05-23 14:38:40
fail_weightr6;2024-05-23 15:20:55
fail_weightr41;2024-05-23 15:22:27
fail_weightr47;2024-05-23 16:21:02
fail_weightr8;2024-05-23 16:28:59
fail_weightr45;2024-05-23 16:45:28
fail_weightr48;2024-05-23 17:08:37
fail_weightr2;2024-05-24 08:51:42
fail_weightr16;2024-05-24 09:16:14
fail_weightr43;2024-05-24 09:26:47
fail_weightr35;2024-05-24 11:03:08
fail_weightr11;2024-05-24 13:43:31
fail_weightr31;2024-05-24 14:13:56
fail_weightr7;2024-05-24 14:19:50
fail_weightr20;2024-05-24 14:25:39
fail_weightr37;2024-05-24 14:48:55
fail_weightr33;2024-05-24 14:59:54
fail_weightr40;2024-05-24 15:19:33
fail_weightr24;2024-05-24 16:24:17
fail_weightr3;2024-05-24 19:02:16
fail_weightr48;2024-05-27 09:17:51
fail_weightr46;2024-05-27 09:37:31
fail_weightr41;2024-05-27 10:52:52
fail_weightr5;2024-05-27 13:46:57
fail_weightr38;2024-05-27 14:14:25
fail_weightr31;2024-05-27 14:39:47
fail_weightr2;2024-05-27 14:53:18
fail_weightr22;2024-05-27 14:56:14
fail_weightr19;2024-05-27 15:15:15
fail_weightr16;2024-05-27 15:48:25
fail_weightr35;2024-05-27 16:56:32
fail_weightr11;2024-05-28 09:10:16
fail_weightr4;2024-05-28 10:01:12
fail_weightr29;2024-05-28 10:35:10
fail_weightr44;2024-05-28 11:18:37
fail_weightr17;2024-05-28 11:49:56
fail_weightr7;2024-05-28 13:44:06
fail_weightr3;2024-05-28 13:51:16
fail_weightr20;2024-05-28 14:16:39
fail_weightr31;2024-05-28 15:13:38
fail_weightr43;2024-05-28 15:25:04
fail_weightr15;2024-05-28 15:44:17
fail_weightr19;2024-05-28 16:07:27
fail_weightr16;2024-05-28 16:47:50
fail_weightr41;2024-05-28 17:04:08
fail_weightr40;2024-05-29 08:13:08
fail_weightr2;2024-05-29 10:35:05
fail_weightr36;2024-05-29 10:38:36
fail_weightr38;2024-05-29 13:44:16
fail_weightr35;2024-05-29 14:54:11
fail_weightr17;2024-05-29 15:36:41
fail_weightr49;2024-05-29 15:41:18
fail_weightr29;2024-05-30 08:25:29
fail_weightr14;2024-05-30 08:27:51
fail_weightr10;2024-05-30 09:24:38
fail_weightr4;2024-05-30 09:36:04
fail_weightr15;2024-05-30 11:12:29
fail_weightr22;2024-05-30 11:32:46
fail_weightr16;2024-05-30 12:01:44
fail_weightr31;2024-05-30 14:18:39
fail_weightr7;2024-05-30 14:39:01
fail_weightr43;2024-05-30 17:26:00
fail_weightr20;2024-05-31 09:01:54
fail_weightr40;2024-05-31 09:04:21
fail_weightr36;2024-05-31 11:13:53
fail_weightr49;2024-05-31 11:26:21
fail_weightr42;2024-05-31 13:47:34
fail_weightr16;2024-05-31 14:12:51
fail_weightr47;2024-05-31 14:19:47
fail_weightr46;2024-05-31 14:46:55
fail_weightr50;2024-05-31 14:47:24
fail_weightr21;2024-05-31 14:48:22
fail_weightr37;2024-05-31 15:49:03
fail_weightr12;2024-05-31 16:59:53
fail_weightr48;2024-06-03 09:19:20
fail_weightr10;2024-06-03 10:02:52
fail_weightr17;2024-06-03 10:15:37
fail_weightr39;2024-06-03 12:01:18
fail_weightr34;2024-06-03 12:23:16
fail_weightr7;2024-06-03 14:34:16
fail_weightr47;2024-06-03 15:38:54
fail_weightr9;2024-06-03 15:41:21
fail_weightr49;2024-06-03 15:49:42
fail_weightr36;2024-06-03 15:55:07
fail_weightr31;2024-06-03 16:10:28
fail_weightr20;2024-06-03 16:30:12
fail_weightr29;2024-06-03 16:43:33
fail_weightr25;2024-06-03 18:02:00
fail_weightr50;2024-06-04 07:45:02
fail_weightr22;2024-06-04 09:45:50
fail_weightr40;2024-06-04 11:45:34
fail_weightr46;2024-06-04 12:07:41
fail_weightr42;2024-06-04 16:12:34
