ocel_id;ocel_time
load_trucktr17;2024-05-02 08:30:04
load_trucktr40;2024-05-02 08:47:04
load_trucktr38;2024-05-02 10:23:29
load_trucktr25;2024-05-02 10:56:26
load_trucktr23;2024-05-02 10:58:13
load_trucktr26;2024-05-02 11:14:12
load_trucktr6;2024-05-02 11:57:26
load_trucktr20;2024-05-02 13:24:18
load_trucktr27;2024-05-02 14:20:56
load_trucktr1;2024-05-02 14:42:39
load_trucktr16;2024-05-02 14:53:50
load_trucktr39;2024-05-02 14:56:00
load_trucktr41;2024-05-02 15:05:31
load_trucktr49;2024-05-02 15:55:52
load_trucktr29;2024-05-02 16:09:02
load_trucktr28;2024-05-02 16:55:45
load_trucktr50;2024-05-02 16:56:12
load_trucktr31;2024-05-02 17:25:51
load_trucktr13;2024-05-02 17:57:28
load_trucktr32;2024-05-02 18:13:46
load_trucktr35;2024-05-03 07:34:41
load_trucktr9;2024-05-03 08:02:21
load_trucktr8;2024-05-03 08:13:13
load_trucktr15;2024-05-03 10:00:45
load_trucktr4;2024-05-03 10:16:09
load_trucktr44;2024-05-03 10:45:31
load_trucktr5;2024-05-03 11:35:44
load_trucktr22;2024-05-03 14:17:54
load_trucktr34;2024-05-03 14:56:16
load_trucktr14;2024-05-03 15:48:39
load_trucktr21;2024-05-03 16:56:18
load_trucktr42;2024-05-03 18:23:07
load_trucktr47;2024-05-06 09:35:44
load_trucktr33;2024-05-06 09:51:11
load_trucktr18;2024-05-06 14:14:19
load_trucktr10;2024-05-06 14:37:34
load_trucktr11;2024-05-06 17:41:36
load_trucktr12;2024-05-07 07:27:23
load_trucktr36;2024-05-07 08:53:27
load_trucktr37;2024-05-07 13:57:30
load_trucktr48;2024-05-07 14:14:20
load_trucktr9;2024-05-07 17:07:18
load_trucktr29;2024-05-07 17:13:26
load_trucktr24;2024-05-08 10:58:15
load_trucktr3;2024-05-08 13:23:02
load_trucktr28;2024-05-08 14:05:35
load_trucktr44;2024-05-08 17:55:39
load_trucktr50;2024-05-09 08:39:48
load_trucktr19;2024-05-09 09:55:30
load_trucktr16;2024-05-09 11:05:22
load_trucktr17;2024-05-09 11:50:26
load_trucktr35;2024-05-09 12:06:50
load_trucktr33;2024-05-09 13:24:46
load_trucktr12;2024-05-09 14:41:45
load_trucktr34;2024-05-09 15:04:32
load_trucktr26;2024-05-09 16:41:26
load_trucktr27;2024-05-10 08:24:49
load_trucktr46;2024-05-10 08:58:19
load_trucktr21;2024-05-10 09:06:50
load_trucktr6;2024-05-10 11:03:14
load_trucktr15;2024-05-10 11:17:40
load_trucktr39;2024-05-10 11:34:44
load_trucktr31;2024-05-10 11:47:08
load_trucktr42;2024-05-10 13:13:03
load_trucktr11;2024-05-10 14:32:57
load_trucktr38;2024-05-10 17:54:05
load_trucktr47;2024-05-13 07:36:46
load_trucktr43;2024-05-13 08:57:42
load_trucktr5;2024-05-13 10:02:55
load_trucktr49;2024-05-13 10:37:41
load_trucktr18;2024-05-13 12:06:10
load_trucktr25;2024-05-14 10:16:55
load_trucktr20;2024-05-14 13:54:47
load_trucktr17;2024-05-14 15:50:59
load_trucktr10;2024-05-14 15:58:21
load_trucktr36;2024-05-14 15:59:45
load_trucktr14;2024-05-14 16:04:38
load_trucktr29;2024-05-14 17:04:42
load_trucktr26;2024-05-15 07:25:47
load_trucktr23;2024-05-15 07:42:22
load_trucktr22;2024-05-15 09:50:05
load_trucktr9;2024-05-15 09:59:15
load_trucktr15;2024-05-15 10:34:56
load_trucktr40;2024-05-15 11:08:50
load_trucktr28;2024-05-15 14:35:58
