ocel_id;ocel_time
print_w_tickettr40;2024-05-03 12:34:15
print_w_tickettr6;2024-05-03 17:07:16
print_w_tickettr39;2024-05-03 17:08:59
print_w_tickettr9;2024-05-06 10:11:08
print_w_tickettr28;2024-05-06 10:17:20
print_w_tickettr29;2024-05-06 10:38:24
print_w_tickettr16;2024-05-06 11:12:30
print_w_tickettr5;2024-05-06 11:51:04
print_w_tickettr50;2024-05-06 11:57:42
print_w_tickettr27;2024-05-06 13:28:23
print_w_tickettr17;2024-05-06 14:33:02
print_w_tickettr25;2024-05-06 15:45:16
print_w_tickettr32;2024-05-06 15:51:03
print_w_tickettr49;2024-05-06 17:39:37
print_w_tickettr23;2024-05-06 18:10:50
print_w_tickettr35;2024-05-06 18:16:04
print_w_tickettr31;2024-05-07 10:12:12
print_w_tickettr41;2024-05-07 10:12:52
print_w_tickettr44;2024-05-07 10:45:08
print_w_tickettr47;2024-05-07 12:01:10
print_w_tickettr15;2024-05-07 12:59:55
print_w_tickettr34;2024-05-07 13:19:17
print_w_tickettr26;2024-05-07 14:04:37
print_w_tickettr33;2024-05-07 15:19:32
print_w_tickettr13;2024-05-07 16:03:25
print_w_tickettr12;2024-05-07 17:46:21
print_w_tickettr22;2024-05-08 09:26:18
print_w_tickettr18;2024-05-08 09:45:44
print_w_tickettr4;2024-05-08 09:52:45
print_w_tickettr11;2024-05-08 10:25:49
print_w_tickettr21;2024-05-08 11:32:51
print_w_tickettr14;2024-05-08 11:33:37
print_w_tickettr42;2024-05-08 11:59:39
print_w_tickettr29;2024-05-08 17:00:11
print_w_tickettr38;2024-05-08 18:09:37
print_w_tickettr1;2024-05-08 22:15:27
print_w_tickettr8;2024-05-09 10:29:43
print_w_tickettr48;2024-05-09 10:47:30
print_w_tickettr20;2024-05-09 10:57:48
print_w_tickettr24;2024-05-09 11:26:02
print_w_tickettr9;2024-05-09 11:27:37
print_w_tickettr37;2024-05-09 14:31:38
print_w_tickettr3;2024-05-09 14:43:11
print_w_tickettr36;2024-05-09 15:21:18
print_w_tickettr10;2024-05-09 22:45:47
print_w_tickettr17;2024-05-10 16:46:41
print_w_tickettr44;2024-05-10 16:55:51
print_w_tickettr6;2024-05-13 11:00:44
print_w_tickettr21;2024-05-13 11:11:13
print_w_tickettr50;2024-05-13 11:32:13
print_w_tickettr26;2024-05-13 11:53:28
print_w_tickettr34;2024-05-13 12:01:08
print_w_tickettr15;2024-05-13 13:44:15
print_w_tickettr11;2024-05-13 15:07:22
print_w_tickettr12;2024-05-13 16:36:58
print_w_tickettr16;2024-05-13 16:44:07
print_w_tickettr42;2024-05-13 17:45:52
print_w_tickettr43;2024-05-14 09:32:43
print_w_tickettr31;2024-05-14 11:07:20
print_w_tickettr28;2024-05-14 12:30:44
print_w_tickettr46;2024-05-14 13:17:58
print_w_tickettr35;2024-05-14 15:34:36
print_w_tickettr49;2024-05-14 15:57:58
print_w_tickettr19;2024-05-14 17:58:02
print_w_tickettr33;2024-05-15 11:02:59
print_w_tickettr18;2024-05-15 11:10:58
print_w_tickettr27;2024-05-15 14:42:11
print_w_tickettr5;2024-05-15 15:55:31
print_w_tickettr10;2024-05-15 16:50:51
print_w_tickettr38;2024-05-15 17:00:25
print_w_tickettr47;2024-05-15 22:05:44
print_w_tickettr39;2024-05-16 09:23:20
print_w_tickettr36;2024-05-16 09:24:11
print_w_tickettr26;2024-05-16 09:42:49
print_w_tickettr15;2024-05-16 15:00:45
print_w_tickettr40;2024-05-16 15:36:13
print_w_tickettr17;2024-05-16 15:46:48
print_w_tickettr30;2024-05-16 15:53:09
print_w_tickettr20;2024-05-16 16:34:56
print_w_tickettr22;2024-05-16 21:52:19
print_w_tickettr14;2024-05-17 10:26:37
print_w_tickettr29;2024-05-17 12:08:07
print_w_tickettr35;2024-05-17 14:05:34
print_w_tickettr9;2024-05-17 15:05:45
print_w_tickettr28;2024-05-17 15:28:42
print_w_tickettr23;2024-05-17 15:46:18
print_w_tickettr2;2024-05-20 10:58:36
print_w_tickettr7;2024-05-20 11:40:37
print_w_tickettr25;2024-05-20 11:56:22
print_w_tickettr50;2024-05-20 16:27:41
print_w_tickettr24;2024-05-20 16:27:45
print_w_tickettr6;2024-05-21 09:46:13
print_w_tickettr21;2024-05-21 11:43:10
print_w_tickettr33;2024-05-21 14:29:06
print_w_tickettr26;2024-05-21 14:49:37
print_w_tickettr10;2024-05-21 17:56:46
print_w_tickettr48;2024-05-21 18:08:48
print_w_tickettr12;2024-05-21 18:23:33
print_w_tickettr46;2024-05-21 20:20:19
print_w_tickettr47;2024-05-22 09:54:24
print_w_tickettr28;2024-05-22 10:57:42
print_w_tickettr8;2024-05-22 11:10:10
print_w_tickettr11;2024-05-22 14:37:09
print_w_tickettr43;2024-05-22 15:19:08
print_w_tickettr31;2024-05-22 16:02:32
print_w_tickettr42;2024-05-22 16:05:22
print_w_tickettr38;2024-05-23 09:32:14
print_w_tickettr25;2024-05-23 11:07:06
print_w_tickettr13;2024-05-23 11:10:29
print_w_tickettr15;2024-05-23 13:41:53
print_w_tickettr17;2024-05-23 14:05:48
print_w_tickettr39;2024-05-23 17:10:08
print_w_tickettr4;2024-05-24 09:17:30
print_w_tickettr32;2024-05-24 10:51:34
print_w_tickettr44;2024-05-24 10:53:20
print_w_tickettr34;2024-05-24 10:55:11
print_w_tickettr30;2024-05-24 11:55:50
print_w_tickettr27;2024-05-24 16:05:36
print_w_tickettr23;2024-05-27 08:02:16
print_w_tickettr14;2024-05-27 11:36:28
print_w_tickettr18;2024-05-27 15:06:39
print_w_tickettr28;2024-05-27 15:12:50
print_w_tickettr36;2024-05-27 15:35:08
print_w_tickettr49;2024-05-27 15:59:37
print_w_tickettr10;2024-05-28 16:04:33
print_w_tickettr50;2024-05-28 16:15:18
print_w_tickettr45;2024-05-29 09:43:56
print_w_tickettr47;2024-05-29 10:05:14
print_w_tickettr12;2024-05-29 11:39:59
print_w_tickettr42;2024-05-29 14:48:38
print_w_tickettr33;2024-05-29 16:02:11
print_w_tickettr8;2024-05-29 18:09:17
print_w_tickettr13;2024-05-29 18:33:50
print_w_tickettr25;2024-05-29 18:38:52
print_w_tickettr26;2024-05-29 20:06:24
print_w_tickettr9;2024-05-29 20:19:43
print_w_tickettr21;2024-05-29 20:23:41
print_w_tickettr46;2024-05-30 08:04:16
print_w_tickettr32;2024-05-30 09:24:19
print_w_tickettr24;2024-05-30 09:40:07
print_w_tickettr37;2024-05-30 10:05:30
print_w_tickettr27;2024-05-30 14:12:16
print_w_tickettr11;2024-05-30 14:22:37
print_w_tickettr18;2024-05-30 14:32:23
print_w_tickettr48;2024-05-30 15:29:09
print_w_tickettr34;2024-05-30 15:55:26
print_w_tickettr39;2024-05-30 17:10:52
print_w_tickettr44;2024-05-31 07:58:13
print_w_tickettr23;2024-05-31 12:13:36
print_w_tickettr1;2024-05-31 14:10:45
print_w_tickettr28;2024-05-31 15:39:11
print_w_tickettr6;2024-05-31 15:54:23
print_w_tickettr3;2024-05-31 17:28:45
print_w_tickettr45;2024-06-03 16:07:03
print_w_tickettr5;2024-06-03 17:24:52
print_w_tickettr30;2024-06-04 08:37:36
print_w_tickettr33;2024-06-04 09:21:22
print_w_tickettr27;2024-06-04 15:58:47
print_w_tickettr1;2024-06-04 18:20:44
print_w_tickettr26;2024-06-04 18:41:13
print_w_tickettr41;2024-06-05 09:44:14
print_w_tickettr35;2024-06-05 10:41:20
print_w_tickettr14;2024-06-05 11:29:35
print_w_tickettr23;2024-06-05 11:53:00
print_w_tickettr15;2024-06-05 14:52:13
print_w_tickettr11;2024-06-05 14:56:31
print_w_tickettr16;2024-06-05 15:00:58
print_w_tickettr24;2024-06-05 15:40:48
print_w_tickettr43;2024-06-05 15:46:56
print_w_tickettr18;2024-06-05 17:05:11
print_w_tickettr2;2024-06-05 19:56:47
print_w_tickettr32;2024-06-05 21:59:21
print_w_tickettr19;2024-06-05 23:13:24
print_w_tickettr4;2024-06-06 09:08:52
print_w_tickettr44;2024-06-06 10:58:53
print_w_tickettr8;2024-06-06 15:51:15
print_w_tickettr38;2024-06-06 22:44:14
print_w_tickettr13;2024-06-06 22:59:42
print_w_tickettr21;2024-06-07 16:46:41
