ocel_id;ocel_type
Cr20;Cargo
tr8;Truck
Cr14;Cargo
tr41;Truck
Cr13;Cargo
tr11;Truck
tr10;Truck
tr22;Truck
tr20;Truck
tr29;Truck
tr1;Truck
tr44;Truck
Cr7;Cargo
tr46;Truck
tr7;Truck
tr50;Truck
Cr3;Cargo
tr5;Truck
tr19;Truck
tr43;Truck
tr24;Truck
tr37;Truck
tr25;Truck
tr31;Truck
Cr19;Cargo
Cr6;Cargo
tr6;Truck
tr32;Truck
tr40;Truck
tr38;Truck
tr17;Truck
tr23;Truck
tr33;Truck
Cr9;Cargo
tr49;Truck
tr13;Truck
tr30;Truck
tr12;Truck
Cr4;Cargo
Cr1;Cargo
tr15;Truck
tr18;Truck
tr48;Truck
Cr15;Cargo
tr14;Truck
Cr18;Cargo
tr39;Truck
Cr11;Cargo
tr42;Truck
tr4;Truck
Silo17;Silo
tr36;Truck
tr35;Truck
tr9;Truck
tr26;Truck
tr27;Truck
tr2;Truck
Cr16;Cargo
Cr17;Cargo
Cr10;Cargo
tr16;Truck
Cr12;Cargo
tr34;Truck
Cr5;Cargo
tr28;Truck
tr3;Truck
tr45;Truck
Cr2;Cargo
Silo7;Silo
Silo20;Silo
tr21;Truck
Silo1;Silo
Silo5;Silo
Silo18;Silo
Cr8;Cargo
Silo16;Silo
tr47;Truck
Silo13;Silo
Silo12;Silo
Silo19;Silo
Silo6;Silo
Silo4;Silo
Silo3;Silo
Silo10;Silo
Silo2;Silo
Silo15;Silo
Silo14;Silo
Silo8;Silo
Silo11;Silo
Silo9;Silo
Pcp5;Pickup Plan
Pcp3;Pickup Plan
Pcp4;Pickup Plan
Pcp10;Pickup Plan
Pcp1;Pickup Plan
Pcp6;Pickup Plan
Pcp2;Pickup Plan
Pcp9;Pickup Plan
Pcp8;Pickup Plan
Pcp7;Pickup Plan
