ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
WS17;tr17;Weight sensor measuring empty truck weight;2024-05-01 15:35:46
WS07;tr3;Weight sensor measuring empty truck weight;2024-05-01 15:36:20
WS09;tr23;Weight sensor measuring empty truck weight;2024-05-01 15:47:26
WS19;tr40;Weight sensor measuring empty truck weight;2024-05-01 16:46:05
WS20;tr25;Weight sensor measuring empty truck weight;2024-05-01 17:16:28
WS14;tr45;Weight sensor measuring empty truck weight;2024-05-01 17:55:03
WS08;tr2;Weight sensor measuring empty truck weight;2024-05-02 07:24:43
WS04;tr30;Weight sensor measuring empty truck weight;2024-05-02 07:25:46
WS05;tr48;Weight sensor measuring empty truck weight;2024-05-02 07:28:08
WS12;tr38;Weight sensor measuring empty truck weight;2024-05-02 07:39:50
WS06;tr6;Weight sensor measuring empty truck weight;2024-05-02 07:53:45
WS19;tr26;Weight sensor measuring empty truck weight;2024-05-02 07:55:40
WS11;tr42;Weight sensor measuring empty truck weight;2024-05-02 08:00:26
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 08:16:22
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 08:16:22
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 08:16:22
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 08:16:22
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 08:16:22
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 08:20:43
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 08:20:43
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 08:20:43
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 08:20:43
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 08:20:43
WS01;tr20;Weight sensor measuring empty truck weight;2024-05-02 08:46:31
WS10;tr24;Weight sensor measuring empty truck weight;2024-05-02 08:57:31
WS18;tr41;Weight sensor measuring empty truck weight;2024-05-02 09:30:29
WS07;tr1;Weight sensor measuring empty truck weight;2024-05-02 09:32:55
WS14;tr10;Weight sensor measuring empty truck weight;2024-05-02 09:43:25
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 09:55:10
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 09:55:10
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 09:55:10
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 09:55:10
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 09:55:10
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 09:56:29
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 09:56:29
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 09:56:29
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 09:56:29
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 09:56:29
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 10:16:08
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 10:16:08
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 10:16:08
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 10:16:08
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 10:16:08
WS17;tr33;Weight sensor measuring empty truck weight;2024-05-02 10:23:04
WS05;tr27;Weight sensor measuring empty truck weight;2024-05-02 10:25:33
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 10:55:25
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 10:55:25
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 10:55:25
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 10:55:25
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 10:55:25
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 11:04:12
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 11:04:12
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 11:04:12
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 11:04:12
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-02 11:04:12
WS16;tr12;Weight sensor measuring empty truck weight;2024-05-02 11:04:44
WS13;tr50;Weight sensor measuring empty truck weight;2024-05-02 11:28:18
WS19;tr16;Weight sensor measuring empty truck weight;2024-05-02 11:29:21
WS06;tr39;Weight sensor measuring empty truck weight;2024-05-02 11:41:14
WS18;tr37;Weight sensor measuring empty truck weight;2024-05-02 11:43:36
WS12;tr7;Weight sensor measuring empty truck weight;2024-05-02 11:44:47
WS02;tr49;Weight sensor measuring empty truck weight;2024-05-02 11:47:21
WS20;tr29;Weight sensor measuring empty truck weight;2024-05-02 11:50:35
WS03;tr43;Weight sensor measuring empty truck weight;2024-05-02 11:53:35
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-02 12:06:41
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-02 12:06:41
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-02 12:06:41
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-02 12:06:41
