event_id,activity,timestamp,ocel_object_id,ocel_IoT_object_id,RFID No,Cargo ID,LPT,Axles,Scheduled Pickup Weight,Truck Status,Truck Weight,Is_normal,pickup,Pickup Plan ID
assign_trs_Pcp5,Assign Trucks,2024-05-01 10:25:17,tr1,,,Cr2,,,9370.3,Occupied,,,1,Pcp5
trs_entrytr1,Enter the port,2024-05-02 07:47:41,tr1,rfidWKFZQT,,,,,,,,,1,Pcp5
weigh_empty_trucktr1,Weigh the Empty Truck,2024-05-02 09:32:55,tr1,WS07,,,,,,,12559.0,,1,Pcp5
check_abnormalitytr1,Check Empty Truck Weight Abnormality,2024-05-02 10:49:45,tr1,rfidWKFZQT,,,,,,,,,1,Pcp5
arrive_at_Silo20,Arrive at the Silo,2024-05-02 14:13:48,tr1,,,,,,,,,normal,1,Pcp5
load_trucktr1,Load Truck,2024-05-02 14:42:39,tr1,,,,,,,,,,1,Pcp5
weigh_loaded_trucktr1,Weigh the Loaded Truck,2024-05-03 18:30:43,tr1,WS10,,,,,,,21929.3,,1,Pcp5
print_w_tickettr1,Print the Weighing Ticket,2024-05-08 22:15:27,tr1,,,,,,,,,,1,Pcp5
input_tally_sheettr1,Input the Tally Sheet,2024-05-08 22:15:27,tr1,,,,,,,,,,1,Pcp5
eval_trs_exittr1_Pcp5,Evaluate the Truck Exit,2024-05-09 08:12:16,tr1,,,,,,,Available,,,1,Pcp5
assign_trs_Pcp10,Assign Trucks,2024-05-09 10:39:39,tr1,,,Cr6,,,9335.5,Occupied,,,2,Pcp10
trs_entrytr1,Enter the port,2024-05-10 09:58:25,tr1,rfidWKFZQT,,,,,,,,,2,Pcp10
weigh_empty_trucktr1,Weigh the Empty Truck,2024-05-10 11:06:44,tr1,WS09,,,,,,,15976.0,,2,Pcp10
check_abnormalitytr1,Check Empty Truck Weight Abnormality,2024-05-10 11:55:38,tr1,rfidWKFZQT,,,,,,,,,2,Pcp10
fail_weightr1,Fail to Weigh,2024-05-10 15:14:25,tr1,,,,,,,Available,,abnormal,2,Pcp10
assign_trs_Pcp3,Assign Trucks,2024-05-10 16:54:29,tr1,,,Cr7,,,9298.2,Occupied,,,3,Pcp3
trs_entrytr1,Enter the port,2024-05-13 16:28:24,tr1,rfidWKFZQT,,,,,,,,,3,Pcp3
weigh_empty_trucktr1,Weigh the Empty Truck,2024-05-13 16:35:54,tr1,WS05,,,,,,,15808.0,,3,Pcp3
check_abnormalitytr1,Check Empty Truck Weight Abnormality,2024-05-13 16:53:44,tr1,rfidWKFZQT,,,,,,,,,3,Pcp3
fail_weightr1,Fail to Weigh,2024-05-14 07:55:15,tr1,,,,,,,Available,,abnormal,3,Pcp3
assign_trs_Pcp7,Assign Trucks,2024-05-14 11:15:01,tr1,,,Cr1,,,9375.5,Occupied,,,4,Pcp7
trs_entrytr1,Enter the port,2024-05-14 16:38:31,tr1,rfidWKFZQT,,,,,,,,,4,Pcp7
weigh_empty_trucktr1,Weigh the Empty Truck,2024-05-14 16:51:53,tr1,WS10,,,,,,,15525.9,,4,Pcp7
check_abnormalitytr1,Check Empty Truck Weight Abnormality,2024-05-14 18:05:19,tr1,rfidWKFZQT,,,,,,,,,4,Pcp7
fail_weightr1,Fail to Weigh,2024-05-15 08:06:32,tr1,,,,,,,Available,,abnormal,4,Pcp7
assign_trs_Pcp8,Assign Trucks,2024-05-15 09:52:06,tr1,,,Cr13,,,9382.9,Occupied,,,5,Pcp8
trs_entrytr1,Enter the port,2024-05-16 13:55:43,tr1,rfidWKFZQT,,,,,,,,,5,Pcp8
weigh_empty_trucktr1,Weigh the Empty Truck,2024-05-16 15:26:19,tr1,WS19,,,,,,,14579.7,,5,Pcp8
check_abnormalitytr1,Check Empty Truck Weight Abnormality,2024-05-16 15:55:08,tr1,rfidWKFZQT,,,,,,,,,5,Pcp8
fail_weightr1,Fail to Weigh,2024-05-16 17:28:58,tr1,,,,,,,Available,,abnormal,5,Pcp8
