IoT_object_id,Object_id,IoT2O_qualifier,Timestamp
WS16,tr30,Weight sensor measuring empty truck weight,2024-05-01 15:54:29
WS13,tr19,Weight sensor measuring empty truck weight,2024-05-01 16:23:31
WS09,tr34,Weight sensor measuring empty truck weight,2024-05-01 16:57:54
WS07,tr45,Weight sensor measuring empty truck weight,2024-05-01 16:58:07
WS03,tr40,Weight sensor measuring empty truck weight,2024-05-01 17:28:48
WS18,tr21,Weight sensor measuring empty truck weight,2024-05-01 17:43:38
WS11,tr4,Weight sensor measuring empty truck weight,2024-05-01 17:55:13
WS20,tr35,Weight sensor measuring empty truck weight,2024-05-01 18:08:17
WS06,tr1,Weight sensor measuring empty truck weight,2024-05-02 07:33:05
WS14,tr16,Weight sensor measuring empty truck weight,2024-05-02 07:58:12
WS19,tr26,Weight sensor measuring empty truck weight,2024-05-02 08:02:45
WS05,tr6,Weight sensor measuring empty truck weight,2024-05-02 08:29:57
WS01,tr8,Weight sensor measuring empty truck weight,2024-05-02 09:04:52
WS07,tr37,Weight sensor measuring empty truck weight,2024-05-02 09:33:06
WS12,tr38,Weight sensor measuring empty truck weight,2024-05-02 09:38:46
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 09:57:19
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 09:57:19
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 09:57:19
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 09:57:19
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 09:57:19
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-02 10:28:52
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-02 10:28:52
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-02 10:28:52
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-02 10:28:52
GrainTemp21,Silo7,3rd Grain Termperature sensor located in the silo,2024-05-02 10:28:52
WS16,tr25,Weight sensor measuring empty truck weight,2024-05-02 10:36:59
WS02,tr27,Weight sensor measuring empty truck weight,2024-05-02 10:42:19
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 10:51:05
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 10:51:05
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 10:51:05
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 10:51:05
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 10:51:05
WS07,tr10,Weight sensor measuring empty truck weight,2024-05-02 10:52:02
WS05,tr31,Weight sensor measuring empty truck weight,2024-05-02 10:53:13
WS20,tr48,Weight sensor measuring empty truck weight,2024-05-02 11:17:52
Temp5,Silo5,Temperature sensor measuring silo temperature,2024-05-02 11:27:42
Humd5,Silo5,Humidity sensor measuring silo humidity,2024-05-02 11:27:42
GrainTemp13,Silo5,1st Grain Termperature sensor located in the silo,2024-05-02 11:27:42
GrainTemp14,Silo5,2nd Grain Termperature sensor located in the silo,2024-05-02 11:27:42
GrainTemp15,Silo5,3rd Grain Termperature sensor located in the silo,2024-05-02 11:27:42
Temp7,Silo7,Temperature sensor measuring silo temperature,2024-05-02 11:30:18
Humd7,Silo7,Humidity sensor measuring silo humidity,2024-05-02 11:30:18
GrainTemp19,Silo7,1st Grain Termperature sensor located in the silo,2024-05-02 11:30:18
GrainTemp20,Silo7,2nd Grain Termperature sensor located in the silo,2024-05-02 11:30:18
