Object_id,Timestamp,Ocel_changed_field,CargoID,Num of trucks,Total pickup weight
Pcp3,2024-04-29 08:12:32,,Cr1,44,413013.5
Pcp9,2024-04-29 08:39:46,,Cr14,28,261674.3
Pcp6,2024-04-29 08:46:20,,Cr17,40,372842.9
Pcp2,2024-04-29 09:07:13,,Cr11,60,569072.7
Pcp8,2024-04-29 09:07:35,,Cr4,68,639757.5
Pcp5,2024-04-29 09:10:45,,Cr9,38,357741.9
Pcp4,2024-04-29 09:25:16,,Cr7,48,453203.8
Pcp7,2024-04-29 09:29:57,,Cr10,61,574906.1
Pcp1,2024-04-29 09:31:44,,Cr16,64,600776.4
Pcp10,2024-04-29 10:32:00,,Cr18,40,373283.7
