Location,timestamp,Temperature,Temperature_IoTDeviceID,Humidity,Humidity_IoTDeviceID,InTemperature,InTemperature_IoTDeviceID,GrainTemperature1,GrainTemperature1_IoTDeviceID,GrainTemperature2,GrainTemperature2_IoTDeviceID,GrainTemperature3,GrainTemperature3_IoTDeviceID,
Silo1,2024-04-29 08:00:00,22.8,Temp1,29.4,Humd1,7.8,InTemp1,2.5,GrainTemp1,10.0,GrainTemp2,11.3,GrainTemp3,
Silo1,2024-04-29 09:00:00,0.0,null,0.0,null,0.0,null,7.7,GrainTemp1,5.2,GrainTemp2,10.0,GrainTemp3,
Silo1,2024-04-29 10:00:00,0.0,null,0.0,null,0.0,null,12.7,GrainTemp1,5.9,GrainTemp2,13.3,GrainTemp3,
Silo1,2024-04-29 11:00:00,0.0,null,0.0,null,0.0,null,2.0,GrainTemp1,3.8,GrainTemp2,9.0,GrainTemp3,
Silo1,2024-04-29 12:00:00,0.0,null,0.0,null,0.0,null,5.5,GrainTemp1,11.6,GrainTemp2,9.8,GrainTemp3,
Silo1,2024-04-29 13:00:00,0.0,null,0.0,null,0.0,null,7.5,GrainTemp1,11.3,GrainTemp2,4.1,GrainTemp3,
Silo1,2024-04-29 14:00:00,24.6,Temp1,25.4,Humd1,9.4,InTemp1,12.3,GrainTemp1,6.9,GrainTemp2,3.5,GrainTemp3,
Silo1,2024-04-29 15:00:00,0.0,null,0.0,null,0.0,null,7.7,GrainTemp1,1.7,GrainTemp2,11.8,GrainTemp3,
Silo1,2024-04-29 16:00:00,0.0,null,0.0,null,0.0,null,4.2,GrainTemp1,6.0,GrainTemp2,3.8,GrainTemp3,
Silo1,2024-04-29 17:00:00,0.0,null,0.0,null,0.0,null,7.4,GrainTemp1,14.1,GrainTemp2,15.0,GrainTemp3,
Silo1,2024-04-30 08:00:00,15.9,Temp1,25.9,Humd1,12.7,InTemp1,12.2,GrainTemp1,5.4,GrainTemp2,6.0,GrainTemp3,
Silo1,2024-04-30 09:00:00,0.0,null,0.0,null,0.0,null,3.0,GrainTemp1,12.3,GrainTemp2,6.3,GrainTemp3,
Silo1,2024-04-30 10:00:00,0.0,null,0.0,null,0.0,null,3.3,GrainTemp1,10.3,GrainTemp2,2.4,GrainTemp3,
Silo1,2024-04-30 11:00:00,0.0,null,0.0,null,0.0,null,5.0,GrainTemp1,7.4,GrainTemp2,12.4,GrainTemp3,
Silo1,2024-04-30 12:00:00,0.0,null,0.0,null,0.0,null,11.8,GrainTemp1,2.2,GrainTemp2,11.3,GrainTemp3,
Silo1,2024-04-30 13:00:00,0.0,null,0.0,null,0.0,null,11.8,GrainTemp1,12.9,GrainTemp2,2.2,GrainTemp3,
Silo1,2024-04-30 14:00:00,13.9,Temp1,34.7,Humd1,8.1,InTemp1,6.9,GrainTemp1,7.5,GrainTemp2,12.0,GrainTemp3,
Silo1,2024-04-30 15:00:00,0.0,null,0.0,null,0.0,null,9.8,GrainTemp1,11.1,GrainTemp2,6.0,GrainTemp3,
Silo1,2024-04-30 16:00:00,0.0,null,0.0,null,0.0,null,5.5,GrainTemp1,9.8,GrainTemp2,2.6,GrainTemp3,
Silo1,2024-04-30 17:00:00,0.0,null,0.0,null,0.0,null,13.8,GrainTemp1,14.9,GrainTemp2,2.8,GrainTemp3,
Silo1,2024-05-01 08:00:00,24.0,Temp1,22.0,Humd1,11.4,InTemp1,14.6,GrainTemp1,7.3,GrainTemp2,10.3,GrainTemp3,
Silo1,2024-05-01 09:00:00,0.0,null,0.0,null,0.0,null,14.9,GrainTemp1,4.7,GrainTemp2,8.0,GrainTemp3,
Silo1,2024-05-01 10:00:00,0.0,null,0.0,null,0.0,null,5.7,GrainTemp1,14.6,GrainTemp2,11.7,GrainTemp3,
Silo1,2024-05-01 11:00:00,0.0,null,0.0,null,0.0,null,4.2,GrainTemp1,10.8,GrainTemp2,7.1,GrainTemp3,
Silo1,2024-05-01 12:00:00,0.0,null,0.0,null,0.0,null,10.9,GrainTemp1,9.2,GrainTemp2,7.2,GrainTemp3,
Silo1,2024-05-01 13:00:00,0.0,null,0.0,null,0.0,null,11.6,GrainTemp1,12.2,GrainTemp2,7.5,GrainTemp3,
Silo1,2024-05-01 14:00:00,15.9,Temp1,31.3,Humd1,14.0,InTemp1,1.8,GrainTemp1,3.1,GrainTemp2,1.2,GrainTemp3,
Silo1,2024-05-01 15:00:00,0.0,null,0.0,null,0.0,null,11.2,GrainTemp1,8.6,GrainTemp2,3.2,GrainTemp3,
Silo1,2024-05-01 16:00:00,0.0,null,0.0,null,0.0,null,10.7,GrainTemp1,10.3,GrainTemp2,12.0,GrainTemp3,
Silo1,2024-05-01 17:00:00,0.0,null,0.0,null,0.0,null,12.4,GrainTemp1,7.7,GrainTemp2,7.1,GrainTemp3,
Silo1,2024-05-02 08:00:00,11.9,Temp1,20.6,Humd1,17.8,InTemp1,5.0,GrainTemp1,10.0,GrainTemp2,7.9,GrainTemp3,
Silo1,2024-05-02 09:00:00,0.0,null,0.0,null,0.0,null,11.5,GrainTemp1,12.3,GrainTemp2,9.6,GrainTemp3,
Silo1,2024-05-02 10:00:00,0.0,null,0.0,null,0.0,null,7.5,GrainTemp1,1.4,GrainTemp2,4.7,GrainTemp3,
Silo1,2024-05-02 11:00:00,0.0,null,0.0,null,0.0,null,3.4,GrainTemp1,8.7,GrainTemp2,11.7,GrainTemp3,
Silo1,2024-05-02 12:00:00,0.0,null,0.0,null,0.0,null,10.8,GrainTemp1,3.6,GrainTemp2,11.3,GrainTemp3,
Silo1,2024-05-02 13:00:00,0.0,null,0.0,null,0.0,null,5.5,GrainTemp1,9.0,GrainTemp2,13.6,GrainTemp3,
Silo1,2024-05-02 14:00:00,23.5,Temp1,21.7,Humd1,6.4,InTemp1,5.6,GrainTemp1,13.1,GrainTemp2,14.1,GrainTemp3,
Silo1,2024-05-02 15:00:00,0.0,null,0.0,null,0.0,null,12.1,GrainTemp1,7.2,GrainTemp2,11.3,GrainTemp3,
Silo1,2024-05-02 16:00:00,0.0,null,0.0,null,0.0,null,12.7,GrainTemp1,4.7,GrainTemp2,8.4,GrainTemp3,
Silo1,2024-05-02 17:00:00,0.0,null,0.0,null,0.0,null,10.3,GrainTemp1,10.4,GrainTemp2,4.1,GrainTemp3,
Silo1,2024-05-03 08:00:00,14.3,Temp1,24.2,Humd1,6.5,InTemp1,7.7,GrainTemp1,3.5,GrainTemp2,13.5,GrainTemp3,
Silo1,2024-05-03 09:00:00,0.0,null,0.0,null,0.0,null,3.0,GrainTemp1,2.5,GrainTemp2,10.4,GrainTemp3,
Silo1,2024-05-03 10:00:00,0.0,null,0.0,null,0.0,null,4.8,GrainTemp1,10.1,GrainTemp2,9.8,GrainTemp3,
Silo1,2024-05-03 11:00:00,0.0,null,0.0,null,0.0,null,2.0,GrainTemp1,14.7,GrainTemp2,9.6,GrainTemp3,
Silo1,2024-05-03 12:00:00,0.0,null,0.0,null,0.0,null,5.7,GrainTemp1,5.8,GrainTemp2,9.0,GrainTemp3,
Silo1,2024-05-03 13:00:00,0.0,null,0.0,null,0.0,null,3.8,GrainTemp1,5.6,GrainTemp2,7.1,GrainTemp3,
Silo1,2024-05-03 14:00:00,17.2,Temp1,27.2,Humd1,22.5,InTemp1,6.8,GrainTemp1,10.8,GrainTemp2,9.8,GrainTemp3,
Silo1,2024-05-03 15:00:00,0.0,null,0.0,null,0.0,null,11.8,GrainTemp1,4.5,GrainTemp2,10.6,GrainTemp3,
Silo1,2024-05-03 16:00:00,0.0,null,0.0,null,0.0,null,4.4,GrainTemp1,4.3,GrainTemp2,12.9,GrainTemp3,
Silo1,2024-05-03 17:00:00,0.0,null,0.0,null,0.0,null,8.4,GrainTemp1,1.2,GrainTemp2,5.5,GrainTemp3,
Silo1,2024-05-04 08:00:00,10.2,Temp1,30.5,Humd1,24.3,InTemp1,10.3,GrainTemp1,12.2,GrainTemp2,1.1,GrainTemp3,
Silo1,2024-05-04 09:00:00,0.0,null,0.0,null,0.0,null,1.4,GrainTemp1,10.4,GrainTemp2,1.1,GrainTemp3,
Silo1,2024-05-04 10:00:00,0.0,null,0.0,null,0.0,null,13.5,GrainTemp1,10.3,GrainTemp2,7.6,GrainTemp3,
Silo1,2024-05-04 11:00:00,0.0,null,0.0,null,0.0,null,13.7,GrainTemp1,8.6,GrainTemp2,10.4,GrainTemp3,
Silo1,2024-05-04 12:00:00,0.0,null,0.0,null,0.0,null,9.0,GrainTemp1,13.1,GrainTemp2,8.0,GrainTemp3,
Silo1,2024-05-04 13:00:00,0.0,null,0.0,null,0.0,null,1.3,GrainTemp1,13.4,GrainTemp2,4.5,GrainTemp3,
Silo1,2024-05-04 14:00:00,23.4,Temp1,18.1,Humd1,16.9,InTemp1,6.3,GrainTemp1,14.9,GrainTemp2,1.1,GrainTemp3,
Silo1,2024-05-04 15:00:00,0.0,null,0.0,null,0.0,null,14.3,GrainTemp1,14.8,GrainTemp2,10.8,GrainTemp3,
Silo1,2024-05-04 16:00:00,0.0,null,0.0,null,0.0,null,14.8,GrainTemp1,5.8,GrainTemp2,12.5,GrainTemp3,
Silo1,2024-05-04 17:00:00,0.0,null,0.0,null,0.0,null,7.4,GrainTemp1,11.3,GrainTemp2,15.0,GrainTemp3,
Silo1,2024-05-05 08:00:00,9.8,Temp1,11.3,Humd1,12.5,InTemp1,14.9,GrainTemp1,5.7,GrainTemp2,12.4,GrainTemp3,
Silo1,2024-05-05 09:00:00,0.0,null,0.0,null,0.0,null,7.8,GrainTemp1,7.6,GrainTemp2,9.9,GrainTemp3,
Silo1,2024-05-05 10:00:00,0.0,null,0.0,null,0.0,null,10.5,GrainTemp1,10.8,GrainTemp2,13.4,GrainTemp3,
Silo1,2024-05-05 11:00:00,0.0,null,0.0,null,0.0,null,12.1,GrainTemp1,5.8,GrainTemp2,1.1,GrainTemp3,
Silo1,2024-05-05 12:00:00,0.0,null,0.0,null,0.0,null,12.2,GrainTemp1,11.7,GrainTemp2,8.8,GrainTemp3,
