IoTDeviceID,timestamp,Location,Type,Value,Unit
Temp1,2024-04-29 08:00:00,Silo1,temperature,22.8,celsius
Humd1,2024-04-29 08:00:00,Silo1,humidity,29.4,percentage
InTemp1,2024-04-29 08:00:00,Silo1,intemperature,7.8,celsius
Temp1,2024-04-29 14:00:00,Silo1,temperature,24.6,celsius
Humd1,2024-04-29 14:00:00,Silo1,humidity,25.4,percentage
InTemp1,2024-04-29 14:00:00,Silo1,intemperature,9.4,celsius
GrainTemp1,2024-04-29 08:00:00,Silo1,graintemperature,2.5,celsius
GrainTemp2,2024-04-29 08:00:00,Silo1,graintemperature,10.0,celsius
GrainTemp3,2024-04-29 08:00:00,Silo1,graintemperature,11.3,celsius
GrainTemp1,2024-04-29 09:00:00,Silo1,graintemperature,7.7,celsius
GrainTemp2,2024-04-29 09:00:00,Silo1,graintemperature,5.2,celsius
GrainTemp3,2024-04-29 09:00:00,Silo1,graintemperature,10.0,celsius
GrainTemp1,2024-04-29 10:00:00,Silo1,graintemperature,12.7,celsius
GrainTemp2,2024-04-29 10:00:00,Silo1,graintemperature,5.9,celsius
GrainTemp3,2024-04-29 10:00:00,Silo1,graintemperature,13.3,celsius
GrainTemp1,2024-04-29 11:00:00,Silo1,graintemperature,2.0,celsius
GrainTemp2,2024-04-29 11:00:00,Silo1,graintemperature,3.8,celsius
GrainTemp3,2024-04-29 11:00:00,Silo1,graintemperature,9.0,celsius
GrainTemp1,2024-04-29 12:00:00,Silo1,graintemperature,5.5,celsius
GrainTemp2,2024-04-29 12:00:00,Silo1,graintemperature,11.6,celsius
GrainTemp3,2024-04-29 12:00:00,Silo1,graintemperature,9.8,celsius
GrainTemp1,2024-04-29 13:00:00,Silo1,graintemperature,7.5,celsius
GrainTemp2,2024-04-29 13:00:00,Silo1,graintemperature,11.3,celsius
GrainTemp3,2024-04-29 13:00:00,Silo1,graintemperature,4.1,celsius
GrainTemp1,2024-04-29 14:00:00,Silo1,graintemperature,12.3,celsius
GrainTemp2,2024-04-29 14:00:00,Silo1,graintemperature,6.9,celsius
GrainTemp3,2024-04-29 14:00:00,Silo1,graintemperature,3.5,celsius
GrainTemp1,2024-04-29 15:00:00,Silo1,graintemperature,7.7,celsius
GrainTemp2,2024-04-29 15:00:00,Silo1,graintemperature,1.7,celsius
GrainTemp3,2024-04-29 15:00:00,Silo1,graintemperature,11.8,celsius
GrainTemp1,2024-04-29 16:00:00,Silo1,graintemperature,4.2,celsius
GrainTemp2,2024-04-29 16:00:00,Silo1,graintemperature,6.0,celsius
GrainTemp3,2024-04-29 16:00:00,Silo1,graintemperature,3.8,celsius
GrainTemp1,2024-04-29 17:00:00,Silo1,graintemperature,7.4,celsius
GrainTemp2,2024-04-29 17:00:00,Silo1,graintemperature,14.1,celsius
GrainTemp3,2024-04-29 17:00:00,Silo1,graintemperature,15.0,celsius
Temp1,2024-04-30 08:00:00,Silo1,temperature,15.9,celsius
Humd1,2024-04-30 08:00:00,Silo1,humidity,25.9,percentage
InTemp1,2024-04-30 08:00:00,Silo1,intemperature,12.7,celsius
Temp1,2024-04-30 14:00:00,Silo1,temperature,13.9,celsius
Humd1,2024-04-30 14:00:00,Silo1,humidity,34.7,percentage
InTemp1,2024-04-30 14:00:00,Silo1,intemperature,8.1,celsius
GrainTemp1,2024-04-30 08:00:00,Silo1,graintemperature,12.2,celsius
GrainTemp2,2024-04-30 08:00:00,Silo1,graintemperature,5.4,celsius
GrainTemp3,2024-04-30 08:00:00,Silo1,graintemperature,6.0,celsius
GrainTemp1,2024-04-30 09:00:00,Silo1,graintemperature,3.0,celsius
GrainTemp2,2024-04-30 09:00:00,Silo1,graintemperature,12.3,celsius
GrainTemp3,2024-04-30 09:00:00,Silo1,graintemperature,6.3,celsius
GrainTemp1,2024-04-30 10:00:00,Silo1,graintemperature,3.3,celsius
GrainTemp2,2024-04-30 10:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp3,2024-04-30 10:00:00,Silo1,graintemperature,2.4,celsius
GrainTemp1,2024-04-30 11:00:00,Silo1,graintemperature,5.0,celsius
GrainTemp2,2024-04-30 11:00:00,Silo1,graintemperature,7.4,celsius
GrainTemp3,2024-04-30 11:00:00,Silo1,graintemperature,12.4,celsius
GrainTemp1,2024-04-30 12:00:00,Silo1,graintemperature,11.8,celsius
GrainTemp2,2024-04-30 12:00:00,Silo1,graintemperature,2.2,celsius
GrainTemp3,2024-04-30 12:00:00,Silo1,graintemperature,11.3,celsius
GrainTemp1,2024-04-30 13:00:00,Silo1,graintemperature,11.8,celsius
GrainTemp2,2024-04-30 13:00:00,Silo1,graintemperature,12.9,celsius
GrainTemp3,2024-04-30 13:00:00,Silo1,graintemperature,2.2,celsius
GrainTemp1,2024-04-30 14:00:00,Silo1,graintemperature,6.9,celsius
GrainTemp2,2024-04-30 14:00:00,Silo1,graintemperature,7.5,celsius
GrainTemp3,2024-04-30 14:00:00,Silo1,graintemperature,12.0,celsius
GrainTemp1,2024-04-30 15:00:00,Silo1,graintemperature,9.8,celsius
GrainTemp2,2024-04-30 15:00:00,Silo1,graintemperature,11.1,celsius
GrainTemp3,2024-04-30 15:00:00,Silo1,graintemperature,6.0,celsius
GrainTemp1,2024-04-30 16:00:00,Silo1,graintemperature,5.5,celsius
GrainTemp2,2024-04-30 16:00:00,Silo1,graintemperature,9.8,celsius
GrainTemp3,2024-04-30 16:00:00,Silo1,graintemperature,2.6,celsius
GrainTemp1,2024-04-30 17:00:00,Silo1,graintemperature,13.8,celsius
GrainTemp2,2024-04-30 17:00:00,Silo1,graintemperature,14.9,celsius
GrainTemp3,2024-04-30 17:00:00,Silo1,graintemperature,2.8,celsius
Temp1,2024-05-01 08:00:00,Silo1,temperature,24.0,celsius
