ocel_id;ocel_type
tr31;Truck
tr30;Truck
tr8;Truck
tr17;Truck
tr18;Truck
tr3;Truck
tr4;Truck
tr12;Truck
Cr10;Cargo
tr11;Truck
tr7;Truck
tr19;Truck
tr9;Truck
tr15;Truck
tr45;Truck
Cr13;Cargo
tr46;Truck
tr24;Truck
tr1;Truck
tr35;Truck
tr43;Truck
tr10;Truck
tr26;Truck
tr40;Truck
tr27;Truck
tr25;Truck
tr2;Truck
tr5;Truck
Cr2;Cargo
Cr12;Cargo
Cr8;Cargo
Cr14;Cargo
Cr19;Cargo
tr39;Truck
Cr5;Cargo
tr49;Truck
tr21;Truck
tr6;Truck
tr22;Truck
Cr6;Cargo
tr47;Truck
tr13;Truck
tr33;Truck
tr42;Truck
Cr18;Cargo
tr44;Truck
tr14;Truck
tr32;Truck
tr28;Truck
Cr3;Cargo
tr16;Truck
tr48;Truck
Cr17;Cargo
Cr4;Cargo
tr38;Truck
tr20;Truck
Cr15;Cargo
Cr20;Cargo
Cr9;Cargo
Cr11;Cargo
tr23;Truck
Cr1;Cargo
Cr16;Cargo
tr41;Truck
Silo17;Silo
tr50;Truck
tr34;Truck
Silo6;Silo
tr29;Truck
tr37;Truck
tr36;Truck
Silo12;Silo
Silo16;Silo
Silo3;Silo
Silo14;Silo
Cr7;Cargo
Silo13;Silo
Silo2;Silo
Silo4;Silo
Silo15;Silo
Silo8;Silo
Silo9;Silo
Silo18;Silo
Silo20;Silo
Silo1;Silo
Silo11;Silo
Silo5;Silo
Silo7;Silo
Silo10;Silo
Silo19;Silo
