ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(scheduled);Silo ID
Cr16;2024-03-04 00:00:00;;Potato;402642.0;Silo3
Cr11;2024-03-04 00:00:00;;Wheat;620562.5;Silo11
Cr18;2024-03-04 00:00:00;;Wheat;393187.5;Silo1
Cr9;2024-03-04 00:00:00;;Wheat;503295.4;Silo4
Cr6;2024-03-04 00:00:00;;Potato;280924.2;Silo16
Cr2;2024-03-04 00:00:00;;Potato;486851.9;Silo10
Cr13;2024-03-04 00:00:00;;Wheat;386838.3;Silo17
Cr17;2024-03-04 00:00:00;;Other;481694.5;Silo2
Cr4;2024-03-04 00:00:00;;Potato;339040.1;Silo14
Cr14;2024-03-04 00:00:00;;Corn;365867.1;Silo12
Cr5;2024-03-04 00:00:00;;Wheat;294672.1;Silo18
Cr12;2024-03-04 00:00:00;;Other;427892.1;Silo8
Cr20;2024-03-04 00:00:00;;Wheat;376628.0;Silo13
Cr8;2024-03-04 00:00:00;;Other;585035.2;Silo15
Cr3;2024-03-04 00:00:00;;Rice;320244.1;Silo20
Cr19;2024-03-04 00:00:00;;Potato;446091.9;Silo5
Cr15;2024-03-04 00:00:00;;Potato;499471.7;Silo6
Cr1;2024-03-04 00:00:00;;Potato;253510.2;Silo19
Cr7;2024-03-04 00:00:00;;Rice;346141.5;Silo7
Cr10;2024-03-04 00:00:00;;Corn;491311.8;Silo9
