ocel_id;ocel_time;ocel_changed_field;Silo Status;Temperature;Humidity;Silo Temperature;Grain Temperature
Silo1;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo7;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo6;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo14;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo4;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo19;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo12;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo5;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo15;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo3;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo8;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo13;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo16;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo2;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo9;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo18;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo17;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo11;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo10;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
Silo20;2024-03-04 00:00:00;;occupied;0.0;0.0;0.0;0.0
