Event_id,Object_id,E2O_qualifier
Lodge_Pcp3,Pcp3,lodged pickup plan
Lodge_Pcp3,Cr1,cargo to be picked up
Lodge_Pcp9,Pcp9,lodged pickup plan
Lodge_Pcp9,Cr14,cargo to be picked up
Lodge_Pcp6,Pcp6,lodged pickup plan
Lodge_Pcp6,Cr17,cargo to be picked up
Lodge_Pcp2,Pcp2,lodged pickup plan
Lodge_Pcp2,Cr11,cargo to be picked up
Lodge_Pcp8,Pcp8,lodged pickup plan
Lodge_Pcp8,Cr4,cargo to be picked up
Lodge_Pcp5,Pcp5,lodged pickup plan
Lodge_Pcp5,Cr9,cargo to be picked up
Lodge_Pcp4,Pcp4,lodged pickup plan
Lodge_Pcp4,Cr7,cargo to be picked up
Lodge_Pcp7,Pcp7,lodged pickup plan
Lodge_Pcp7,Cr10,cargo to be picked up
Lodge_Pcp1,Pcp1,lodged pickup plan
Lodge_Pcp1,Cr16,cargo to be picked up
Lodge_Pcp10,Pcp10,lodged pickup plan
Lodge_Pcp10,Cr18,cargo to be picked up
assign_trs_Pcp9,tr6,Pickup plan trucks assignment
assign_trs_Pcp9,tr18,Pickup plan trucks assignment
assign_trs_Pcp9,tr30,Pickup plan trucks assignment
assign_trs_Pcp9,tr33,Pickup plan trucks assignment
assign_trs_Pcp6,tr1,Pickup plan trucks assignment
assign_trs_Pcp9,tr19,Pickup plan trucks assignment
assign_trs_Pcp6,tr21,Pickup plan trucks assignment
assign_trs_Pcp9,tr34,Pickup plan trucks assignment
assign_trs_Pcp6,tr47,Pickup plan trucks assignment
assign_trs_Pcp6,tr16,Pickup plan trucks assignment
assign_trs_Pcp9,tr17,Pickup plan trucks assignment
assign_trs_Pcp6,tr35,Pickup plan trucks assignment
assign_trs_Pcp9,tr29,Pickup plan trucks assignment
assign_trs_Pcp6,tr45,Pickup plan trucks assignment
assign_trs_Pcp6,tr20,Pickup plan trucks assignment
assign_trs_Pcp9,tr44,Pickup plan trucks assignment
assign_trs_Pcp6,tr48,Pickup plan trucks assignment
assign_trs_Pcp9,tr38,Pickup plan trucks assignment
assign_trs_Pcp6,tr10,Pickup plan trucks assignment
assign_trs_Pcp9,tr26,Pickup plan trucks assignment
assign_trs_Pcp9,tr9,Pickup plan trucks assignment
assign_trs_Pcp6,tr39,Pickup plan trucks assignment
assign_trs_Pcp9,tr25,Pickup plan trucks assignment
assign_trs_Pcp9,tr4,Pickup plan trucks assignment
assign_trs_Pcp9,tr36,Pickup plan trucks assignment
assign_trs_Pcp9,tr40,Pickup plan trucks assignment
assign_trs_Pcp6,tr50,Pickup plan trucks assignment
assign_trs_Pcp6,tr11,Pickup plan trucks assignment
assign_trs_Pcp9,tr41,Pickup plan trucks assignment
assign_trs_Pcp9,tr8,Pickup plan trucks assignment
assign_trs_Pcp6,tr12,Pickup plan trucks assignment
assign_trs_Pcp6,tr27,Pickup plan trucks assignment
assign_trs_Pcp9,tr3,Pickup plan trucks assignment
assign_trs_Pcp6,tr2,Pickup plan trucks assignment
assign_trs_Pcp6,tr23,Pickup plan trucks assignment
assign_trs_Pcp9,tr43,Pickup plan trucks assignment
assign_trs_Pcp9,tr14,Pickup plan trucks assignment
assign_trs_Pcp9,tr22,Pickup plan trucks assignment
assign_trs_Pcp6,tr42,Pickup plan trucks assignment
assign_trs_Pcp9,tr37,Pickup plan trucks assignment
assign_trs_Pcp9,tr28,Pickup plan trucks assignment
assign_trs_Pcp6,tr7,Pickup plan trucks assignment
assign_trs_Pcp9,tr24,Pickup plan trucks assignment
