Source_object_id,Target_object_id,O2O_qualifier,Timestamp
Pcp3,Cr1,Lodged pickup plan for cargo,2024-04-29 08:12:32
Pcp9,Cr14,Lodged pickup plan for cargo,2024-04-29 08:39:46
Pcp6,Cr17,Lodged pickup plan for cargo,2024-04-29 08:46:20
Pcp2,Cr11,Lodged pickup plan for cargo,2024-04-29 09:07:13
Pcp8,Cr4,Lodged pickup plan for cargo,2024-04-29 09:07:35
Pcp5,Cr9,Lodged pickup plan for cargo,2024-04-29 09:10:45
Pcp4,Cr7,Lodged pickup plan for cargo,2024-04-29 09:25:16
Pcp7,Cr10,Lodged pickup plan for cargo,2024-04-29 09:29:57
Pcp1,Cr16,Lodged pickup plan for cargo,2024-04-29 09:31:44
Pcp10,Cr18,Lodged pickup plan for cargo,2024-04-29 10:32:00
tr6,Pcp9,Assigned truck for pickup plan,2024-05-01 10:19:54
tr18,Pcp9,Assigned truck for pickup plan,2024-05-01 10:25:53
tr30,Pcp9,Assigned truck for pickup plan,2024-05-01 10:26:40
tr33,Pcp9,Assigned truck for pickup plan,2024-05-01 10:32:05
tr1,Pcp6,Assigned truck for pickup plan,2024-05-01 10:32:08
tr19,Pcp9,Assigned truck for pickup plan,2024-05-01 10:34:47
tr21,Pcp6,Assigned truck for pickup plan,2024-05-01 10:40:26
tr34,Pcp9,Assigned truck for pickup plan,2024-05-01 10:47:14
tr47,Pcp6,Assigned truck for pickup plan,2024-05-01 10:50:57
tr16,Pcp6,Assigned truck for pickup plan,2024-05-01 10:51:40
tr17,Pcp9,Assigned truck for pickup plan,2024-05-01 10:54:36
tr35,Pcp6,Assigned truck for pickup plan,2024-05-01 10:54:47
tr29,Pcp9,Assigned truck for pickup plan,2024-05-01 10:57:04
tr45,Pcp6,Assigned truck for pickup plan,2024-05-01 11:01:34
tr20,Pcp6,Assigned truck for pickup plan,2024-05-01 11:02:05
tr44,Pcp9,Assigned truck for pickup plan,2024-05-01 11:02:48
tr48,Pcp6,Assigned truck for pickup plan,2024-05-01 11:03:00
tr38,Pcp9,Assigned truck for pickup plan,2024-05-01 11:03:12
tr10,Pcp6,Assigned truck for pickup plan,2024-05-01 11:08:08
tr26,Pcp9,Assigned truck for pickup plan,2024-05-01 11:09:26
tr9,Pcp9,Assigned truck for pickup plan,2024-05-01 11:13:53
tr39,Pcp6,Assigned truck for pickup plan,2024-05-01 11:15:37
tr25,Pcp9,Assigned truck for pickup plan,2024-05-01 11:15:42
tr4,Pcp9,Assigned truck for pickup plan,2024-05-01 11:16:22
tr36,Pcp9,Assigned truck for pickup plan,2024-05-01 11:16:50
tr40,Pcp9,Assigned truck for pickup plan,2024-05-01 11:16:56
tr50,Pcp6,Assigned truck for pickup plan,2024-05-01 11:17:15
tr11,Pcp6,Assigned truck for pickup plan,2024-05-01 11:19:29
tr41,Pcp9,Assigned truck for pickup plan,2024-05-01 11:19:56
tr8,Pcp9,Assigned truck for pickup plan,2024-05-01 11:21:19
tr12,Pcp6,Assigned truck for pickup plan,2024-05-01 11:23:42
tr27,Pcp6,Assigned truck for pickup plan,2024-05-01 11:23:55
tr3,Pcp9,Assigned truck for pickup plan,2024-05-01 11:26:02
tr2,Pcp6,Assigned truck for pickup plan,2024-05-01 11:31:09
tr23,Pcp6,Assigned truck for pickup plan,2024-05-01 11:31:34
