ocel_id;ocel_time
arrive_at_Silo5;2024-05-02 09:51:58
arrive_at_Silo7;2024-05-02 10:03:21
arrive_at_Silo5;2024-05-02 10:34:35
arrive_at_Silo5;2024-05-02 10:58:10
arrive_at_Silo7;2024-05-02 11:05:31
arrive_at_Silo5;2024-05-02 11:11:17
arrive_at_Silo7;2024-05-02 11:30:36
arrive_at_Silo7;2024-05-02 11:32:52
arrive_at_Silo7;2024-05-02 14:11:43
arrive_at_Silo5;2024-05-02 14:16:24
arrive_at_Silo5;2024-05-02 14:19:05
arrive_at_Silo5;2024-05-02 14:37:59
arrive_at_Silo7;2024-05-02 14:42:33
arrive_at_Silo5;2024-05-02 14:50:25
arrive_at_Silo5;2024-05-02 15:19:28
arrive_at_Silo5;2024-05-02 16:14:45
arrive_at_Silo7;2024-05-02 16:51:34
arrive_at_Silo5;2024-05-02 16:56:41
arrive_at_Silo5;2024-05-03 08:08:56
arrive_at_Silo5;2024-05-03 08:53:29
arrive_at_Silo7;2024-05-03 09:43:18
arrive_at_Silo7;2024-05-03 09:43:41
arrive_at_Silo7;2024-05-03 10:30:51
arrive_at_Silo5;2024-05-03 11:50:25
arrive_at_Silo7;2024-05-03 12:25:45
arrive_at_Silo7;2024-05-03 14:56:06
arrive_at_Silo5;2024-05-03 15:02:52
arrive_at_Silo7;2024-05-03 15:54:12
arrive_at_Silo5;2024-05-03 16:00:37
arrive_at_Silo5;2024-05-03 16:49:18
arrive_at_Silo7;2024-05-06 08:50:48
arrive_at_Silo17;2024-05-06 11:34:21
arrive_at_Silo19;2024-05-06 12:08:38
arrive_at_Silo11;2024-05-06 14:06:34
arrive_at_Silo17;2024-05-06 14:45:03
arrive_at_Silo8;2024-05-06 15:58:56
arrive_at_Silo6;2024-05-06 16:20:12
arrive_at_Silo11;2024-05-06 16:54:34
arrive_at_Silo10;2024-05-07 07:26:23
arrive_at_Silo17;2024-05-07 07:59:41
arrive_at_Silo19;2024-05-07 09:35:12
arrive_at_Silo18;2024-05-07 11:40:05
arrive_at_Silo16;2024-05-08 09:24:00
arrive_at_Silo8;2024-05-08 09:38:14
arrive_at_Silo6;2024-05-08 10:59:40
arrive_at_Silo11;2024-05-08 11:44:35
arrive_at_Silo10;2024-05-08 14:21:12
arrive_at_Silo18;2024-05-08 14:40:24
arrive_at_Silo10;2024-05-08 14:47:09
arrive_at_Silo18;2024-05-08 14:52:00
arrive_at_Silo18;2024-05-08 14:57:46
arrive_at_Silo17;2024-05-09 12:12:48
arrive_at_Silo19;2024-05-09 14:29:35
arrive_at_Silo16;2024-05-09 15:06:14
arrive_at_Silo7;2024-05-09 15:52:33
arrive_at_Silo8;2024-05-10 07:18:43
arrive_at_Silo8;2024-05-10 10:15:40
arrive_at_Silo18;2024-05-10 10:28:34
arrive_at_Silo8;2024-05-10 11:35:11
arrive_at_Silo18;2024-05-10 15:17:24
arrive_at_Silo11;2024-05-10 15:26:18
arrive_at_Silo16;2024-05-10 15:26:44
arrive_at_Silo6;2024-05-10 15:29:10
arrive_at_Silo8;2024-05-10 15:50:37
