ocel_id;ocel_time
assign_trs_Pcp9;2024-05-01 10:19:54
assign_trs_Pcp9;2024-05-01 10:25:53
assign_trs_Pcp9;2024-05-01 10:26:40
assign_trs_Pcp9;2024-05-01 10:32:05
assign_trs_Pcp6;2024-05-01 10:32:08
assign_trs_Pcp9;2024-05-01 10:34:47
assign_trs_Pcp6;2024-05-01 10:40:26
assign_trs_Pcp9;2024-05-01 10:47:14
assign_trs_Pcp6;2024-05-01 10:50:57
assign_trs_Pcp6;2024-05-01 10:51:40
assign_trs_Pcp9;2024-05-01 10:54:36
assign_trs_Pcp6;2024-05-01 10:54:47
assign_trs_Pcp9;2024-05-01 10:57:04
assign_trs_Pcp6;2024-05-01 11:01:34
assign_trs_Pcp6;2024-05-01 11:02:05
assign_trs_Pcp9;2024-05-01 11:02:48
assign_trs_Pcp6;2024-05-01 11:03:00
assign_trs_Pcp9;2024-05-01 11:03:12
assign_trs_Pcp6;2024-05-01 11:08:08
assign_trs_Pcp9;2024-05-01 11:09:26
assign_trs_Pcp9;2024-05-01 11:13:53
assign_trs_Pcp6;2024-05-01 11:15:37
assign_trs_Pcp9;2024-05-01 11:15:42
assign_trs_Pcp9;2024-05-01 11:16:22
assign_trs_Pcp9;2024-05-01 11:16:50
assign_trs_Pcp9;2024-05-01 11:16:56
assign_trs_Pcp6;2024-05-01 11:17:15
assign_trs_Pcp6;2024-05-01 11:19:29
assign_trs_Pcp9;2024-05-01 11:19:56
assign_trs_Pcp9;2024-05-01 11:21:19
assign_trs_Pcp6;2024-05-01 11:23:42
assign_trs_Pcp6;2024-05-01 11:23:55
assign_trs_Pcp9;2024-05-01 11:26:02
assign_trs_Pcp6;2024-05-01 11:31:09
assign_trs_Pcp6;2024-05-01 11:31:34
assign_trs_Pcp9;2024-05-01 11:41:25
assign_trs_Pcp9;2024-05-01 11:56:55
assign_trs_Pcp9;2024-05-01 11:57:48
assign_trs_Pcp6;2024-05-01 12:00:42
assign_trs_Pcp9;2024-05-01 12:11:55
assign_trs_Pcp9;2024-05-01 12:18:36
assign_trs_Pcp6;2024-05-01 12:19:34
assign_trs_Pcp9;2024-05-01 12:20:35
assign_trs_Pcp9;2024-05-01 12:26:37
assign_trs_Pcp6;2024-05-01 12:28:44
assign_trs_Pcp9;2024-05-01 12:38:25
assign_trs_Pcp9;2024-05-01 14:04:56
assign_trs_Pcp6;2024-05-01 14:13:40
assign_trs_Pcp6;2024-05-01 14:54:15
assign_trs_Pcp6;2024-05-01 15:45:47
assign_trs_Pcp8;2024-05-02 09:50:40
assign_trs_Pcp6;2024-05-02 11:42:05
assign_trs_Pcp8;2024-05-02 13:32:46
assign_trs_Pcp2;2024-05-02 15:12:06
assign_trs_Pcp2;2024-05-02 15:40:15
assign_trs_Pcp5;2024-05-02 15:50:07
assign_trs_Pcp2;2024-05-02 16:13:55
assign_trs_Pcp10;2024-05-02 16:42:21
assign_trs_Pcp5;2024-05-02 16:43:55
assign_trs_Pcp10;2024-05-02 17:42:02
assign_trs_Pcp8;2024-05-03 08:23:56
assign_trs_Pcp4;2024-05-03 09:37:03
assign_trs_Pcp2;2024-05-03 10:27:08
assign_trs_Pcp5;2024-05-03 10:48:55
assign_trs_Pcp2;2024-05-03 10:59:26
assign_trs_Pcp1;2024-05-03 11:46:24
assign_trs_Pcp3;2024-05-03 12:08:17
assign_trs_Pcp3;2024-05-03 13:56:05
assign_trs_Pcp6;2024-05-03 16:33:21
assign_trs_Pcp2;2024-05-03 17:27:24
assign_trs_Pcp1;2024-05-06 10:32:30
assign_trs_Pcp2;2024-05-06 11:01:20
assign_trs_Pcp10;2024-05-06 11:22:19
assign_trs_Pcp2;2024-05-06 11:27:24
assign_trs_Pcp8;2024-05-06 11:40:25
assign_trs_Pcp8;2024-05-06 15:27:46
assign_trs_Pcp3;2024-05-06 15:32:47
assign_trs_Pcp3;2024-05-06 15:34:24
assign_trs_Pcp2;2024-05-06 15:46:35
assign_trs_Pcp10;2024-05-06 16:08:51
assign_trs_Pcp2;2024-05-06 16:22:21
assign_trs_Pcp6;2024-05-06 16:23:40
assign_trs_Pcp4;2024-05-06 16:28:57
assign_trs_Pcp3;2024-05-06 16:48:53
