ocel_id;ocel_time
check_abnormalitytr19;2024-05-01 16:41:11
check_abnormalitytr30;2024-05-01 17:00:17
check_abnormalitytr4;2024-05-01 19:36:47
check_abnormalitytr45;2024-05-01 19:41:51
check_abnormalitytr35;2024-05-02 07:18:32
check_abnormalitytr21;2024-05-02 07:45:46
check_abnormalitytr1;2024-05-02 07:59:16
check_abnormalitytr26;2024-05-02 08:20:48
check_abnormalitytr40;2024-05-02 08:21:48
check_abnormalitytr34;2024-05-02 08:21:59
check_abnormalitytr8;2024-05-02 09:26:17
check_abnormalitytr6;2024-05-02 09:34:17
check_abnormalitytr16;2024-05-02 09:34:45
check_abnormalitytr37;2024-05-02 09:38:02
check_abnormalitytr38;2024-05-02 09:53:26
check_abnormalitytr27;2024-05-02 10:33:38
check_abnormalitytr20;2024-05-02 11:29:42
check_abnormalitytr25;2024-05-02 11:33:29
check_abnormalitytr36;2024-05-02 11:51:10
check_abnormalitytr48;2024-05-02 11:55:53
check_abnormalitytr31;2024-05-02 12:23:08
check_abnormalitytr10;2024-05-02 12:41:09
check_abnormalitytr42;2024-05-02 13:28:30
check_abnormalitytr28;2024-05-02 13:29:26
check_abnormalitytr14;2024-05-02 13:31:35
check_abnormalitytr44;2024-05-02 13:59:52
check_abnormalitytr9;2024-05-02 14:43:11
check_abnormalitytr18;2024-05-02 14:50:07
check_abnormalitytr49;2024-05-02 15:34:20
check_abnormalitytr23;2024-05-02 15:48:46
check_abnormalitytr15;2024-05-02 16:37:38
check_abnormalitytr50;2024-05-02 16:40:33
check_abnormalitytr32;2024-05-02 16:53:38
check_abnormalitytr5;2024-05-02 17:02:50
check_abnormalitytr33;2024-05-02 17:12:08
check_abnormalitytr7;2024-05-02 17:30:22
check_abnormalitytr2;2024-05-02 17:49:58
check_abnormalitytr24;2024-05-02 19:30:13
check_abnormalitytr12;2024-05-03 07:47:44
check_abnormalitytr3;2024-05-03 08:11:42
check_abnormalitytr29;2024-05-03 08:43:16
check_abnormalitytr41;2024-05-03 09:54:30
check_abnormalitytr17;2024-05-03 09:58:01
check_abnormalitytr43;2024-05-03 10:51:51
check_abnormalitytr46;2024-05-03 10:54:17
check_abnormalitytr47;2024-05-03 10:58:26
check_abnormalitytr45;2024-05-03 11:33:56
check_abnormalitytr40;2024-05-03 11:36:24
check_abnormalitytr39;2024-05-03 12:00:37
check_abnormalitytr22;2024-05-03 14:57:44
check_abnormalitytr1;2024-05-03 15:07:42
check_abnormalitytr13;2024-05-03 15:10:02
check_abnormalitytr11;2024-05-03 15:54:39
check_abnormalitytr5;2024-05-03 16:46:39
check_abnormalitytr34;2024-05-03 16:48:11
check_abnormalitytr6;2024-05-03 17:44:13
check_abnormalitytr48;2024-05-06 07:58:03
check_abnormalitytr36;2024-05-06 07:59:57
check_abnormalitytr25;2024-05-06 08:11:06
check_abnormalitytr49;2024-05-06 09:31:44
check_abnormalitytr27;2024-05-06 09:52:14
check_abnormalitytr19;2024-05-06 09:56:31
check_abnormalitytr24;2024-05-06 10:50:34
check_abnormalitytr37;2024-05-06 11:14:39
check_abnormalitytr28;2024-05-06 13:19:40
check_abnormalitytr7;2024-05-06 13:58:11
check_abnormalitytr30;2024-05-06 14:11:20
check_abnormalitytr32;2024-05-06 14:23:40
check_abnormalitytr39;2024-05-06 15:11:29
check_abnormalitytr40;2024-05-06 15:18:31
check_abnormalitytr9;2024-05-06 16:25:05
check_abnormalitytr6;2024-05-06 16:49:08
check_abnormalitytr4;2024-05-07 08:19:09
check_abnormalitytr21;2024-05-07 09:46:11
check_abnormalitytr14;2024-05-07 11:40:20
check_abnormalitytr50;2024-05-07 11:43:57
check_abnormalitytr18;2024-05-07 12:18:42
check_abnormalitytr46;2024-05-07 12:19:47
check_abnormalitytr2;2024-05-07 13:36:52
check_abnormalitytr49;2024-05-07 14:38:26
check_abnormalitytr20;2024-05-07 14:41:07
check_abnormalitytr10;2024-05-07 15:23:01
check_abnormalitytr29;2024-05-07 15:31:02
check_abnormalitytr43;2024-05-07 15:49:44
check_abnormalitytr42;2024-05-07 16:11:36
check_abnormalitytr8;2024-05-07 16:35:39
check_abnormalitytr1;2024-05-07 16:56:26
check_abnormalitytr7;2024-05-08 07:22:37
check_abnormalitytr27;2024-05-08 09:25:52
check_abnormalitytr32;2024-05-08 09:33:23
check_abnormalitytr35;2024-05-08 09:35:39
check_abnormalitytr38;2024-05-08 09:48:17
check_abnormalitytr12;2024-05-08 10:39:57
check_abnormalitytr37;2024-05-08 10:53:23
check_abnormalitytr23;2024-05-08 11:48:19
check_abnormalitytr9;2024-05-08 11:52:48
check_abnormalitytr25;2024-05-08 14:17:27
check_abnormalitytr30;2024-05-08 15:35:38
check_abnormalitytr46;2024-05-08 15:47:17
check_abnormalitytr17;2024-05-08 16:43:41
check_abnormalitytr47;2024-05-08 16:47:44
check_abnormalitytr39;2024-05-08 17:07:47
check_abnormalitytr40;2024-05-08 17:24:36
check_abnormalitytr41;2024-05-08 18:15:32
check_abnormalitytr1;2024-05-08 18:28:36
check_abnormalitytr5;2024-05-09 07:50:10
check_abnormalitytr36;2024-05-09 09:40:34
check_abnormalitytr31;2024-05-09 09:51:30
check_abnormalitytr20;2024-05-09 10:43:42
check_abnormalitytr4;2024-05-09 10:56:13
check_abnormalitytr27;2024-05-09 11:21:31
check_abnormalitytr16;2024-05-09 11:46:36
check_abnormalitytr42;2024-05-09 11:46:43
check_abnormalitytr6;2024-05-09 11:54:19
check_abnormalitytr12;2024-05-09 12:10:07
check_abnormalitytr13;2024-05-09 13:12:19
check_abnormalitytr18;2024-05-09 13:50:23
check_abnormalitytr11;2024-05-09 14:52:36
check_abnormalitytr15;2024-05-09 14:56:04
check_abnormalitytr44;2024-05-09 15:31:45
check_abnormalitytr43;2024-05-09 15:44:40
check_abnormalitytr50;2024-05-09 16:15:47
check_abnormalitytr9;2024-05-09 17:09:35
check_abnormalitytr14;2024-05-09 19:26:25
check_abnormalitytr32;2024-05-10 07:54:39
check_abnormalitytr33;2024-05-10 09:11:02
check_abnormalitytr19;2024-05-10 09:44:09
check_abnormalitytr26;2024-05-10 10:56:54
check_abnormalitytr22;2024-05-10 11:41:46
check_abnormalitytr49;2024-05-10 11:50:53
check_abnormalitytr28;2024-05-10 11:51:25
check_abnormalitytr37;2024-05-10 11:56:47
check_abnormalitytr2;2024-05-10 14:10:16
check_abnormalitytr1;2024-05-10 14:53:24
check_abnormalitytr6;2024-05-10 15:18:23
check_abnormalitytr36;2024-05-10 15:44:58
check_abnormalitytr48;2024-05-10 15:52:24
check_abnormalitytr34;2024-05-10 15:59:33
check_abnormalitytr13;2024-05-13 07:52:09
check_abnormalitytr39;2024-05-13 07:52:54
check_abnormalitytr3;2024-05-13 08:40:38
check_abnormalitytr40;2024-05-13 09:12:12
check_abnormalitytr21;2024-05-13 09:48:21
check_abnormalitytr35;2024-05-13 09:54:12
check_abnormalitytr8;2024-05-13 09:54:34
check_abnormalitytr12;2024-05-13 10:43:13
check_abnormalitytr45;2024-05-13 10:44:06
check_abnormalitytr4;2024-05-13 11:46:31
check_abnormalitytr32;2024-05-13 11:48:14
check_abnormalitytr7;2024-05-13 12:08:40
check_abnormalitytr24;2024-05-13 12:52:45
check_abnormalitytr25;2024-05-13 13:42:56
check_abnormalitytr42;2024-05-13 14:30:32
check_abnormalitytr9;2024-05-13 15:19:54
check_abnormalitytr31;2024-05-13 15:56:55
check_abnormalitytr23;2024-05-13 16:50:55
check_abnormalitytr47;2024-05-13 16:50:59
check_abnormalitytr1;2024-05-14 07:39:54
check_abnormalitytr43;2024-05-14 08:55:06
check_abnormalitytr3;2024-05-14 08:57:24
check_abnormalitytr10;2024-05-14 09:32:15
check_abnormalitytr18;2024-05-14 09:50:16
check_abnormalitytr19;2024-05-14 10:28:22
check_abnormalitytr29;2024-05-14 10:35:29
check_abnormalitytr15;2024-05-14 10:56:27
check_abnormalitytr40;2024-05-14 11:23:53
check_abnormalitytr8;2024-05-14 13:38:13
check_abnormalitytr26;2024-05-14 13:41:26
check_abnormalitytr13;2024-05-14 14:17:40
check_abnormalitytr30;2024-05-14 14:42:17
check_abnormalitytr17;2024-05-14 15:30:58
check_abnormalitytr28;2024-05-14 16:11:03
check_abnormalitytr25;2024-05-14 17:04:01
check_abnormalitytr22;2024-05-15 07:37:39
check_abnormalitytr33;2024-05-15 08:07:15
check_abnormalitytr20;2024-05-15 08:28:17
check_abnormalitytr44;2024-05-15 08:34:43
check_abnormalitytr32;2024-05-15 08:51:21
check_abnormalitytr45;2024-05-15 09:22:13
check_abnormalitytr41;2024-05-15 09:37:54
check_abnormalitytr7;2024-05-15 09:47:19
check_abnormalitytr50;2024-05-15 09:54:11
check_abnormalitytr31;2024-05-15 10:27:39
check_abnormalitytr4;2024-05-15 10:54:21
check_abnormalitytr43;2024-05-15 11:23:06
check_abnormalitytr37;2024-05-15 11:25:45
check_abnormalitytr49;2024-05-15 11:30:59
check_abnormalitytr38;2024-05-15 13:58:11
check_abnormalitytr19;2024-05-15 14:06:05
check_abnormalitytr48;2024-05-15 14:15:47
check_abnormalitytr29;2024-05-15 15:11:12
check_abnormalitytr12;2024-05-15 15:29:16
check_abnormalitytr40;2024-05-15 15:30:40
check_abnormalitytr1;2024-05-15 16:00:07
check_abnormalitytr8;2024-05-15 16:41:38
check_abnormalitytr14;2024-05-15 16:54:30
check_abnormalitytr15;2024-05-15 19:46:19
check_abnormalitytr27;2024-05-16 08:52:46
check_abnormalitytr9;2024-05-16 08:55:43
check_abnormalitytr42;2024-05-16 10:33:46
check_abnormalitytr16;2024-05-16 10:39:54
check_abnormalitytr25;2024-05-16 11:51:47
check_abnormalitytr11;2024-05-16 12:07:18
check_abnormalitytr22;2024-05-16 12:19:50
check_abnormalitytr41;2024-05-16 12:44:37
check_abnormalitytr45;2024-05-16 13:17:48
check_abnormalitytr28;2024-05-16 14:41:25
check_abnormalitytr18;2024-05-16 14:48:30
check_abnormalitytr35;2024-05-16 15:00:03
check_abnormalitytr37;2024-05-16 15:24:35
check_abnormalitytr44;2024-05-16 15:34:50
check_abnormalitytr3;2024-05-16 16:37:08
check_abnormalitytr34;2024-05-16 17:21:08
check_abnormalitytr13;2024-05-17 08:03:55
check_abnormalitytr2;2024-05-17 08:06:17
check_abnormalitytr6;2024-05-17 08:10:55
check_abnormalitytr12;2024-05-17 08:26:00
check_abnormalitytr33;2024-05-17 08:45:25
