ocel_id;ocel_time
determine_continuanceSilo20;2024-05-02 08:16:22
determine_continuanceSilo20;2024-05-02 08:20:43
determine_continuanceSilo20;2024-05-02 09:55:10
determine_continuanceSilo20;2024-05-02 09:56:29
determine_continuanceSilo20;2024-05-02 10:16:08
determine_continuanceSilo20;2024-05-02 10:55:25
determine_continuanceSilo20;2024-05-02 11:04:12
determine_continuanceSilo20;2024-05-02 12:06:41
determine_continuanceSilo20;2024-05-02 13:56:28
determine_continuanceSilo20;2024-05-02 14:08:19
determine_continuanceSilo20;2024-05-02 14:27:55
determine_continuanceSilo20;2024-05-02 14:42:30
determine_continuanceSilo20;2024-05-02 14:48:40
determine_continuanceSilo20;2024-05-02 14:53:40
determine_continuanceSilo20;2024-05-02 15:51:06
determine_continuanceSilo20;2024-05-02 15:54:13
determine_continuanceSilo20;2024-05-02 16:00:34
determine_continuanceSilo20;2024-05-02 16:47:53
determine_continuanceSilo20;2024-05-02 16:51:11
determine_continuanceSilo20;2024-05-02 17:08:02
determine_continuanceSilo20;2024-05-02 17:47:40
determine_continuanceSilo20;2024-05-02 18:55:10
determine_continuanceSilo20;2024-05-03 07:19:20
determine_continuanceSilo20;2024-05-03 08:50:51
determine_continuanceSilo20;2024-05-03 10:07:42
determine_continuanceSilo20;2024-05-03 10:36:39
determine_continuanceSilo20;2024-05-03 11:23:57
determine_continuanceSilo20;2024-05-03 14:05:22
determine_continuanceSilo20;2024-05-03 14:43:02
determine_continuanceSilo20;2024-05-03 15:41:03
determine_continuanceSilo20;2024-05-03 16:43:54
determine_continuanceSilo10;2024-05-03 16:48:49
determine_continuanceSilo20;2024-05-06 09:22:32
determine_continuanceSilo3;2024-05-06 09:40:45
determine_continuanceSilo6;2024-05-06 14:01:04
determine_continuanceSilo1;2024-05-06 14:21:11
determine_continuanceSilo2;2024-05-06 17:19:35
determine_continuanceSilo20;2024-05-06 18:11:52
determine_continuanceSilo7;2024-05-07 08:40:40
determine_continuanceSilo1;2024-05-07 11:55:38
determine_continuanceSilo7;2024-05-07 14:08:34
determine_continuanceSilo10;2024-05-07 15:58:23
determine_continuanceSilo10;2024-05-07 15:58:44
determine_continuanceSilo16;2024-05-08 10:51:25
determine_continuanceSilo16;2024-05-08 11:58:52
determine_continuanceSilo8;2024-05-08 12:11:06
determine_continuanceSilo2;2024-05-08 17:16:23
determine_continuanceSilo16;2024-05-09 08:16:29
determine_continuanceSilo16;2024-05-09 08:53:31
determine_continuanceSilo16;2024-05-09 09:56:50
determine_continuanceSilo8;2024-05-09 10:59:58
determine_continuanceSilo8;2024-05-09 11:37:12
determine_continuanceSilo7;2024-05-09 12:11:05
determine_continuanceSilo7;2024-05-09 13:56:56
determine_continuanceSilo10;2024-05-09 14:32:20
determine_continuanceSilo3;2024-05-09 16:34:10
determine_continuanceSilo15;2024-05-10 07:44:51
determine_continuanceSilo10;2024-05-10 08:04:17
determine_continuanceSilo15;2024-05-10 09:00:05
determine_continuanceSilo10;2024-05-10 09:55:47
determine_continuanceSilo3;2024-05-10 09:59:59
determine_continuanceSilo8;2024-05-10 10:46:14
determine_continuanceSilo3;2024-05-10 11:18:31
determine_continuanceSilo6;2024-05-10 12:00:33
determine_continuanceSilo10;2024-05-10 14:15:40
determine_continuanceSilo2;2024-05-10 16:52:14
determine_continuanceSilo6;2024-05-10 18:17:41
determine_continuanceSilo1;2024-05-13 08:42:40
determine_continuanceSilo15;2024-05-13 08:55:34
determine_continuanceSilo7;2024-05-13 10:30:55
determine_continuanceSilo15;2024-05-13 10:59:31
determine_continuanceSilo3;2024-05-14 10:11:32
determine_continuanceSilo15;2024-05-14 11:52:11
determine_continuanceSilo10;2024-05-14 14:54:56
determine_continuanceSilo15;2024-05-14 14:55:05
determine_continuanceSilo10;2024-05-14 15:40:46
determine_continuanceSilo3;2024-05-14 15:50:25
determine_continuanceSilo2;2024-05-14 15:57:50
determine_continuanceSilo16;2024-05-14 18:23:59
determine_continuanceSilo3;2024-05-15 07:10:18
determine_continuanceSilo2;2024-05-15 08:51:00
determine_continuanceSilo3;2024-05-15 09:39:08
determine_continuanceSilo1;2024-05-15 09:57:02
determine_continuanceSilo8;2024-05-15 10:25:44
determine_continuanceSilo7;2024-05-15 14:27:22
determine_continuanceSilo16;2024-05-15 14:38:47
determine_continuanceSilo7;2024-05-15 15:15:33
determine_continuanceSilo1;2024-05-15 16:14:41
determine_continuanceSilo7;2024-05-15 17:15:41
determine_continuanceSilo7;2024-05-16 09:29:04
determine_continuanceSilo1;2024-05-16 09:58:51
determine_continuanceSilo6;2024-05-16 14:54:34
determine_continuanceSilo7;2024-05-16 15:26:54
determine_continuanceSilo8;2024-05-16 16:57:22
determine_continuanceSilo15;2024-05-17 08:48:28
determine_continuanceSilo1;2024-05-17 10:09:34
determine_continuanceSilo8;2024-05-17 11:54:11
determine_continuanceSilo10;2024-05-17 11:56:06
determine_continuanceSilo16;2024-05-17 17:08:52
determine_continuanceSilo2;2024-05-20 09:31:10
determine_continuanceSilo15;2024-05-20 10:03:30
determine_continuanceSilo3;2024-05-20 15:00:16
determine_continuanceSilo16;2024-05-20 15:43:30
determine_continuanceSilo3;2024-05-20 16:08:12
determine_continuanceSilo7;2024-05-20 17:31:17
determine_continuanceSilo16;2024-05-20 18:13:29
determine_continuanceSilo7;2024-05-20 18:20:45
determine_continuanceSilo3;2024-05-21 09:14:52
determine_continuanceSilo3;2024-05-21 09:34:13
determine_continuanceSilo16;2024-05-21 09:51:00
determine_continuanceSilo3;2024-05-21 16:06:52
determine_continuanceSilo1;2024-05-21 17:07:58
determine_continuanceSilo16;2024-05-21 17:48:32
determine_continuanceSilo10;2024-05-21 18:59:46
determine_continuanceSilo10;2024-05-22 08:56:02
determine_continuanceSilo7;2024-05-22 09:49:06
determine_continuanceSilo3;2024-05-22 13:44:05
determine_continuanceSilo7;2024-05-22 14:03:25
determine_continuanceSilo15;2024-05-22 15:59:39
determine_continuanceSilo1;2024-05-22 17:56:16
determine_continuanceSilo1;2024-05-22 19:18:26
determine_continuanceSilo2;2024-05-23 10:00:07
determine_continuanceSilo2;2024-05-23 11:42:10
determine_continuanceSilo2;2024-05-23 14:56:48
determine_continuanceSilo6;2024-05-23 16:33:54
determine_continuanceSilo10;2024-05-23 17:41:21
determine_continuanceSilo7;2024-05-23 18:07:20
determine_continuanceSilo15;2024-05-24 11:39:47
determine_continuanceSilo10;2024-05-27 07:41:44
determine_continuanceSilo10;2024-05-27 10:53:26
determine_continuanceSilo2;2024-05-27 11:25:55
determine_continuanceSilo16;2024-05-27 11:52:47
determine_continuanceSilo2;2024-05-27 13:55:44
determine_continuanceSilo8;2024-05-27 15:06:55
determine_continuanceSilo2;2024-05-28 07:23:26
determine_continuanceSilo6;2024-05-28 08:21:56
determine_continuanceSilo10;2024-05-28 09:37:45
determine_continuanceSilo8;2024-05-28 09:41:11
determine_continuanceSilo1;2024-05-28 09:41:19
determine_continuanceSilo2;2024-05-28 11:44:55
determine_continuanceSilo1;2024-05-28 12:08:51
determine_continuanceSilo10;2024-05-28 14:12:02
determine_continuanceSilo1;2024-05-28 14:53:41
determine_continuanceSilo10;2024-05-28 14:56:41
determine_continuanceSilo2;2024-05-28 15:32:29
