ocel_id;ocel_time
trs_entrytr23;2024-05-01 15:22:37
trs_entrytr3;2024-05-01 15:22:45
trs_entrytr17;2024-05-01 15:26:00
trs_entrytr25;2024-05-01 15:52:37
trs_entrytr40;2024-05-01 16:36:11
trs_entrytr45;2024-05-01 16:37:33
trs_entrytr2;2024-05-01 17:21:08
trs_entrytr6;2024-05-01 17:21:33
trs_entrytr42;2024-05-01 17:58:43
trs_entrytr30;2024-05-01 18:16:49
trs_entrytr48;2024-05-01 18:24:09
trs_entrytr26;2024-05-02 07:26:50
trs_entrytr38;2024-05-02 07:27:36
trs_entrytr20;2024-05-02 07:42:35
trs_entrytr1;2024-05-02 07:47:41
trs_entrytr24;2024-05-02 08:37:26
trs_entrytr10;2024-05-02 08:40:59
trs_entrytr41;2024-05-02 09:24:14
trs_entrytr12;2024-05-02 09:50:07
trs_entrytr27;2024-05-02 10:04:08
trs_entrytr33;2024-05-02 10:14:00
trs_entrytr7;2024-05-02 10:33:03
trs_entrytr50;2024-05-02 11:02:51
trs_entrytr37;2024-05-02 11:10:55
trs_entrytr16;2024-05-02 11:17:08
trs_entrytr39;2024-05-02 11:25:15
trs_entrytr43;2024-05-02 11:26:09
trs_entrytr49;2024-05-02 11:26:58
trs_entrytr29;2024-05-02 11:44:46
trs_entrytr13;2024-05-02 11:56:49
trs_entrytr28;2024-05-02 11:59:44
trs_entrytr8;2024-05-02 12:12:56
trs_entrytr31;2024-05-02 12:23:32
trs_entrytr46;2024-05-02 13:33:27
trs_entrytr9;2024-05-02 13:39:17
trs_entrytr32;2024-05-02 13:41:55
trs_entrytr36;2024-05-02 13:49:56
trs_entrytr35;2024-05-02 14:03:53
trs_entrytr5;2024-05-02 14:52:10
trs_entrytr44;2024-05-02 14:54:50
trs_entrytr4;2024-05-02 14:58:11
trs_entrytr15;2024-05-02 15:05:18
trs_entrytr18;2024-05-02 15:26:41
trs_entrytr19;2024-05-02 15:59:02
trs_entrytr24;2024-05-03 08:17:54
trs_entrytr22;2024-05-03 08:36:50
trs_entrytr11;2024-05-03 09:36:51
trs_entrytr34;2024-05-03 10:22:47
trs_entrytr14;2024-05-03 10:36:45
trs_entrytr21;2024-05-03 11:37:36
trs_entrytr42;2024-05-03 11:55:56
trs_entrytr45;2024-05-03 12:07:06
trs_entrytr43;2024-05-03 12:21:04
trs_entrytr47;2024-05-03 13:50:08
trs_entrytr33;2024-05-03 14:51:18
trs_entrytr48;2024-05-03 15:33:34
trs_entrytr30;2024-05-03 17:25:44
trs_entrytr19;2024-05-06 08:30:49
trs_entrytr18;2024-05-06 09:03:11
trs_entrytr3;2024-05-06 09:43:05
trs_entrytr10;2024-05-06 10:03:09
trs_entrytr11;2024-05-06 10:18:42
trs_entrytr7;2024-05-06 10:28:29
trs_entrytr2;2024-05-06 10:38:02
trs_entrytr12;2024-05-06 12:22:08
trs_entrytr24;2024-05-06 13:42:37
trs_entrytr36;2024-05-06 13:45:55
trs_entrytr37;2024-05-07 08:00:18
trs_entrytr46;2024-05-07 08:32:12
trs_entrytr48;2024-05-07 10:43:06
trs_entrytr9;2024-05-07 11:21:58
trs_entrytr50;2024-05-07 11:35:39
trs_entrytr40;2024-05-07 11:56:43
trs_entrytr29;2024-05-07 11:58:11
trs_entrytr16;2024-05-07 13:56:03
trs_entrytr5;2024-05-07 14:07:22
trs_entrytr30;2024-05-07 14:24:58
trs_entrytr6;2024-05-07 16:05:43
trs_entrytr43;2024-05-07 16:19:00
trs_entrytr24;2024-05-07 16:25:41
trs_entrytr3;2024-05-07 16:52:33
trs_entrytr27;2024-05-07 17:08:27
trs_entrytr25;2024-05-07 18:24:16
trs_entrytr45;2024-05-08 07:25:17
trs_entrytr23;2024-05-08 07:37:39
trs_entrytr32;2024-05-08 07:56:10
trs_entrytr28;2024-05-08 08:10:58
trs_entrytr41;2024-05-08 08:57:21
trs_entrytr39;2024-05-08 10:15:22
trs_entrytr44;2024-05-08 11:27:42
trs_entrytr7;2024-05-08 11:49:28
trs_entrytr31;2024-05-08 11:50:16
trs_entrytr50;2024-05-08 11:59:21
trs_entrytr49;2024-05-08 13:58:48
trs_entrytr5;2024-05-08 14:50:05
trs_entrytr19;2024-05-08 15:03:45
trs_entrytr16;2024-05-08 15:39:33
trs_entrytr25;2024-05-08 18:25:21
trs_entrytr35;2024-05-09 07:54:38
trs_entrytr17;2024-05-09 08:07:00
trs_entrytr32;2024-05-09 08:13:06
trs_entrytr34;2024-05-09 08:47:47
trs_entrytr33;2024-05-09 08:49:39
trs_entrytr2;2024-05-09 09:01:04
trs_entrytr12;2024-05-09 10:04:49
trs_entrytr47;2024-05-09 10:06:32
trs_entrytr26;2024-05-09 11:32:37
trs_entrytr23;2024-05-09 11:58:39
trs_entrytr27;2024-05-09 12:21:32
trs_entrytr4;2024-05-09 12:26:36
trs_entrytr30;2024-05-09 12:36:33
trs_entrytr46;2024-05-09 14:43:23
trs_entrytr39;2024-05-09 14:52:21
trs_entrytr45;2024-05-09 15:31:21
trs_entrytr21;2024-05-09 15:31:39
trs_entrytr31;2024-05-09 15:51:27
trs_entrytr41;2024-05-09 16:29:47
trs_entrytr6;2024-05-09 16:29:50
trs_entrytr13;2024-05-09 16:32:56
trs_entrytr15;2024-05-09 17:14:10
trs_entrytr11;2024-05-09 17:15:18
trs_entrytr42;2024-05-10 07:55:42
trs_entrytr1;2024-05-10 09:58:25
trs_entrytr25;2024-05-10 10:01:06
trs_entrytr40;2024-05-10 10:24:12
trs_entrytr2;2024-05-10 11:15:58
trs_entrytr29;2024-05-10 11:27:26
trs_entrytr22;2024-05-10 11:39:23
trs_entrytr20;2024-05-10 13:47:20
trs_entrytr38;2024-05-10 14:03:49
trs_entrytr47;2024-05-10 14:11:55
trs_entrytr5;2024-05-10 14:30:37
trs_entrytr14;2024-05-10 15:18:31
trs_entrytr43;2024-05-10 15:30:53
trs_entrytr49;2024-05-10 16:01:21
trs_entrytr18;2024-05-10 16:32:49
trs_entrytr4;2024-05-10 16:53:22
trs_entrytr7;2024-05-10 17:40:28
trs_entrytr41;2024-05-13 08:05:49
trs_entrytr24;2024-05-13 08:19:05
trs_entrytr32;2024-05-13 08:35:08
trs_entrytr37;2024-05-13 09:50:15
trs_entrytr8;2024-05-13 10:05:48
trs_entrytr3;2024-05-13 10:15:11
trs_entrytr45;2024-05-13 10:16:53
trs_entrytr48;2024-05-13 10:42:49
trs_entrytr40;2024-05-13 11:27:30
trs_entrytr25;2024-05-13 15:19:47
trs_entrytr9;2024-05-13 15:24:29
trs_entrytr13;2024-05-13 16:06:44
trs_entrytr1;2024-05-13 16:28:24
trs_entrytr2;2024-05-13 17:04:44
trs_entrytr20;2024-05-13 17:52:53
trs_entrytr30;2024-05-13 18:28:17
trs_entrytr36;2024-05-14 09:50:37
trs_entrytr24;2024-05-14 09:57:35
trs_entrytr10;2024-05-14 10:35:21
trs_entrytr14;2024-05-14 11:09:12
trs_entrytr29;2024-05-14 11:23:34
trs_entrytr17;2024-05-14 11:25:39
trs_entrytr34;2024-05-14 11:58:35
trs_entrytr26;2024-05-14 12:30:14
trs_entrytr48;2024-05-14 13:50:52
trs_entrytr44;2024-05-14 13:52:11
trs_entrytr41;2024-05-14 14:21:20
trs_entrytr15;2024-05-14 14:58:42
trs_entrytr6;2024-05-14 15:06:14
trs_entrytr23;2024-05-14 15:10:29
trs_entrytr9;2024-05-14 15:24:10
trs_entrytr22;2024-05-14 15:42:33
trs_entrytr40;2024-05-14 16:09:52
trs_entrytr37;2024-05-14 16:16:46
trs_entrytr1;2024-05-14 16:38:31
trs_entrytr3;2024-05-14 16:42:21
trs_entrytr7;2024-05-14 17:03:24
trs_entrytr4;2024-05-15 07:51:57
trs_entrytr45;2024-05-15 09:33:26
trs_entrytr43;2024-05-15 09:40:23
trs_entrytr12;2024-05-15 10:20:48
trs_entrytr30;2024-05-15 10:32:48
trs_entrytr28;2024-05-15 10:40:37
trs_entrytr16;2024-05-15 10:59:39
trs_entrytr21;2024-05-15 11:28:00
trs_entrytr32;2024-05-15 11:39:36
trs_entrytr2;2024-05-15 12:04:41
trs_entrytr8;2024-05-15 13:19:13
trs_entrytr46;2024-05-15 13:26:50
trs_entrytr13;2024-05-15 13:33:39
trs_entrytr11;2024-05-15 14:05:39
trs_entrytr34;2024-05-15 15:15:51
trs_entrytr48;2024-05-15 15:35:34
trs_entrytr50;2024-05-15 15:57:41
trs_entrytr31;2024-05-15 16:09:31
trs_entrytr35;2024-05-15 16:50:06
trs_entrytr4;2024-05-15 17:23:18
trs_entrytr6;2024-05-16 07:53:35
trs_entrytr19;2024-05-16 08:17:05
trs_entrytr49;2024-05-16 10:47:30
trs_entrytr24;2024-05-16 10:51:56
trs_entrytr41;2024-05-16 11:00:24
trs_entrytr42;2024-05-16 11:11:41
trs_entrytr7;2024-05-16 13:30:18
trs_entrytr46;2024-05-16 13:51:42
trs_entrytr1;2024-05-16 13:55:43
trs_entrytr43;2024-05-16 14:59:17
trs_entrytr45;2024-05-16 15:31:26
trs_entrytr33;2024-05-16 15:45:59
trs_entrytr37;2024-05-16 17:42:47
trs_entrytr18;2024-05-16 17:57:43
trs_entrytr50;2024-05-16 18:13:39
trs_entrytr44;2024-05-17 07:46:05
trs_entrytr6;2024-05-17 09:20:09
trs_entrytr32;2024-05-17 09:41:43
trs_entrytr10;2024-05-17 10:23:52
trs_entrytr4;2024-05-17 10:56:39
trs_entrytr16;2024-05-17 11:33:33
trs_entrytr3;2024-05-17 11:47:52
trs_entrytr26;2024-05-17 12:01:32
trs_entrytr34;2024-05-17 13:58:24
trs_entrytr38;2024-05-17 14:21:44
trs_entrytr48;2024-05-17 14:41:42
trs_entrytr21;2024-05-17 15:24:27
trs_entrytr15;2024-05-17 17:09:28
trs_entrytr36;2024-05-17 17:27:12
trs_entrytr45;2024-05-17 17:31:02
trs_entrytr5;2024-05-20 07:50:53
trs_entrytr41;2024-05-20 08:14:06
trs_entrytr13;2024-05-20 09:37:47
trs_entrytr39;2024-05-20 10:10:47
trs_entrytr12;2024-05-20 10:38:05
trs_entrytr47;2024-05-20 11:15:46
trs_entrytr22;2024-05-20 11:26:11
trs_entrytr37;2024-05-20 11:36:48
trs_entrytr43;2024-05-20 11:37:31
trs_entrytr30;2024-05-20 12:03:45
trs_entrytr10;2024-05-20 12:22:23
trs_entrytr19;2024-05-20 12:41:20
trs_entrytr1;2024-05-20 13:53:56
trs_entrytr17;2024-05-20 15:18:43
trs_entrytr44;2024-05-20 15:22:09
trs_entrytr28;2024-05-20 15:22:18
trs_entrytr27;2024-05-20 15:25:29
trs_entrytr23;2024-05-20 16:23:14
trs_entrytr14;2024-05-20 16:55:29
trs_entrytr20;2024-05-21 08:04:01
trs_entrytr49;2024-05-21 09:29:00
trs_entrytr18;2024-05-21 09:59:10
trs_entrytr32;2024-05-21 10:17:00
trs_entrytr29;2024-05-21 10:43:40
trs_entrytr25;2024-05-21 11:53:20
trs_entrytr38;2024-05-21 12:02:16
trs_entrytr13;2024-05-21 13:59:40
trs_entrytr45;2024-05-21 14:00:51
trs_entrytr40;2024-05-21 14:17:40
trs_entrytr22;2024-05-21 14:30:12
trs_entrytr1;2024-05-21 15:30:32
trs_entrytr4;2024-05-21 16:06:58
trs_entrytr15;2024-05-21 16:19:15
trs_entrytr9;2024-05-21 16:39:47
trs_entrytr2;2024-05-21 17:25:25
trs_entrytr34;2024-05-21 17:25:28
trs_entrytr36;2024-05-22 08:18:25
trs_entrytr3;2024-05-22 08:52:21
trs_entrytr16;2024-05-22 10:08:38
trs_entrytr41;2024-05-22 10:21:15
trs_entrytr35;2024-05-22 10:26:52
trs_entrytr7;2024-05-22 11:10:36
