ocel_id;ocel_time
eval_trs_exittr21_Pcp6;2024-05-03 13:34:28
eval_trs_exittr35_Pcp6;2024-05-03 16:59:33
eval_trs_exittr4_Pcp9;2024-05-03 17:43:35
eval_trs_exittr8_Pcp9;2024-05-06 09:48:13
eval_trs_exittr20_Pcp6;2024-05-06 09:49:45
eval_trs_exittr10_Pcp6;2024-05-06 11:18:21
eval_trs_exittr14_Pcp9;2024-05-06 13:19:42
eval_trs_exittr42_Pcp6;2024-05-06 14:30:32
eval_trs_exittr23_Pcp6;2024-05-06 14:58:31
eval_trs_exittr31_Pcp9;2024-05-06 15:28:56
eval_trs_exittr38_Pcp9;2024-05-06 15:56:05
eval_trs_exittr13_Pcp6;2024-05-06 17:53:14
eval_trs_exittr17_Pcp9;2024-05-06 18:17:52
eval_trs_exittr12_Pcp6;2024-05-07 07:36:33
eval_trs_exittr16_Pcp6;2024-05-07 08:50:36
eval_trs_exittr41_Pcp9;2024-05-07 10:47:27
eval_trs_exittr15_Pcp9;2024-05-07 11:55:09
eval_trs_exittr22_Pcp9;2024-05-07 14:41:51
eval_trs_exittr5_Pcp7;2024-05-07 16:06:51
eval_trs_exittr47_Pcp6;2024-05-07 16:37:57
eval_trs_exittr36_Pcp1;2024-05-08 07:15:27
eval_trs_exittr26_Pcp9;2024-05-08 07:41:15
eval_trs_exittr48_Pcp2;2024-05-08 08:34:23
eval_trs_exittr33_Pcp9;2024-05-08 11:24:39
eval_trs_exittr44_Pcp9;2024-05-08 12:05:31
eval_trs_exittr11_Pcp6;2024-05-08 12:19:04
eval_trs_exittr19_Pcp1;2024-05-08 14:50:43
eval_trs_exittr14_Pcp3;2024-05-08 15:53:36
eval_trs_exittr2_Pcp4;2024-05-09 07:07:18
eval_trs_exittr49_Pcp6;2024-05-09 07:11:02
eval_trs_exittr21_Pcp4;2024-05-09 08:06:16
eval_trs_exittr28_Pcp4;2024-05-09 08:06:29
eval_trs_exittr34_Pcp3;2024-05-09 08:32:55
eval_trs_exittr35_Pcp1;2024-05-09 13:45:48
eval_trs_exittr8_Pcp5;2024-05-09 14:58:42
eval_trs_exittr45_Pcp8;2024-05-09 15:35:09
eval_trs_exittr3_Pcp9;2024-05-09 17:02:19
eval_trs_exittr24_Pcp7;2024-05-09 17:04:28
eval_trs_exittr7_Pcp7;2024-05-09 17:57:53
eval_trs_exittr10_Pcp7;2024-05-10 10:21:07
eval_trs_exittr23_Pcp2;2024-05-10 16:25:04
eval_trs_exittr47_Pcp7;2024-05-10 17:24:32
eval_trs_exittr29_Pcp5;2024-05-13 07:51:53
eval_trs_exittr41_Pcp8;2024-05-13 11:11:45
eval_trs_exittr20_Pcp10;2024-05-13 13:53:40
eval_trs_exittr30_Pcp4;2024-05-13 13:55:22
eval_trs_exittr17_Pcp6;2024-05-13 14:17:43
eval_trs_exittr50_Pcp10;2024-05-13 17:04:28
eval_trs_exittr38_Pcp6;2024-05-13 17:06:53
eval_trs_exittr33_Pcp6;2024-05-14 07:03:03
eval_trs_exittr44_Pcp5;2024-05-14 09:34:36
eval_trs_exittr14_Pcp7;2024-05-14 11:21:05
eval_trs_exittr34_Pcp8;2024-05-14 11:47:45
eval_trs_exittr27_Pcp2;2024-05-14 11:56:09
eval_trs_exittr16_Pcp6;2024-05-14 13:46:46
eval_trs_exittr35_Pcp7;2024-05-14 15:51:06
eval_trs_exittr11_Pcp3;2024-05-15 09:05:16
eval_trs_exittr36_Pcp6;2024-05-15 09:35:58
eval_trs_exittr24_Pcp5;2024-05-15 14:23:58
eval_trs_exittr39_Pcp4;2024-05-15 15:00:44
eval_trs_exittr6_Pcp4;2024-05-15 16:06:22
eval_trs_exittr46_Pcp6;2024-05-15 16:49:01
eval_trs_exittr2_Pcp5;2024-05-15 18:36:05
eval_trs_exittr23_Pcp10;2024-05-15 18:56:15
eval_trs_exittr21_Pcp10;2024-05-16 08:06:15
eval_trs_exittr47_Pcp1;2024-05-16 10:26:36
eval_trs_exittr17_Pcp2;2024-05-16 11:18:21
eval_trs_exittr5_Pcp2;2024-05-16 14:14:00
eval_trs_exittr7_Pcp5;2024-05-16 16:27:58
eval_trs_exittr26_Pcp6;2024-05-17 07:15:23
eval_trs_exittr19_Pcp4;2024-05-17 07:55:26
eval_trs_exittr10_Pcp7;2024-05-17 08:34:45
eval_trs_exittr50_Pcp7;2024-05-17 11:59:07
eval_trs_exittr27_Pcp1;2024-05-17 13:50:21
eval_trs_exittr32_Pcp3;2024-05-17 13:58:58
eval_trs_exittr4_Pcp7;2024-05-20 07:39:54
eval_trs_exittr38_Pcp1;2024-05-20 08:06:57
eval_trs_exittr45_Pcp7;2024-05-20 16:53:11
