ocel_id;ocel_time
fail_weightr30;2024-05-02 09:03:26
fail_weightr2;2024-05-02 09:15:39
fail_weightr1;2024-05-02 10:09:09
fail_weightr34;2024-05-02 10:19:35
fail_weightr37;2024-05-02 10:43:59
fail_weightr6;2024-05-02 10:48:38
fail_weightr42;2024-05-02 13:44:17
fail_weightr48;2024-05-02 13:55:52
fail_weightr21;2024-05-02 14:54:32
fail_weightr19;2024-05-02 15:50:01
fail_weightr16;2024-05-02 15:53:47
fail_weightr24;2024-05-02 16:56:49
fail_weightr15;2024-05-02 19:38:47
fail_weightr7;2024-05-03 08:54:44
fail_weightr20;2024-05-03 09:15:04
fail_weightr32;2024-05-03 09:21:12
fail_weightr3;2024-05-03 10:02:41
fail_weightr47;2024-05-03 10:54:48
fail_weightr43;2024-05-03 14:52:51
fail_weightr46;2024-05-03 15:03:51
fail_weightr19;2024-05-06 10:03:21
fail_weightr6;2024-05-06 10:27:59
fail_weightr1;2024-05-06 12:14:31
fail_weightr34;2024-05-06 14:03:51
fail_weightr37;2024-05-06 14:34:09
fail_weightr24;2024-05-06 15:34:13
fail_weightr42;2024-05-06 15:44:06
fail_weightr20;2024-05-06 16:40:13
fail_weightr9;2024-05-07 13:59:50
fail_weightr25;2024-05-07 15:52:10
fail_weightr38;2024-05-07 16:11:58
fail_weightr20;2024-05-07 17:02:43
fail_weightr13;2024-05-07 17:09:04
fail_weightr34;2024-05-07 17:20:39
fail_weightr19;2024-05-07 19:21:17
fail_weightr44;2024-05-08 09:39:41
fail_weightr42;2024-05-08 10:39:23
fail_weightr40;2024-05-08 10:52:44
fail_weightr1;2024-05-08 10:59:21
fail_weightr31;2024-05-08 12:31:59
fail_weightr35;2024-05-08 14:04:30
fail_weightr33;2024-05-09 08:58:46
fail_weightr9;2024-05-09 09:16:52
fail_weightr45;2024-05-09 10:02:06
fail_weightr34;2024-05-09 10:20:54
fail_weightr30;2024-05-09 10:22:27
fail_weightr27;2024-05-09 10:53:43
fail_weightr16;2024-05-09 12:27:23
fail_weightr24;2024-05-09 14:02:31
fail_weightr13;2024-05-09 14:28:01
fail_weightr21;2024-05-09 14:58:02
fail_weightr46;2024-05-09 15:01:12
fail_weightr1;2024-05-09 15:33:50
fail_weightr35;2024-05-09 17:32:50
fail_weightr28;2024-05-09 17:33:19
fail_weightr50;2024-05-09 18:08:10
fail_weightr42;2024-05-10 09:23:46
fail_weightr38;2024-05-10 09:30:26
fail_weightr40;2024-05-10 09:57:07
fail_weightr34;2024-05-10 12:43:33
fail_weightr7;2024-05-10 13:54:11
fail_weightr21;2024-05-10 16:31:59
fail_weightr47;2024-05-13 07:56:11
fail_weightr24;2024-05-13 08:10:55
fail_weightr16;2024-05-13 08:24:08
fail_weightr9;2024-05-13 08:57:29
fail_weightr8;2024-05-13 09:56:50
