ocel_id;ocel_time
input_tally_sheettr40;2024-05-03 12:34:15
input_tally_sheettr6;2024-05-03 17:07:16
input_tally_sheettr39;2024-05-03 17:08:59
input_tally_sheettr9;2024-05-06 10:11:08
input_tally_sheettr28;2024-05-06 10:17:20
input_tally_sheettr29;2024-05-06 10:38:24
input_tally_sheettr16;2024-05-06 11:12:30
input_tally_sheettr5;2024-05-06 11:51:04
input_tally_sheettr50;2024-05-06 11:57:42
input_tally_sheettr27;2024-05-06 13:28:23
input_tally_sheettr17;2024-05-06 14:33:02
input_tally_sheettr25;2024-05-06 15:45:16
input_tally_sheettr32;2024-05-06 15:51:03
input_tally_sheettr49;2024-05-06 17:39:37
input_tally_sheettr23;2024-05-06 18:10:50
input_tally_sheettr35;2024-05-06 18:16:04
input_tally_sheettr31;2024-05-07 10:12:12
input_tally_sheettr41;2024-05-07 10:12:52
input_tally_sheettr44;2024-05-07 10:45:08
input_tally_sheettr47;2024-05-07 12:01:10
input_tally_sheettr15;2024-05-07 12:59:55
input_tally_sheettr34;2024-05-07 13:19:17
input_tally_sheettr26;2024-05-07 14:04:37
input_tally_sheettr33;2024-05-07 15:19:32
input_tally_sheettr13;2024-05-07 16:03:25
input_tally_sheettr12;2024-05-07 17:46:21
input_tally_sheettr22;2024-05-08 09:26:18
input_tally_sheettr18;2024-05-08 09:45:44
input_tally_sheettr4;2024-05-08 09:52:45
input_tally_sheettr11;2024-05-08 10:25:49
input_tally_sheettr21;2024-05-08 11:32:51
input_tally_sheettr14;2024-05-08 11:33:37
input_tally_sheettr42;2024-05-08 11:59:39
input_tally_sheettr29;2024-05-08 17:00:11
input_tally_sheettr38;2024-05-08 18:09:37
input_tally_sheettr1;2024-05-08 22:15:27
input_tally_sheettr8;2024-05-09 10:29:43
input_tally_sheettr48;2024-05-09 10:47:30
input_tally_sheettr20;2024-05-09 10:57:48
input_tally_sheettr24;2024-05-09 11:26:02
input_tally_sheettr9;2024-05-09 11:27:37
input_tally_sheettr37;2024-05-09 14:31:38
input_tally_sheettr3;2024-05-09 14:43:11
input_tally_sheettr36;2024-05-09 15:21:18
input_tally_sheettr10;2024-05-09 22:45:47
input_tally_sheettr17;2024-05-10 16:46:41
input_tally_sheettr44;2024-05-10 16:55:51
input_tally_sheettr6;2024-05-13 11:00:44
input_tally_sheettr21;2024-05-13 11:11:13
input_tally_sheettr50;2024-05-13 11:32:13
input_tally_sheettr26;2024-05-13 11:53:28
input_tally_sheettr34;2024-05-13 12:01:08
input_tally_sheettr15;2024-05-13 13:44:15
input_tally_sheettr11;2024-05-13 15:07:22
input_tally_sheettr12;2024-05-13 16:36:58
input_tally_sheettr16;2024-05-13 16:44:07
input_tally_sheettr42;2024-05-13 17:45:52
input_tally_sheettr43;2024-05-14 09:32:43
input_tally_sheettr31;2024-05-14 11:07:20
input_tally_sheettr28;2024-05-14 12:30:44
input_tally_sheettr46;2024-05-14 13:17:58
input_tally_sheettr35;2024-05-14 15:34:36
input_tally_sheettr49;2024-05-14 15:57:58
input_tally_sheettr19;2024-05-14 17:58:02
input_tally_sheettr33;2024-05-15 11:02:59
input_tally_sheettr18;2024-05-15 11:10:58
input_tally_sheettr27;2024-05-15 14:42:11
input_tally_sheettr5;2024-05-15 15:55:31
input_tally_sheettr10;2024-05-15 16:50:51
input_tally_sheettr38;2024-05-15 17:00:25
input_tally_sheettr47;2024-05-15 22:05:44
input_tally_sheettr39;2024-05-16 09:23:20
input_tally_sheettr36;2024-05-16 09:24:11
input_tally_sheettr26;2024-05-16 09:42:49
input_tally_sheettr15;2024-05-16 15:00:45
input_tally_sheettr40;2024-05-16 15:36:13
input_tally_sheettr17;2024-05-16 15:46:48
input_tally_sheettr30;2024-05-16 15:53:09
input_tally_sheettr20;2024-05-16 16:34:56
input_tally_sheettr22;2024-05-16 21:52:19
input_tally_sheettr14;2024-05-17 10:26:37
input_tally_sheettr29;2024-05-17 12:08:07
input_tally_sheettr35;2024-05-17 14:05:34
input_tally_sheettr9;2024-05-17 15:05:45
input_tally_sheettr28;2024-05-17 15:28:42
input_tally_sheettr23;2024-05-17 15:46:18
input_tally_sheettr2;2024-05-20 10:58:36
input_tally_sheettr7;2024-05-20 11:40:37
input_tally_sheettr25;2024-05-20 11:56:22
input_tally_sheettr50;2024-05-20 16:27:41
input_tally_sheettr24;2024-05-20 16:27:45
input_tally_sheettr6;2024-05-21 09:46:13
input_tally_sheettr21;2024-05-21 11:43:10
input_tally_sheettr33;2024-05-21 14:29:06
input_tally_sheettr26;2024-05-21 14:49:37
input_tally_sheettr10;2024-05-21 17:56:46
input_tally_sheettr48;2024-05-21 18:08:48
input_tally_sheettr12;2024-05-21 18:23:33
input_tally_sheettr46;2024-05-21 20:20:19
input_tally_sheettr47;2024-05-22 09:54:24
input_tally_sheettr28;2024-05-22 10:57:42
input_tally_sheettr8;2024-05-22 11:10:10
input_tally_sheettr11;2024-05-22 14:37:09
input_tally_sheettr43;2024-05-22 15:19:08
input_tally_sheettr31;2024-05-22 16:02:32
input_tally_sheettr42;2024-05-22 16:05:22
input_tally_sheettr38;2024-05-23 09:32:14
input_tally_sheettr25;2024-05-23 11:07:06
input_tally_sheettr13;2024-05-23 11:10:29
input_tally_sheettr15;2024-05-23 13:41:53
input_tally_sheettr17;2024-05-23 14:05:48
input_tally_sheettr39;2024-05-23 17:10:08
input_tally_sheettr4;2024-05-24 09:17:30
input_tally_sheettr32;2024-05-24 10:51:34
input_tally_sheettr44;2024-05-24 10:53:20
input_tally_sheettr34;2024-05-24 10:55:11
input_tally_sheettr30;2024-05-24 11:55:50
input_tally_sheettr27;2024-05-24 16:05:36
input_tally_sheettr23;2024-05-27 08:02:16
input_tally_sheettr14;2024-05-27 11:36:28
input_tally_sheettr18;2024-05-27 15:06:39
input_tally_sheettr28;2024-05-27 15:12:50
input_tally_sheettr36;2024-05-27 15:35:08
input_tally_sheettr49;2024-05-27 15:59:37
input_tally_sheettr10;2024-05-28 16:04:33
input_tally_sheettr50;2024-05-28 16:15:18
input_tally_sheettr45;2024-05-29 09:43:56
input_tally_sheettr47;2024-05-29 10:05:14
input_tally_sheettr12;2024-05-29 11:39:59
input_tally_sheettr42;2024-05-29 14:48:38
input_tally_sheettr33;2024-05-29 16:02:11
input_tally_sheettr8;2024-05-29 18:09:17
input_tally_sheettr13;2024-05-29 18:33:50
input_tally_sheettr25;2024-05-29 18:38:52
input_tally_sheettr26;2024-05-29 20:06:24
input_tally_sheettr9;2024-05-29 20:19:43
input_tally_sheettr21;2024-05-29 20:23:41
input_tally_sheettr46;2024-05-30 08:04:16
input_tally_sheettr32;2024-05-30 09:24:19
input_tally_sheettr24;2024-05-30 09:40:07
input_tally_sheettr37;2024-05-30 10:05:30
input_tally_sheettr27;2024-05-30 14:12:16
input_tally_sheettr11;2024-05-30 14:22:37
input_tally_sheettr18;2024-05-30 14:32:23
input_tally_sheettr48;2024-05-30 15:29:09
input_tally_sheettr34;2024-05-30 15:55:26
input_tally_sheettr39;2024-05-30 17:10:52
input_tally_sheettr44;2024-05-31 07:58:13
input_tally_sheettr23;2024-05-31 12:13:36
input_tally_sheettr1;2024-05-31 14:10:45
input_tally_sheettr28;2024-05-31 15:39:11
input_tally_sheettr6;2024-05-31 15:54:23
input_tally_sheettr3;2024-05-31 17:28:45
input_tally_sheettr45;2024-06-03 16:07:03
input_tally_sheettr5;2024-06-03 17:24:52
input_tally_sheettr30;2024-06-04 08:37:36
input_tally_sheettr33;2024-06-04 09:21:22
input_tally_sheettr27;2024-06-04 15:58:47
input_tally_sheettr1;2024-06-04 18:20:44
input_tally_sheettr26;2024-06-04 18:41:13
input_tally_sheettr41;2024-06-05 09:44:14
input_tally_sheettr35;2024-06-05 10:41:20
input_tally_sheettr14;2024-06-05 11:29:35
input_tally_sheettr23;2024-06-05 11:53:00
input_tally_sheettr15;2024-06-05 14:52:13
input_tally_sheettr11;2024-06-05 14:56:31
input_tally_sheettr16;2024-06-05 15:00:58
