ocel_event_id;ocel_IoT_object_id;ocel_qualifier
trs_entrytr30;rfidWVBFTX;RFID tag read at entrance
trs_entrytr45;rfidQDDPEL;RFID tag read at entrance
weigh_empty_trucktr30;WS16;Weight sensor for empty truck weighing
trs_entrytr19;rfidSHHSUU;RFID tag read at entrance
weigh_empty_trucktr19;WS13;Weight sensor for empty truck weighing
trs_entrytr34;rfidPEHJWR;RFID tag read at entrance
check_abnormalitytr19;rfidSHHSUU;RFID tag read at empty truck weighing
trs_entrytr35;rfidPBXSPB;RFID tag read at entrance
trs_entrytr4;rfidETCTYM;RFID tag read at entrance
weigh_empty_trucktr34;WS09;Weight sensor for empty truck weighing
weigh_empty_trucktr45;WS07;Weight sensor for empty truck weighing
check_abnormalitytr30;rfidWVBFTX;RFID tag read at empty truck weighing
trs_entrytr40;rfidUTCXLY;RFID tag read at entrance
trs_entrytr1;rfidGBSJOX;RFID tag read at entrance
trs_entrytr21;rfidRJSTWE;RFID tag read at entrance
weigh_empty_trucktr40;WS03;Weight sensor for empty truck weighing
trs_entrytr26;rfidLVVLVI;RFID tag read at entrance
weigh_empty_trucktr21;WS18;Weight sensor for empty truck weighing
trs_entrytr6;rfidVIJCAW;RFID tag read at entrance
weigh_empty_trucktr4;WS11;Weight sensor for empty truck weighing
weigh_empty_trucktr35;WS20;Weight sensor for empty truck weighing
trs_entrytr16;rfidTVEOGG;RFID tag read at entrance
check_abnormalitytr4;rfidETCTYM;RFID tag read at empty truck weighing
check_abnormalitytr45;rfidQDDPEL;RFID tag read at empty truck weighing
check_abnormalitytr35;rfidPBXSPB;RFID tag read at empty truck weighing
weigh_empty_trucktr1;WS06;Weight sensor for empty truck weighing
check_abnormalitytr21;rfidRJSTWE;RFID tag read at empty truck weighing
trs_entrytr8;rfidEMPMPR;RFID tag read at entrance
weigh_empty_trucktr16;WS14;Weight sensor for empty truck weighing
check_abnormalitytr1;rfidGBSJOX;RFID tag read at empty truck weighing
weigh_empty_trucktr26;WS19;Weight sensor for empty truck weighing
check_abnormalitytr26;rfidLVVLVI;RFID tag read at empty truck weighing
check_abnormalitytr40;rfidUTCXLY;RFID tag read at empty truck weighing
check_abnormalitytr34;rfidPEHJWR;RFID tag read at empty truck weighing
weigh_empty_trucktr6;WS05;Weight sensor for empty truck weighing
trs_entrytr38;rfidSETHFQ;RFID tag read at entrance
weigh_empty_trucktr8;WS01;Weight sensor for empty truck weighing
trs_entrytr37;rfidCNJHRI;RFID tag read at entrance
check_abnormalitytr8;rfidEMPMPR;RFID tag read at empty truck weighing
weigh_empty_trucktr37;WS07;Weight sensor for empty truck weighing
check_abnormalitytr6;rfidVIJCAW;RFID tag read at empty truck weighing
check_abnormalitytr16;rfidTVEOGG;RFID tag read at empty truck weighing
