ocel_id;ocel_time
load_trucktr45;2024-05-02 10:39:03
load_trucktr26;2024-05-02 10:59:28
load_trucktr40;2024-05-02 11:08:59
load_trucktr8;2024-05-02 11:35:17
load_trucktr35;2024-05-02 11:37:48
load_trucktr16;2024-05-02 11:48:34
load_trucktr21;2024-05-02 11:51:40
load_trucktr4;2024-05-02 13:13:45
load_trucktr31;2024-05-02 14:31:14
load_trucktr38;2024-05-02 14:36:56
load_trucktr25;2024-05-02 14:51:20
load_trucktr27;2024-05-02 14:52:49
load_trucktr10;2024-05-02 14:55:27
load_trucktr36;2024-05-02 15:41:02
load_trucktr44;2024-05-02 16:38:06
load_trucktr28;2024-05-02 17:00:54
load_trucktr9;2024-05-03 08:13:16
load_trucktr49;2024-05-03 08:18:32
load_trucktr24;2024-05-03 08:45:18
load_trucktr5;2024-05-03 10:55:12
load_trucktr50;2024-05-03 10:57:15
load_trucktr33;2024-05-03 11:11:31
load_trucktr12;2024-05-03 11:44:39
load_trucktr19;2024-05-03 14:12:30
load_trucktr29;2024-05-03 14:41:02
load_trucktr41;2024-05-03 15:42:46
load_trucktr17;2024-05-03 16:25:16
load_trucktr39;2024-05-03 16:27:02
load_trucktr13;2024-05-03 17:42:05
load_trucktr22;2024-05-06 07:03:39
load_trucktr48;2024-05-06 11:57:34
load_trucktr20;2024-05-06 15:08:13
load_trucktr37;2024-05-06 15:43:50
load_trucktr14;2024-05-06 16:06:28
load_trucktr46;2024-05-06 17:41:39
load_trucktr23;2024-05-06 18:27:07
load_trucktr15;2024-05-06 18:44:46
load_trucktr32;2024-05-07 07:20:57
load_trucktr7;2024-05-07 09:15:11
load_trucktr3;2024-05-07 09:20:10
load_trucktr2;2024-05-07 09:29:24
load_trucktr47;2024-05-07 11:30:56
load_trucktr11;2024-05-07 14:52:20
load_trucktr27;2024-05-07 17:36:17
load_trucktr33;2024-05-08 10:24:42
load_trucktr17;2024-05-08 11:32:55
load_trucktr40;2024-05-08 13:46:08
load_trucktr35;2024-05-08 13:57:50
load_trucktr6;2024-05-08 16:13:34
load_trucktr31;2024-05-08 16:22:19
load_trucktr38;2024-05-08 16:58:27
load_trucktr29;2024-05-08 18:02:14
load_trucktr30;2024-05-09 07:21:57
load_trucktr4;2024-05-09 07:53:11
load_trucktr12;2024-05-09 09:18:21
load_trucktr50;2024-05-09 10:36:19
load_trucktr26;2024-05-09 12:10:36
load_trucktr21;2024-05-09 13:56:07
load_trucktr44;2024-05-09 15:56:09
load_trucktr1;2024-05-09 16:29:52
load_trucktr43;2024-05-09 18:06:15
load_trucktr5;2024-05-10 07:48:38
