ocel_id;ocel_time
print_w_tickettr35;2024-05-03 17:26:56
print_w_tickettr38;2024-05-03 20:29:18
print_w_tickettr44;2024-05-06 08:49:20
print_w_tickettr21;2024-05-06 09:51:00
print_w_tickettr9;2024-05-06 10:36:46
print_w_tickettr27;2024-05-06 11:30:08
print_w_tickettr8;2024-05-06 11:30:29
print_w_tickettr25;2024-05-06 12:01:35
print_w_tickettr4;2024-05-06 13:12:11
print_w_tickettr10;2024-05-06 13:25:45
print_w_tickettr12;2024-05-06 14:13:10
print_w_tickettr40;2024-05-06 14:16:26
print_w_tickettr33;2024-05-06 15:46:42
print_w_tickettr45;2024-05-06 16:21:08
print_w_tickettr31;2024-05-06 16:54:43
print_w_tickettr26;2024-05-06 17:08:49
print_w_tickettr17;2024-05-06 18:11:10
print_w_tickettr28;2024-05-07 09:06:36
print_w_tickettr49;2024-05-07 09:41:02
print_w_tickettr29;2024-05-07 11:09:58
print_w_tickettr50;2024-05-07 11:45:55
print_w_tickettr36;2024-05-07 13:30:55
print_w_tickettr22;2024-05-07 19:02:07
print_w_tickettr15;2024-05-08 08:04:57
print_w_tickettr3;2024-05-08 08:37:38
print_w_tickettr48;2024-05-08 10:02:05
print_w_tickettr39;2024-05-08 12:07:24
print_w_tickettr37;2024-05-08 14:19:51
print_w_tickettr5;2024-05-08 15:26:13
print_w_tickettr13;2024-05-08 19:34:51
print_w_tickettr16;2024-05-08 20:57:30
print_w_tickettr41;2024-05-08 22:40:56
print_w_tickettr27;2024-05-09 10:54:11
print_w_tickettr2;2024-05-09 11:08:43
print_w_tickettr32;2024-05-09 11:24:15
print_w_tickettr11;2024-05-09 12:17:50
print_w_tickettr19;2024-05-09 12:53:51
print_w_tickettr33;2024-05-09 13:54:33
print_w_tickettr46;2024-05-09 14:27:21
print_w_tickettr24;2024-05-09 16:04:44
print_w_tickettr6;2024-05-09 16:05:24
print_w_tickettr47;2024-05-09 16:18:40
print_w_tickettr17;2024-05-09 17:13:11
print_w_tickettr7;2024-05-09 17:39:09
print_w_tickettr23;2024-05-09 23:00:43
print_w_tickettr30;2024-05-10 08:48:02
print_w_tickettr20;2024-05-10 09:47:26
print_w_tickettr29;2024-05-10 10:32:56
print_w_tickettr14;2024-05-10 12:16:59
print_w_tickettr38;2024-05-10 13:21:21
print_w_tickettr50;2024-05-10 15:27:42
print_w_tickettr26;2024-05-10 15:55:07
print_w_tickettr21;2024-05-10 15:55:39
print_w_tickettr1;2024-05-10 17:02:43
print_w_tickettr31;2024-05-13 08:45:30
print_w_tickettr43;2024-05-13 08:47:49
print_w_tickettr44;2024-05-13 09:56:09
print_w_tickettr40;2024-05-13 10:32:29
