ocel_id;ocel_time
weigh_empty_trucktr30;2024-05-01 15:54:29
weigh_empty_trucktr2;2024-05-01 16:23:31
weigh_empty_trucktr34;2024-05-01 16:57:54
weigh_empty_trucktr45;2024-05-01 16:58:07
weigh_empty_trucktr40;2024-05-01 17:28:48
weigh_empty_trucktr23;2024-05-01 17:43:38
weigh_empty_trucktr4;2024-05-01 17:55:13
weigh_empty_trucktr35;2024-05-01 18:08:17
weigh_empty_trucktr1;2024-05-02 07:33:05
weigh_empty_trucktr18;2024-05-02 07:58:12
weigh_empty_trucktr26;2024-05-02 08:02:45
weigh_empty_trucktr6;2024-05-02 08:29:57
weigh_empty_trucktr8;2024-05-02 09:04:52
weigh_empty_trucktr37;2024-05-02 09:33:06
weigh_empty_trucktr38;2024-05-02 09:38:46
weigh_empty_trucktr25;2024-05-02 10:36:59
weigh_empty_trucktr27;2024-05-02 10:42:19
weigh_empty_trucktr11;2024-05-02 10:52:02
weigh_empty_trucktr31;2024-05-02 10:53:13
weigh_empty_trucktr48;2024-05-02 11:17:52
weigh_empty_trucktr28;2024-05-02 11:31:25
weigh_empty_trucktr21;2024-05-02 11:31:55
weigh_empty_trucktr36;2024-05-02 11:45:32
weigh_empty_trucktr42;2024-05-02 13:15:08
weigh_empty_trucktr16;2024-05-02 13:28:57
weigh_empty_trucktr44;2024-05-02 13:31:09
weigh_empty_trucktr19;2024-05-02 13:49:18
weigh_empty_trucktr9;2024-05-02 14:15:31
weigh_empty_trucktr49;2024-05-02 15:02:03
weigh_empty_trucktr24;2024-05-02 15:17:55
weigh_empty_trucktr5;2024-05-02 15:48:00
weigh_empty_trucktr32;2024-05-02 15:53:16
weigh_empty_trucktr33;2024-05-02 15:58:08
weigh_empty_trucktr50;2024-05-02 16:10:18
weigh_empty_trucktr10;2024-05-02 16:26:43
weigh_empty_trucktr15;2024-05-02 16:49:20
weigh_empty_trucktr7;2024-05-02 16:50:07
weigh_empty_trucktr20;2024-05-02 17:09:50
weigh_empty_trucktr13;2024-05-02 17:57:24
weigh_empty_trucktr3;2024-05-02 18:51:47
weigh_empty_trucktr29;2024-05-03 07:47:37
weigh_empty_trucktr2;2024-05-03 08:23:16
weigh_empty_trucktr41;2024-05-03 09:45:09
weigh_empty_trucktr47;2024-05-03 10:07:02
weigh_empty_trucktr39;2024-05-03 10:32:30
weigh_empty_trucktr17;2024-05-03 10:43:50
weigh_empty_trucktr46;2024-05-03 10:47:27
weigh_empty_trucktr43;2024-05-03 11:33:37
weigh_empty_trucktr14;2024-05-03 11:55:49
weigh_empty_trucktr22;2024-05-03 14:25:49
weigh_empty_trucktr12;2024-05-03 15:46:18
weigh_empty_trucktr6;2024-05-03 16:40:59
weigh_empty_trucktr19;2024-05-06 07:40:49
weigh_empty_trucktr48;2024-05-06 08:36:01
weigh_empty_trucktr21;2024-05-06 09:40:10
weigh_empty_trucktr16;2024-05-06 10:19:40
weigh_empty_trucktr1;2024-05-06 10:21:12
weigh_empty_trucktr15;2024-05-06 11:27:49
weigh_empty_trucktr34;2024-05-06 11:37:06
weigh_empty_trucktr32;2024-05-06 11:58:14
weigh_empty_trucktr30;2024-05-06 11:59:44
weigh_empty_trucktr37;2024-05-06 12:03:02
weigh_empty_trucktr24;2024-05-06 13:42:38
weigh_empty_trucktr46;2024-05-06 14:19:23
weigh_empty_trucktr42;2024-05-06 14:24:17
weigh_empty_trucktr7;2024-05-06 14:42:59
weigh_empty_trucktr3;2024-05-06 14:50:44
weigh_empty_trucktr20;2024-05-06 14:52:01
weigh_empty_trucktr43;2024-05-06 16:46:08
weigh_empty_trucktr47;2024-05-07 07:59:26
weigh_empty_trucktr9;2024-05-07 10:51:15
weigh_empty_trucktr38;2024-05-07 14:08:55
weigh_empty_trucktr25;2024-05-07 14:24:40
weigh_empty_trucktr13;2024-05-07 14:32:45
weigh_empty_trucktr19;2024-05-07 14:59:48
weigh_empty_trucktr34;2024-05-07 15:20:16
weigh_empty_trucktr20;2024-05-07 15:30:49
weigh_empty_trucktr8;2024-05-07 15:33:13
weigh_empty_trucktr11;2024-05-07 17:39:24
weigh_empty_trucktr44;2024-05-08 07:31:43
weigh_empty_trucktr40;2024-05-08 07:45:49
weigh_empty_trucktr42;2024-05-08 07:56:12
weigh_empty_trucktr4;2024-05-08 08:15:38
weigh_empty_trucktr31;2024-05-08 09:26:59
weigh_empty_trucktr17;2024-05-08 09:48:54
weigh_empty_trucktr1;2024-05-08 10:17:11
weigh_empty_trucktr35;2024-05-08 10:48:16
weigh_empty_trucktr36;2024-05-08 10:48:18
weigh_empty_trucktr29;2024-05-08 10:51:40
weigh_empty_trucktr6;2024-05-08 10:53:33
weigh_empty_trucktr23;2024-05-08 11:27:49
weigh_empty_trucktr37;2024-05-08 11:37:34
weigh_empty_trucktr33;2024-05-08 15:56:08
weigh_empty_trucktr45;2024-05-08 17:47:43
weigh_empty_trucktr9;2024-05-08 18:06:05
weigh_empty_trucktr34;2024-05-09 07:20:01
weigh_empty_trucktr19;2024-05-09 08:20:55
weigh_empty_trucktr30;2024-05-09 08:41:12
weigh_empty_trucktr24;2024-05-09 09:47:36
weigh_empty_trucktr20;2024-05-09 09:51:40
weigh_empty_trucktr27;2024-05-09 10:20:48
weigh_empty_trucktr16;2024-05-09 10:49:04
weigh_empty_trucktr49;2024-05-09 11:16:07
weigh_empty_trucktr46;2024-05-09 11:52:08
weigh_empty_trucktr26;2024-05-09 11:59:33
weigh_empty_trucktr13;2024-05-09 12:03:56
weigh_empty_trucktr1;2024-05-09 13:52:11
weigh_empty_trucktr21;2024-05-09 14:21:40
weigh_empty_trucktr28;2024-05-09 14:33:05
weigh_empty_trucktr50;2024-05-09 14:39:03
weigh_empty_trucktr39;2024-05-09 15:21:44
weigh_empty_trucktr42;2024-05-09 15:35:49
weigh_empty_trucktr38;2024-05-09 15:51:20
weigh_empty_trucktr35;2024-05-09 16:01:49
weigh_empty_trucktr41;2024-05-09 16:50:30
weigh_empty_trucktr12;2024-05-09 19:42:53
weigh_empty_trucktr40;2024-05-10 07:42:31
weigh_empty_trucktr22;2024-05-10 07:55:22
weigh_empty_trucktr7;2024-05-10 09:54:01
weigh_empty_trucktr44;2024-05-10 10:30:41
weigh_empty_trucktr34;2024-05-10 10:36:33
weigh_empty_trucktr14;2024-05-10 10:41:39
weigh_empty_trucktr25;2024-05-10 11:18:47
weigh_empty_trucktr5;2024-05-10 11:37:34
weigh_empty_trucktr31;2024-05-10 13:17:36
weigh_empty_trucktr21;2024-05-10 14:35:56
weigh_empty_trucktr9;2024-05-10 14:51:09
weigh_empty_trucktr47;2024-05-10 14:59:18
weigh_empty_trucktr8;2024-05-10 15:42:03
weigh_empty_trucktr27;2024-05-10 15:51:08
weigh_empty_trucktr16;2024-05-10 15:57:00
weigh_empty_trucktr24;2024-05-10 16:19:17
weigh_empty_trucktr30;2024-05-13 09:09:09
weigh_empty_trucktr29;2024-05-13 09:53:06
weigh_empty_trucktr32;2024-05-13 09:59:46
weigh_empty_trucktr43;2024-05-13 10:32:33
weigh_empty_trucktr46;2024-05-13 10:48:30
weigh_empty_trucktr15;2024-05-13 10:52:02
weigh_empty_trucktr45;2024-05-13 11:48:11
weigh_empty_trucktr3;2024-05-13 13:43:42
weigh_empty_trucktr48;2024-05-13 14:24:54
weigh_empty_trucktr18;2024-05-13 14:36:34
weigh_empty_trucktr38;2024-05-13 14:41:13
weigh_empty_trucktr2;2024-05-13 15:17:19
weigh_empty_trucktr6;2024-05-13 15:32:07
weigh_empty_trucktr33;2024-05-13 15:49:36
weigh_empty_trucktr1;2024-05-13 16:01:24
weigh_empty_trucktr50;2024-05-13 17:25:34
weigh_empty_trucktr13;2024-05-13 17:45:08
weigh_empty_trucktr34;2024-05-13 18:40:32
weigh_empty_trucktr42;2024-05-14 07:38:27
weigh_empty_trucktr21;2024-05-14 07:55:26
weigh_empty_trucktr24;2024-05-14 09:33:46
weigh_empty_trucktr16;2024-05-14 09:56:46
weigh_empty_trucktr40;2024-05-14 10:18:25
weigh_empty_trucktr35;2024-05-14 10:58:23
weigh_empty_trucktr9;2024-05-14 11:24:39
weigh_empty_trucktr46;2024-05-14 11:32:19
weigh_empty_trucktr10;2024-05-14 11:52:35
weigh_empty_trucktr43;2024-05-14 11:57:45
weigh_empty_trucktr41;2024-05-14 13:54:16
weigh_empty_trucktr11;2024-05-14 13:54:43
weigh_empty_trucktr28;2024-05-14 14:37:33
weigh_empty_trucktr2;2024-05-14 14:50:53
weigh_empty_trucktr37;2024-05-14 15:32:46
weigh_empty_trucktr48;2024-05-14 15:52:34
weigh_empty_trucktr4;2024-05-14 16:09:12
weigh_empty_trucktr30;2024-05-14 16:35:11
weigh_empty_trucktr47;2024-05-14 16:53:05
weigh_empty_trucktr7;2024-05-15 08:07:43
weigh_empty_trucktr49;2024-05-15 08:42:05
weigh_empty_trucktr34;2024-05-15 08:50:11
weigh_empty_trucktr17;2024-05-15 09:22:43
weigh_empty_trucktr24;2024-05-15 09:33:19
weigh_empty_trucktr21;2024-05-15 09:52:02
weigh_empty_trucktr20;2024-05-15 10:22:56
weigh_empty_trucktr22;2024-05-15 10:28:46
weigh_empty_trucktr45;2024-05-15 10:30:34
weigh_empty_trucktr19;2024-05-15 12:03:35
weigh_empty_trucktr8;2024-05-15 13:35:44
weigh_empty_trucktr23;2024-05-15 13:40:51
weigh_empty_trucktr26;2024-05-15 14:03:21
weigh_empty_trucktr13;2024-05-15 14:35:57
weigh_empty_trucktr43;2024-05-15 14:52:15
weigh_empty_trucktr15;2024-05-15 15:40:23
weigh_empty_trucktr28;2024-05-15 15:44:25
weigh_empty_trucktr1;2024-05-15 15:55:38
weigh_empty_trucktr46;2024-05-15 16:14:11
weigh_empty_trucktr14;2024-05-15 16:31:24
weigh_empty_trucktr35;2024-05-15 17:00:34
weigh_empty_trucktr7;2024-05-15 19:49:29
weigh_empty_trucktr40;2024-05-16 07:28:46
weigh_empty_trucktr50;2024-05-16 07:32:24
weigh_empty_trucktr37;2024-05-16 08:48:31
weigh_empty_trucktr41;2024-05-16 08:57:46
weigh_empty_trucktr5;2024-05-16 09:44:43
weigh_empty_trucktr36;2024-05-16 10:25:12
weigh_empty_trucktr4;2024-05-16 10:33:01
weigh_empty_trucktr44;2024-05-16 10:49:20
weigh_empty_trucktr48;2024-05-16 10:59:29
weigh_empty_trucktr22;2024-05-16 13:32:11
weigh_empty_trucktr42;2024-05-16 13:56:00
weigh_empty_trucktr30;2024-05-16 14:31:07
weigh_empty_trucktr24;2024-05-16 14:44:32
weigh_empty_trucktr39;2024-05-16 14:48:42
weigh_empty_trucktr10;2024-05-16 14:58:01
weigh_empty_trucktr11;2024-05-16 14:59:23
weigh_empty_trucktr27;2024-05-16 15:56:24
weigh_empty_trucktr9;2024-05-16 16:34:10
weigh_empty_trucktr31;2024-05-16 17:25:31
weigh_empty_trucktr8;2024-05-16 18:05:35
weigh_empty_trucktr38;2024-05-17 07:21:45
weigh_empty_trucktr17;2024-05-17 07:37:32
weigh_empty_trucktr34;2024-05-17 07:42:18
weigh_empty_trucktr19;2024-05-17 08:04:20
weigh_empty_trucktr6;2024-05-17 08:46:34
weigh_empty_trucktr16;2024-05-17 08:52:43
weigh_empty_trucktr47;2024-05-17 08:57:18
weigh_empty_trucktr29;2024-05-17 09:56:03
weigh_empty_trucktr15;2024-05-17 10:59:11
weigh_empty_trucktr23;2024-05-17 11:54:51
weigh_empty_trucktr14;2024-05-17 12:06:55
weigh_empty_trucktr25;2024-05-17 13:09:44
weigh_empty_trucktr50;2024-05-17 13:28:33
weigh_empty_trucktr7;2024-05-17 13:55:12
weigh_empty_trucktr12;2024-05-17 14:38:47
weigh_empty_trucktr33;2024-05-17 14:54:06
weigh_empty_trucktr18;2024-05-17 15:22:57
weigh_empty_trucktr13;2024-05-17 15:53:31
weigh_empty_trucktr36;2024-05-17 16:51:59
weigh_empty_trucktr48;2024-05-17 17:54:27
weigh_empty_trucktr10;2024-05-20 09:29:16
weigh_empty_trucktr3;2024-05-20 09:59:00
weigh_empty_trucktr8;2024-05-20 10:49:02
weigh_empty_trucktr32;2024-05-20 14:23:38
weigh_empty_trucktr6;2024-05-20 14:33:16
weigh_empty_trucktr22;2024-05-20 14:56:31
weigh_empty_trucktr16;2024-05-20 15:16:50
weigh_empty_trucktr20;2024-05-20 15:35:26
weigh_empty_trucktr25;2024-05-20 15:47:26
weigh_empty_trucktr46;2024-05-20 16:42:18
weigh_empty_trucktr26;2024-05-20 16:59:32
weigh_empty_trucktr39;2024-05-20 17:00:03
weigh_empty_trucktr24;2024-05-20 17:44:07
weigh_empty_trucktr23;2024-05-20 17:55:26
weigh_empty_trucktr1;2024-05-21 08:02:27
weigh_empty_trucktr42;2024-05-21 08:21:32
weigh_empty_trucktr41;2024-05-21 08:21:48
weigh_empty_trucktr31;2024-05-21 09:29:00
weigh_empty_trucktr49;2024-05-21 09:33:36
weigh_empty_trucktr11;2024-05-21 09:36:52
weigh_empty_trucktr43;2024-05-21 09:50:50
weigh_empty_trucktr47;2024-05-21 10:31:55
weigh_empty_trucktr18;2024-05-21 10:47:32
weigh_empty_trucktr10;2024-05-21 10:54:18
weigh_empty_trucktr33;2024-05-21 11:18:41
weigh_empty_trucktr45;2024-05-21 11:32:55
weigh_empty_trucktr8;2024-05-21 11:55:59
weigh_empty_trucktr34;2024-05-21 13:40:51
weigh_empty_trucktr48;2024-05-21 13:51:49
weigh_empty_trucktr35;2024-05-21 13:56:09
weigh_empty_trucktr9;2024-05-21 14:41:52
weigh_empty_trucktr7;2024-05-21 16:49:46
weigh_empty_trucktr25;2024-05-21 16:51:39
weigh_empty_trucktr15;2024-05-22 08:43:07
weigh_empty_trucktr27;2024-05-22 08:55:45
weigh_empty_trucktr42;2024-05-22 09:25:01
weigh_empty_trucktr2;2024-05-22 09:30:20
weigh_empty_trucktr39;2024-05-22 10:12:42
weigh_empty_trucktr4;2024-05-22 10:16:15
