ocel_id;ocel_time
weigh_loaded_trucktr40;2024-05-03 10:40:25
weigh_loaded_trucktr39;2024-05-03 14:50:06
weigh_loaded_trucktr6;2024-05-03 15:49:56
weigh_loaded_trucktr1;2024-05-03 18:30:43
weigh_loaded_trucktr29;2024-05-06 07:48:55
weigh_loaded_trucktr9;2024-05-06 09:09:42
weigh_loaded_trucktr28;2024-05-06 10:00:06
weigh_loaded_trucktr16;2024-05-06 10:21:21
weigh_loaded_trucktr27;2024-05-06 11:18:45
weigh_loaded_trucktr5;2024-05-06 11:30:37
weigh_loaded_trucktr50;2024-05-06 11:32:44
weigh_loaded_trucktr25;2024-05-06 12:46:10
weigh_loaded_trucktr32;2024-05-06 13:41:26
weigh_loaded_trucktr17;2024-05-06 14:10:51
weigh_loaded_trucktr49;2024-05-06 14:57:33
weigh_loaded_trucktr23;2024-05-06 15:51:01
weigh_loaded_trucktr35;2024-05-06 17:00:30
weigh_loaded_trucktr41;2024-05-07 07:46:51
weigh_loaded_trucktr44;2024-05-07 08:36:00
weigh_loaded_trucktr31;2024-05-07 09:12:51
weigh_loaded_trucktr15;2024-05-07 10:41:41
weigh_loaded_trucktr47;2024-05-07 10:42:40
weigh_loaded_trucktr34;2024-05-07 10:58:05
weigh_loaded_trucktr26;2024-05-07 13:49:50
weigh_loaded_trucktr33;2024-05-07 14:09:27
weigh_loaded_trucktr13;2024-05-07 15:50:45
weigh_loaded_trucktr12;2024-05-07 16:08:18
weigh_loaded_trucktr22;2024-05-07 16:54:22
weigh_loaded_trucktr18;2024-05-08 08:13:35
weigh_loaded_trucktr4;2024-05-08 08:22:01
weigh_loaded_trucktr11;2024-05-08 09:12:45
weigh_loaded_trucktr21;2024-05-08 11:08:27
weigh_loaded_trucktr14;2024-05-08 11:19:33
weigh_loaded_trucktr42;2024-05-08 11:32:09
weigh_loaded_trucktr29;2024-05-08 16:07:45
weigh_loaded_trucktr38;2024-05-08 17:15:35
weigh_loaded_trucktr10;2024-05-08 17:58:55
weigh_loaded_trucktr20;2024-05-09 07:49:32
weigh_loaded_trucktr8;2024-05-09 10:07:30
weigh_loaded_trucktr48;2024-05-09 10:34:41
weigh_loaded_trucktr9;2024-05-09 11:02:20
weigh_loaded_trucktr24;2024-05-09 11:02:27
weigh_loaded_trucktr37;2024-05-09 12:09:27
weigh_loaded_trucktr36;2024-05-09 12:16:53
weigh_loaded_trucktr3;2024-05-09 13:33:28
weigh_loaded_trucktr44;2024-05-10 11:57:22
weigh_loaded_trucktr17;2024-05-10 16:11:48
weigh_loaded_trucktr21;2024-05-13 08:35:17
weigh_loaded_trucktr50;2024-05-13 09:48:05
weigh_loaded_trucktr6;2024-05-13 10:25:21
weigh_loaded_trucktr15;2024-05-13 10:56:45
weigh_loaded_trucktr26;2024-05-13 11:16:00
weigh_loaded_trucktr34;2024-05-13 11:17:52
weigh_loaded_trucktr12;2024-05-13 12:34:23
weigh_loaded_trucktr11;2024-05-13 14:30:41
weigh_loaded_trucktr42;2024-05-13 15:27:12
weigh_loaded_trucktr16;2024-05-13 16:03:32
weigh_loaded_trucktr31;2024-05-14 08:31:15
weigh_loaded_trucktr43;2024-05-14 09:12:05
weigh_loaded_trucktr28;2024-05-14 09:55:15
weigh_loaded_trucktr46;2024-05-14 10:57:17
weigh_loaded_trucktr35;2024-05-14 14:25:54
weigh_loaded_trucktr49;2024-05-14 14:43:54
weigh_loaded_trucktr19;2024-05-14 16:38:33
weigh_loaded_trucktr47;2024-05-14 17:56:04
weigh_loaded_trucktr18;2024-05-15 09:46:05
weigh_loaded_trucktr33;2024-05-15 10:45:38
weigh_loaded_trucktr27;2024-05-15 14:00:28
weigh_loaded_trucktr5;2024-05-15 15:30:57
weigh_loaded_trucktr10;2024-05-15 16:03:18
weigh_loaded_trucktr38;2024-05-15 16:25:26
weigh_loaded_trucktr22;2024-05-15 19:38:36
weigh_loaded_trucktr36;2024-05-16 09:00:25
weigh_loaded_trucktr26;2024-05-16 09:07:37
weigh_loaded_trucktr39;2024-05-16 09:09:23
weigh_loaded_trucktr15;2024-05-16 12:10:03
weigh_loaded_trucktr17;2024-05-16 12:44:32
