ocel_id;ocel_type
tr18;Truck
tr46;Truck
tr3;Truck
tr47;Truck
tr32;Truck
tr11;Truck
tr48;Truck
tr9;Truck
Cr16;Cargo
tr10;Truck
tr6;Truck
tr33;Truck
tr44;Truck
tr37;Truck
tr38;Truck
tr4;Truck
tr26;Truck
tr20;Truck
tr12;Truck
tr2;Truck
tr45;Truck
tr14;Truck
Cr11;Cargo
tr19;Truck
tr8;Truck
tr5;Truck
tr27;Truck
tr28;Truck
tr39;Truck
tr15;Truck
Cr18;Cargo
tr24;Truck
tr36;Truck
Cr9;Cargo
Cr6;Cargo
tr22;Truck
tr29;Truck
tr7;Truck
Cr2;Cargo
Cr13;Cargo
tr25;Truck
Cr17;Cargo
Cr4;Cargo
tr34;Truck
tr40;Truck
Cr14;Cargo
tr49;Truck
Cr5;Cargo
tr31;Truck
tr13;Truck
Cr12;Cargo
tr35;Truck
Cr20;Cargo
Cr8;Cargo
tr41;Truck
tr23;Truck
Cr3;Cargo
tr30;Truck
tr42;Truck
tr16;Truck
tr50;Truck
Cr19;Cargo
Cr15;Cargo
tr43;Truck
Cr1;Cargo
tr17;Truck
tr1;Truck
Cr7;Cargo
Silo1;Silo
Silo7;Silo
Cr10;Cargo
Silo6;Silo
tr21;Truck
Silo14;Silo
Silo4;Silo
Silo19;Silo
Silo12;Silo
Silo5;Silo
Silo15;Silo
Silo3;Silo
Silo8;Silo
Silo13;Silo
Silo16;Silo
Silo2;Silo
Silo9;Silo
Silo18;Silo
Silo17;Silo
Silo11;Silo
Silo10;Silo
Silo20;Silo
Pcp3;Pickup Plan
Pcp9;Pickup Plan
Pcp6;Pickup Plan
Pcp2;Pickup Plan
Pcp8;Pickup Plan
Pcp5;Pickup Plan
Pcp4;Pickup Plan
Pcp7;Pickup Plan
Pcp1;Pickup Plan
Pcp10;Pickup Plan
