ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
WS16;tr30;Weight sensor measuring empty truck weight;2024-05-01 15:54:29
WS13;tr19;Weight sensor measuring empty truck weight;2024-05-01 16:23:31
WS04;tr34;Weight sensor measuring empty truck weight;2024-05-01 16:57:54
WS06;tr45;Weight sensor measuring empty truck weight;2024-05-01 16:58:07
WS09;tr40;Weight sensor measuring empty truck weight;2024-05-01 17:28:48
WS02;tr21;Weight sensor measuring empty truck weight;2024-05-01 17:43:38
WS05;tr4;Weight sensor measuring empty truck weight;2024-05-01 17:55:13
WS07;tr35;Weight sensor measuring empty truck weight;2024-05-01 18:08:17
WS12;tr1;Weight sensor measuring empty truck weight;2024-05-02 07:33:05
WS14;tr16;Weight sensor measuring empty truck weight;2024-05-02 07:58:12
WS10;tr26;Weight sensor measuring empty truck weight;2024-05-02 08:02:45
WS20;tr6;Weight sensor measuring empty truck weight;2024-05-02 08:29:57
WS06;tr8;Weight sensor measuring empty truck weight;2024-05-02 09:04:52
WS01;tr37;Weight sensor measuring empty truck weight;2024-05-02 09:33:06
WS16;tr38;Weight sensor measuring empty truck weight;2024-05-02 09:38:46
WS11;tr27;Weight sensor measuring empty truck weight;2024-05-02 10:30:33
WS07;tr31;Weight sensor measuring empty truck weight;2024-05-02 10:53:13
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 10:56:55
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 10:56:55
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 10:56:55
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 10:56:55
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 10:56:55
WS19;tr10;Weight sensor measuring empty truck weight;2024-05-02 10:59:45
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 11:20:35
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 11:20:35
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 11:20:35
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 11:20:35
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 11:20:35
WS04;tr48;Weight sensor measuring empty truck weight;2024-05-02 11:22:51
WS14;tr25;Weight sensor measuring empty truck weight;2024-05-02 11:23:21
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-02 11:23:34
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-02 11:23:34
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-02 11:23:34
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-02 11:23:34
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-02 11:23:34
WS18;tr20;Weight sensor measuring empty truck weight;2024-05-02 11:25:46
WS05;tr28;Weight sensor measuring empty truck weight;2024-05-02 11:28:12
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-02 11:29:19
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-02 11:29:19
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-02 11:29:19
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-02 11:29:19
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-02 11:29:19
WS15;tr36;Weight sensor measuring empty truck weight;2024-05-02 11:43:40
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-02 11:48:42
