ocel_source_id;ocel_target_id;ocel_qualifier;ocel_time
Pcp5;Cr2;Lodged pickup plan for cargo;2024-04-29 07:58:10
Pcp3;Cr7;Lodged pickup plan for cargo;2024-04-29 08:02:04
Pcp4;Cr17;Lodged pickup plan for cargo;2024-04-29 08:07:56
Pcp10;Cr6;Lodged pickup plan for cargo;2024-04-29 08:39:14
Pcp1;Cr20;Lodged pickup plan for cargo;2024-04-29 08:49:30
Pcp6;Cr18;Lodged pickup plan for cargo;2024-04-29 08:51:38
Pcp2;Cr4;Lodged pickup plan for cargo;2024-04-29 09:11:37
Pcp9;Cr9;Lodged pickup plan for cargo;2024-04-29 09:59:05
Pcp8;Cr13;Lodged pickup plan for cargo;2024-04-29 11:02:18
Pcp7;Cr1;Lodged pickup plan for cargo;2024-04-29 11:33:45
tr36;Pcp5;Assigned truck for pickup plan;2024-05-01 10:12:39
tr35;Pcp5;Assigned truck for pickup plan;2024-05-01 10:13:36
tr26;Pcp5;Assigned truck for pickup plan;2024-05-01 10:14:36
tr23;Pcp5;Assigned truck for pickup plan;2024-05-01 10:15:14
tr17;Pcp5;Assigned truck for pickup plan;2024-05-01 10:15:34
tr25;Pcp5;Assigned truck for pickup plan;2024-05-01 10:16:15
tr9;Pcp5;Assigned truck for pickup plan;2024-05-01 10:16:48
tr45;Pcp5;Assigned truck for pickup plan;2024-05-01 10:19:22
tr3;Pcp5;Assigned truck for pickup plan;2024-05-01 10:20:13
tr10;Pcp5;Assigned truck for pickup plan;2024-05-01 10:21:38
tr27;Pcp5;Assigned truck for pickup plan;2024-05-01 10:25:06
tr1;Pcp5;Assigned truck for pickup plan;2024-05-01 10:25:17
tr40;Pcp5;Assigned truck for pickup plan;2024-05-01 10:26:50
tr44;Pcp5;Assigned truck for pickup plan;2024-05-01 10:33:47
tr4;Pcp5;Assigned truck for pickup plan;2024-05-01 10:36:46
tr28;Pcp5;Assigned truck for pickup plan;2024-05-01 10:39:30
tr20;Pcp5;Assigned truck for pickup plan;2024-05-01 10:42:22
tr30;Pcp5;Assigned truck for pickup plan;2024-05-01 10:47:39
tr2;Pcp5;Assigned truck for pickup plan;2024-05-01 10:47:47
tr18;Pcp5;Assigned truck for pickup plan;2024-05-01 10:50:08
tr12;Pcp5;Assigned truck for pickup plan;2024-05-01 10:59:06
tr32;Pcp5;Assigned truck for pickup plan;2024-05-01 11:01:19
tr41;Pcp5;Assigned truck for pickup plan;2024-05-01 11:02:27
tr14;Pcp5;Assigned truck for pickup plan;2024-05-01 11:02:33
tr13;Pcp5;Assigned truck for pickup plan;2024-05-01 11:03:05
tr11;Pcp5;Assigned truck for pickup plan;2024-05-01 11:05:42
tr5;Pcp5;Assigned truck for pickup plan;2024-05-01 11:09:59
tr46;Pcp5;Assigned truck for pickup plan;2024-05-01 11:10:51
tr39;Pcp5;Assigned truck for pickup plan;2024-05-01 11:23:01
tr42;Pcp5;Assigned truck for pickup plan;2024-05-01 11:23:22
tr47;Pcp5;Assigned truck for pickup plan;2024-05-01 11:26:57
tr48;Pcp5;Assigned truck for pickup plan;2024-05-01 11:32:16
tr34;Pcp5;Assigned truck for pickup plan;2024-05-01 11:38:04
tr33;Pcp5;Assigned truck for pickup plan;2024-05-01 11:43:14
tr6;Pcp5;Assigned truck for pickup plan;2024-05-01 11:45:00
tr24;Pcp5;Assigned truck for pickup plan;2024-05-01 11:53:23
tr43;Pcp5;Assigned truck for pickup plan;2024-05-01 11:54:14
tr16;Pcp5;Assigned truck for pickup plan;2024-05-01 12:03:29
tr50;Pcp5;Assigned truck for pickup plan;2024-05-01 12:15:01
tr38;Pcp5;Assigned truck for pickup plan;2024-05-01 12:16:02
tr31;Pcp5;Assigned truck for pickup plan;2024-05-01 12:28:54
tr15;Pcp5;Assigned truck for pickup plan;2024-05-01 12:35:26
tr7;Pcp5;Assigned truck for pickup plan;2024-05-01 12:37:08
tr49;Pcp5;Assigned truck for pickup plan;2024-05-01 12:39:39
tr21;Pcp5;Assigned truck for pickup plan;2024-05-01 12:48:26
tr22;Pcp5;Assigned truck for pickup plan;2024-05-01 12:51:48
tr8;Pcp5;Assigned truck for pickup plan;2024-05-01 12:56:25
tr29;Pcp5;Assigned truck for pickup plan;2024-05-01 14:33:31
tr37;Pcp5;Assigned truck for pickup plan;2024-05-01 14:46:02
tr19;Pcp5;Assigned truck for pickup plan;2024-05-01 15:24:06
Silo20;tr40;Aranged silo for truck;2024-05-02 08:03:30
Silo20;tr17;Aranged silo for truck;2024-05-02 08:05:47
Silo20;tr25;Aranged silo for truck;2024-05-02 08:50:02
Silo20;tr23;Aranged silo for truck;2024-05-02 09:30:45
tr3;Pcp8;Assigned truck for pickup plan;2024-05-02 09:42:20
Silo20;tr26;Aranged silo for truck;2024-05-02 09:55:28
Silo20;tr38;Aranged silo for truck;2024-05-02 10:10:16
Silo20;tr6;Aranged silo for truck;2024-05-02 10:47:40
Silo20;tr20;Aranged silo for truck;2024-05-02 10:59:00
tr48;Pcp1;Assigned truck for pickup plan;2024-05-02 11:23:29
Silo20;tr41;Aranged silo for truck;2024-05-02 11:48:01
tr42;Pcp10;Assigned truck for pickup plan;2024-05-02 13:22:36
tr45;Pcp7;Assigned truck for pickup plan;2024-05-02 13:32:41
tr24;Pcp9;Assigned truck for pickup plan;2024-05-02 14:00:19
Silo20;tr27;Aranged silo for truck;2024-05-02 14:02:41
Silo20;tr1;Aranged silo for truck;2024-05-02 14:13:48
Silo20;tr39;Aranged silo for truck;2024-05-02 14:16:21
Silo20;tr16;Aranged silo for truck;2024-05-02 14:35:16
tr12;Pcp5;Assigned truck for pickup plan;2024-05-02 14:39:19
Silo20;tr50;Aranged silo for truck;2024-05-02 14:40:12
Silo20;tr49;Aranged silo for truck;2024-05-02 14:47:49
tr2;Pcp6;Assigned truck for pickup plan;2024-05-02 14:51:41
Silo20;tr29;Aranged silo for truck;2024-05-02 14:53:22
tr33;Pcp3;Assigned truck for pickup plan;2024-05-02 15:23:01
Silo20;tr32;Aranged silo for truck;2024-05-02 15:42:44
Silo20;tr28;Aranged silo for truck;2024-05-02 15:42:51
tr30;Pcp5;Assigned truck for pickup plan;2024-05-02 15:49:54
Silo20;tr9;Aranged silo for truck;2024-05-02 15:59:41
Silo20;tr31;Aranged silo for truck;2024-05-02 15:59:58
tr37;Pcp4;Assigned truck for pickup plan;2024-05-02 16:17:03
tr10;Pcp4;Assigned truck for pickup plan;2024-05-02 16:28:40
tr43;Pcp9;Assigned truck for pickup plan;2024-05-02 16:36:35
Silo20;tr13;Aranged silo for truck;2024-05-02 16:36:59
Silo20;tr8;Aranged silo for truck;2024-05-02 16:55:32
tr7;Pcp2;Assigned truck for pickup plan;2024-05-02 16:59:02
Silo20;tr35;Aranged silo for truck;2024-05-02 19:02:31
Silo20;tr15;Aranged silo for truck;2024-05-03 07:44:20
Silo20;tr4;Aranged silo for truck;2024-05-03 08:59:10
Silo20;tr44;Aranged silo for truck;2024-05-03 10:01:49
tr18;Pcp2;Assigned truck for pickup plan;2024-05-03 10:27:00
tr46;Pcp8;Assigned truck for pickup plan;2024-05-03 10:57:17
Silo20;tr5;Aranged silo for truck;2024-05-03 11:08:15
tr36;Pcp9;Assigned truck for pickup plan;2024-05-03 11:44:11
Silo20;tr22;Aranged silo for truck;2024-05-03 11:56:13
tr19;Pcp4;Assigned truck for pickup plan;2024-05-03 12:06:18
tr40;Pcp5;Dropped truck from pickup plan;2024-05-03 14:15:01
Silo20;tr14;Aranged silo for truck;2024-05-03 14:35:22
Silo20;tr34;Aranged silo for truck;2024-05-03 14:36:38
tr24;Pcp6;Assigned truck for pickup plan;2024-05-03 15:01:39
tr11;Pcp6;Assigned truck for pickup plan;2024-05-03 15:09:42
tr40;Pcp3;Assigned truck for pickup plan;2024-05-03 15:50:44
Silo10;tr42;Aranged silo for truck;2024-05-03 16:04:13
Silo20;tr21;Aranged silo for truck;2024-05-03 16:35:58
tr6;Pcp5;Dropped truck from pickup plan;2024-05-06 07:10:59
tr39;Pcp5;Dropped truck from pickup plan;2024-05-06 07:32:02
Silo20;tr47;Aranged silo for truck;2024-05-06 07:57:54
Silo3;tr33;Aranged silo for truck;2024-05-06 09:24:01
tr45;Pcp7;Assigned truck for pickup plan;2024-05-06 10:13:15
tr9;Pcp5;Dropped truck from pickup plan;2024-05-06 10:35:47
tr28;Pcp5;Dropped truck from pickup plan;2024-05-06 10:43:22
tr6;Pcp2;Assigned truck for pickup plan;2024-05-06 10:51:53
tr16;Pcp5;Dropped truck from pickup plan;2024-05-06 11:32:10
tr43;Pcp1;Assigned truck for pickup plan;2024-05-06 11:48:15
tr29;Pcp5;Dropped truck from pickup plan;2024-05-06 11:51:44
Silo6;tr18;Aranged silo for truck;2024-05-06 11:56:42
tr48;Pcp9;Assigned truck for pickup plan;2024-05-06 12:32:42
tr39;Pcp1;Assigned truck for pickup plan;2024-05-06 12:45:56
tr27;Pcp5;Dropped truck from pickup plan;2024-05-06 13:58:39
Silo1;tr10;Aranged silo for truck;2024-05-06 14:08:57
tr5;Pcp5;Dropped truck from pickup plan;2024-05-06 14:23:36
tr50;Pcp5;Dropped truck from pickup plan;2024-05-06 14:30:44
tr19;Pcp8;Assigned truck for pickup plan;2024-05-06 14:58:41
tr9;Pcp10;Assigned truck for pickup plan;2024-05-06 15:27:55
tr17;Pcp5;Dropped truck from pickup plan;2024-05-06 15:38:49
Silo2;tr11;Aranged silo for truck;2024-05-06 15:46:57
tr28;Pcp8;Assigned truck for pickup plan;2024-05-06 15:54:06
tr3;Pcp7;Assigned truck for pickup plan;2024-05-06 16:00:35
tr50;Pcp7;Assigned truck for pickup plan;2024-05-06 16:07:10
tr27;Pcp4;Assigned truck for pickup plan;2024-05-06 16:08:54
tr7;Pcp10;Assigned truck for pickup plan;2024-05-06 16:11:35
tr29;Pcp10;Assigned truck for pickup plan;2024-05-06 16:16:27
tr5;Pcp10;Assigned truck for pickup plan;2024-05-06 16:20:59
tr30;Pcp1;Assigned truck for pickup plan;2024-05-06 16:21:20
tr16;Pcp10;Assigned truck for pickup plan;2024-05-06 16:35:06
Silo20;tr12;Aranged silo for truck;2024-05-06 16:52:50
tr25;Pcp5;Dropped truck from pickup plan;2024-05-06 17:05:49
tr32;Pcp5;Dropped truck from pickup plan;2024-05-06 17:25:11
Silo7;tr36;Aranged silo for truck;2024-05-06 18:55:12
tr49;Pcp5;Dropped truck from pickup plan;2024-05-06 19:27:13
tr23;Pcp5;Dropped truck from pickup plan;2024-05-07 07:33:56
tr35;Pcp5;Dropped truck from pickup plan;2024-05-07 07:49:20
tr17;Pcp7;Assigned truck for pickup plan;2024-05-07 07:56:37
tr24;Pcp8;Assigned truck for pickup plan;2024-05-07 08:06:19
tr2;Pcp7;Assigned truck for pickup plan;2024-05-07 08:59:33
tr49;Pcp1;Assigned truck for pickup plan;2024-05-07 09:34:58
tr41;Pcp5;Dropped truck from pickup plan;2024-05-07 10:36:45
tr25;Pcp9;Assigned truck for pickup plan;2024-05-07 10:41:23
tr32;Pcp7;Assigned truck for pickup plan;2024-05-07 10:44:50
tr31;Pcp5;Dropped truck from pickup plan;2024-05-07 10:46:14
Silo1;tr37;Aranged silo for truck;2024-05-07 10:48:49
tr35;Pcp7;Assigned truck for pickup plan;2024-05-07 11:20:55
tr44;Pcp5;Dropped truck from pickup plan;2024-05-07 11:57:00
tr23;Pcp9;Assigned truck for pickup plan;2024-05-07 12:34:32
tr34;Pcp5;Dropped truck from pickup plan;2024-05-07 13:28:42
tr47;Pcp5;Dropped truck from pickup plan;2024-05-07 13:29:52
Silo7;tr48;Aranged silo for truck;2024-05-07 14:01:07
tr41;Pcp2;Assigned truck for pickup plan;2024-05-07 14:01:29
tr15;Pcp5;Dropped truck from pickup plan;2024-05-07 14:37:49
tr26;Pcp5;Dropped truck from pickup plan;2024-05-07 14:43:06
tr47;Pcp9;Assigned truck for pickup plan;2024-05-07 15:14:29
tr33;Pcp3;Dropped truck from pickup plan;2024-05-07 15:28:54
Silo10;tr9;Aranged silo for truck;2024-05-07 15:36:09
Silo10;tr29;Aranged silo for truck;2024-05-07 15:44:21
tr44;Pcp6;Assigned truck for pickup plan;2024-05-07 15:52:40
tr46;Pcp1;Assigned truck for pickup plan;2024-05-07 16:24:03
tr13;Pcp5;Dropped truck from pickup plan;2024-05-07 16:37:24
tr26;Pcp3;Assigned truck for pickup plan;2024-05-07 16:44:55
tr31;Pcp1;Assigned truck for pickup plan;2024-05-07 16:49:30
tr15;Pcp3;Assigned truck for pickup plan;2024-05-07 17:03:27
tr5;Pcp4;Assigned truck for pickup plan;2024-05-07 17:19:41
tr50;Pcp8;Assigned truck for pickup plan;2024-05-07 17:40:33
tr16;Pcp8;Assigned truck for pickup plan;2024-05-07 19:24:39
tr34;Pcp9;Assigned truck for pickup plan;2024-05-08 08:25:27
tr12;Pcp5;Dropped truck from pickup plan;2024-05-08 08:31:03
tr6;Pcp10;Assigned truck for pickup plan;2024-05-08 09:19:16
tr22;Pcp5;Dropped truck from pickup plan;2024-05-08 09:35:32
tr33;Pcp9;Assigned truck for pickup plan;2024-05-08 10:34:54
Silo16;tr24;Aranged silo for truck;2024-05-08 10:41:04
tr30;Pcp4;Assigned truck for pickup plan;2024-05-08 10:41:23
Silo8;tr3;Aranged silo for truck;2024-05-08 10:45:29
tr18;Pcp2;Dropped truck from pickup plan;2024-05-08 10:48:54
tr11;Pcp6;Dropped truck from pickup plan;2024-05-08 10:58:00
tr4;Pcp5;Dropped truck from pickup plan;2024-05-08 11:13:15
tr13;Pcp8;Assigned truck for pickup plan;2024-05-08 11:24:20
tr25;Pcp2;Assigned truck for pickup plan;2024-05-08 11:42:56
Silo16;tr28;Aranged silo for truck;2024-05-08 11:50:10
tr14;Pcp5;Dropped truck from pickup plan;2024-05-08 11:56:52
tr43;Pcp4;Assigned truck for pickup plan;2024-05-08 11:59:00
tr40;Pcp9;Assigned truck for pickup plan;2024-05-08 12:06:52
tr12;Pcp10;Assigned truck for pickup plan;2024-05-08 12:43:33
tr32;Pcp2;Assigned truck for pickup plan;2024-05-08 13:41:42
tr21;Pcp5;Dropped truck from pickup plan;2024-05-08 13:44:10
tr4;Pcp1;Assigned truck for pickup plan;2024-05-08 13:50:35
tr42;Pcp10;Dropped truck from pickup plan;2024-05-08 14:32:33
tr22;Pcp3;Assigned truck for pickup plan;2024-05-08 14:38:21
tr18;Pcp1;Assigned truck for pickup plan;2024-05-08 14:53:35
tr27;Pcp10;Assigned truck for pickup plan;2024-05-08 14:59:03
tr41;Pcp7;Assigned truck for pickup plan;2024-05-08 15:04:58
tr45;Pcp10;Assigned truck for pickup plan;2024-05-08 15:21:31
tr39;Pcp3;Assigned truck for pickup plan;2024-05-08 15:24:33
tr11;Pcp10;Assigned truck for pickup plan;2024-05-08 15:27:14
Silo2;tr44;Aranged silo for truck;2024-05-08 15:49:48
tr21;Pcp1;Assigned truck for pickup plan;2024-05-08 16:06:02
tr23;Pcp6;Assigned truck for pickup plan;2024-05-08 16:17:20
tr29;Pcp10;Dropped truck from pickup plan;2024-05-08 17:38:58
tr7;Pcp4;Assigned truck for pickup plan;2024-05-08 17:44:51
Silo16;tr50;Aranged silo for truck;2024-05-08 18:57:23
tr38;Pcp5;Dropped truck from pickup plan;2024-05-09 07:19:03
Silo16;tr19;Aranged silo for truck;2024-05-09 08:09:26
tr1;Pcp5;Dropped truck from pickup plan;2024-05-09 08:12:16
tr49;Pcp9;Assigned truck for pickup plan;2024-05-09 08:16:59
tr14;Pcp4;Assigned truck for pickup plan;2024-05-09 08:38:39
Silo16;tr16;Aranged silo for truck;2024-05-09 08:48:35
tr31;Pcp7;Assigned truck for pickup plan;2024-05-09 09:35:27
tr29;Pcp10;Assigned truck for pickup plan;2024-05-09 10:07:44
tr42;Pcp2;Assigned truck for pickup plan;2024-05-09 10:16:01
tr1;Pcp10;Assigned truck for pickup plan;2024-05-09 10:39:39
Silo7;tr33;Aranged silo for truck;2024-05-09 10:48:01
tr8;Pcp5;Dropped truck from pickup plan;2024-05-09 10:51:32
Silo8;tr35;Aranged silo for truck;2024-05-09 10:52:45
Silo8;tr17;Aranged silo for truck;2024-05-09 11:15:36
tr48;Pcp9;Dropped truck from pickup plan;2024-05-09 11:50:28
tr24;Pcp8;Dropped truck from pickup plan;2024-05-09 11:53:51
tr25;Pcp1;Assigned truck for pickup plan;2024-05-09 11:59:13
Silo10;tr12;Aranged silo for truck;2024-05-09 11:59:44
tr20;Pcp5;Dropped truck from pickup plan;2024-05-09 12:01:54
tr38;Pcp6;Assigned truck for pickup plan;2024-05-09 12:22:03
tr9;Pcp10;Dropped truck from pickup plan;2024-05-09 13:32:50
tr5;Pcp1;Assigned truck for pickup plan;2024-05-09 13:48:12
Silo7;tr34;Aranged silo for truck;2024-05-09 13:49:20
tr48;Pcp3;Assigned truck for pickup plan;2024-05-09 15:11:37
tr2;Pcp10;Assigned truck for pickup plan;2024-05-09 15:17:45
tr8;Pcp7;Assigned truck for pickup plan;2024-05-09 15:23:48
tr37;Pcp4;Dropped truck from pickup plan;2024-05-09 15:32:09
tr3;Pcp7;Dropped truck from pickup plan;2024-05-09 15:43:30
tr36;Pcp9;Dropped truck from pickup plan;2024-05-09 15:50:12
tr20;Pcp8;Assigned truck for pickup plan;2024-05-09 16:06:59
tr47;Pcp2;Assigned truck for pickup plan;2024-05-09 16:10:50
Silo3;tr26;Aranged silo for truck;2024-05-09 16:16:46
tr32;Pcp1;Assigned truck for pickup plan;2024-05-09 16:21:08
tr30;Pcp1;Assigned truck for pickup plan;2024-05-09 16:46:16
tr9;Pcp1;Assigned truck for pickup plan;2024-05-09 17:10:41
tr4;Pcp7;Assigned truck for pickup plan;2024-05-09 17:27:26
Silo15;tr46;Aranged silo for truck;2024-05-09 18:31:11
tr36;Pcp10;Assigned truck for pickup plan;2024-05-09 18:41:44
Silo10;tr27;Aranged silo for truck;2024-05-09 18:46:42
Silo15;tr21;Aranged silo for truck;2024-05-10 07:52:27
tr10;Pcp4;Dropped truck from pickup plan;2024-05-10 09:20:27
Silo3;tr15;Aranged silo for truck;2024-05-10 09:35:16
tr45;Pcp4;Assigned truck for pickup plan;2024-05-10 09:38:56
tr41;Pcp2;Assigned truck for pickup plan;2024-05-10 09:40:51
Silo10;tr6;Aranged silo for truck;2024-05-10 09:42:48
tr24;Pcp2;Assigned truck for pickup plan;2024-05-10 09:54:42
Silo3;tr39;Aranged silo for truck;2024-05-10 09:59:26
tr37;Pcp6;Assigned truck for pickup plan;2024-05-10 10:27:48
Silo8;tr31;Aranged silo for truck;2024-05-10 10:36:17
Silo6;tr42;Aranged silo for truck;2024-05-10 10:48:30
tr10;Pcp3;Assigned truck for pickup plan;2024-05-10 11:45:05
